Assignment Week,Source ID,Canonical Source ID,Title,Provider,Resource Type,Original Role,Disposition,Primary Instructional Location,Relationship,Requirement,Inline,Exact Backlink,Additional Course Locations,After Resource Action,Reason
1,medlineElectricalInjury,medlineElectricalInjury,Electrical Injury — First Aid and Emergency Response,MedlinePlus / U.S. National Library of Medicine,Government medical first-aid guidance,Required · Electrical-emergency first aid,RETAINED + INTEGRATED,"Week 01 → CETa Lesson → Shock physiology, emergency response, and First Aid boundaries",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-12&from=media&media=medlineElectricalInjury,,"After using this resource, be able to explain or apply: Never touch a casualty still in contact with an energized source; high-voltage rescue requires trained emergency response and power isolation.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,nasaESD,nasaESD,NASA-HDBK-8739.21 — ESD Control,NASA,Government workmanship handbook,Required · ESD protected-work-area instruction,RETAINED + INTEGRATED,"Week 01 → CETa Lesson → ESD, technician tool hazards, and PPE",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-14&from=media&media=nasaESD,Taught in: Week 12 → CETa Lesson → ESD control is specific to the work state [learn.html?week=12&stage=ceta-lesson&lesson=0&section=concept-10&from=media&media=nasaESD] | Used in: Week 24 → CETa Lesson → Safety gates remain absolute [learn.html?week=24&stage=ceta-lesson&lesson=0&section=concept-3&from=media&media=nasaESD] | Used in: Week 29 → CETa Lesson → Physical safety and ESD remain active through rework [learn.html?week=29&stage=ceta-lesson&lesson=0&section=concept-3&from=media&media=nasaESD],"After using this reference, be able to locate, explain, or apply: Keep ESD control distinct from shock protection. Use approved grounding devices/procedures and do not improvise a direct body-to-ground connection around energized hazards.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,organicChemTutorBasicCircuits,organicChemTutorBasicCircuits,"Electric Current & Circuits Explained, Ohm's Law, Charge, Power, Physics Problems, Basic Electricity",The Organic Chemistry Tutor,YouTube worked-example physics tutorial,"WORKED PRACTICE · Charge, Ohm’s law, and power",RETAINED + INTEGRATED,Week 01 → CETa Lesson → Worked reasoning,Used in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=worked&from=media&media=organicChemTutorBasicCircuits,,"After watching, be able to explain or demonstrate: Practice V = IR, P = VI, Q = It, current as coulombs per second, conventional current versus electron flow, and dimensional/unit checks.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaDriverSafety,oshaDriverSafety,Motor Vehicle Safety — Driver Safety Training,U.S. Occupational Safety and Health Administration,Government work-vehicle safety training,Required · Service/work-vehicle safety,RETAINED + INTEGRATED,"Week 01 → CETa Lesson → Ladders, service vehicles, and fire classes",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-16&from=media&media=oshaDriverSafety,,"After using this resource, be able to explain or apply: Treat vehicle inspection and backing as technician safety tasks, not merely transportation details.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaElectricalStandardsTrainer,oshaElectricalStandardsTrainer,"Electrical Safety Trainer Guide — NEC, NFPA 70E, and Safe Electrical Work Context",U.S. Occupational Safety and Health Administration,Government electrical-safety training guide,Required · NEC/NFPA electrical-safety context,RETAINED + INTEGRATED,"Week 01 → CETa Lesson → NEC awareness, overcurrent protection, and lockout/tagout",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-13&from=media&media=oshaElectricalStandardsTrainer,"Taught in: Week 09 → CETa Lesson → Power-supply hazards, transformer versus line-connected supplies, and protection [learn.html?week=9&stage=ceta-lesson&lesson=0&section=concept-4&from=media&media=oshaElectricalStandardsTrainer]","After using this reference, be able to locate, explain, or apply: Do not confuse an installation code with energized-work authorization; applicable adopted code, OSHA rules, employer procedures, and qualified-person requirements still govern field work.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaFiberLaserSafety,oshaFiberLaserSafety,OSHA Technical Manual — Optical Fiber Communication System Laser Safety,U.S. Occupational Safety and Health Administration,Government optical-fiber and laser safety guidance,Required · Fiber-optic/laser service hazard awareness,RETAINED + INTEGRATED,Week 01 → CETa Lesson → RF exposure and fiber-optic hazards,Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-15&from=media&media=oshaFiberLaserSafety,,"After using this resource, be able to explain or apply: Never inspect an unknown live fiber with the unaided eye or optical magnifier; treat service conditions differently from normal enclosed operation.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaFireExtinguisher,oshaFireExtinguisher,"Portable Fire Extinguishers — Basics, Classes, Selection, and Use",U.S. Occupational Safety and Health Administration,Government interactive fire-safety training,Required · Fire classes and extinguisher decision-making,RETAINED + INTEGRATED,"Week 01 → CETa Lesson → Ladders, service vehicles, and fire classes",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-16&from=media&media=oshaFireExtinguisher,,"After using the interactive resource, be able to explain or demonstrate: Recognize Class C as energized-electrical equipment and choose a nonconductive extinguishing agent; preserve an evacuation path and evacuate when conditions exceed incipient-stage response.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaLadderSafety,oshaLadderSafety,Construction eTool — Ladder Safety,U.S. Occupational Safety and Health Administration,Government ladder-safety training,Required · Ladder and access safety,RETAINED + INTEGRATED,"Week 01 → CETa Lesson → Ladders, service vehicles, and fire classes",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-16&from=media&media=oshaLadderSafety,,"After using this resource, be able to explain or apply: Use the correct ladder type and setup for the environment; maintain stable placement and recognize electrical hazards before climbing.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaLotoInteractive,oshaLotoInteractive,Lockout/Tagout Interactive Training Program,U.S. Occupational Safety and Health Administration,Government interactive safety tutorial and case studies,Required · Hazardous-energy control instruction,RETAINED + INTEGRATED,"Week 01 → CETa Lesson → NEC awareness, overcurrent protection, and lockout/tagout",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-13&from=media&media=oshaLotoInteractive,,"After using the interactive resource, be able to explain or demonstrate: Distinguish de-energizing from verified isolation. Identify stored-energy hazards and the sequence required before service work.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaRfSafety,oshaRfSafety,Radiofrequency and Microwave Radiation — Hazards and Controls,U.S. Occupational Safety and Health Administration,Government RF hazard and control guidance,Required · RF/microwave hazard awareness,RETAINED + INTEGRATED,Week 01 → CETa Lesson → RF exposure and fiber-optic hazards,Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-15&from=media&media=oshaRfSafety,,"After using this resource, be able to explain or apply: Do not treat non-ionizing as harmless; risk depends on frequency, power density, geometry, and exposure conditions.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,phetDC,phetDC,Circuit Construction Kit: DC — Virtual Lab,"PhET, University of Colorado Boulder",University simulation,Virtual route · Application,RETAINED + INTEGRATED,Week 01 → CETa Lesson → A circuit needs a closed path,Lab preparation for,optional,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-4&from=media&media=phetDC,"Lab preparation for: Week 02 → CETa Lesson → Series/parallel DC and AC networks, KCL/KVL, and resistive calculations [learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-9&from=media&media=phetDC]","After using the interactive resource, be able to explain or demonstrate: Use the simulation to test a written prediction rather than discover the rule by clicking.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacKclKvl,aacKclKvl,"Ohm’s Law, Kirchhoff’s Laws, and Power Equations",All About Circuits,Engineering video tutorial with transcript,Required · Teaching tutorial,RETAINED + INTEGRATED,Week 02 → CETa Lesson → Kirchhoff turns conservation into two diagnostic rules,Taught in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-2&from=media&media=aacKclKvl,,"After watching, be able to explain or demonstrate: Write signed KCL/KVL equations before substituting numbers.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacMagnetismElectromagnetism,aacMagnetismElectromagnetism,Magnetism and Electromagnetism,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Electromagnetism foundation,RETAINED + INTEGRATED,Week 02 → CETa Lesson → Electromagnetism and induction,Used in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-5&from=media&media=aacMagnetismElectromagnetism,,"After watching, be able to explain or demonstrate: Connect current direction to magnetic-field direction and explain why motors, generators, speakers, microphones, and magnetic components depend on electromagnetic interaction.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacMeterLoading,aacMeterLoading,Voltmeter Impact on a Measured Circuit,All About Circuits,Engineering worked tutorial,Required · Worked tutorial,RETAINED + INTEGRATED,Week 02 → CETa Lesson → Loaded dividers reveal why measuring changes circuits,Demonstrated in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-16&from=media&media=aacMeterLoading,,"After using this resource, be able to explain or apply: Replace the loaded leg with the correct parallel equivalent and recalculate Vout.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacParallel,aacParallel,Parallel Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,Week 02 → CETa Lesson → Topology determines what is shared,Used in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-1&from=media&media=aacParallel,,"After watching, be able to explain or demonstrate: Use node identity rather than drawing shape to decide what is parallel.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacSeries1,aacSeries1,Series Circuits — Part 1,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,Week 02 → CETa Lesson → Topology determines what is shared,Taught in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-1&from=media&media=aacSeries1,,"After watching, be able to explain or demonstrate: Identify the single current path before doing arithmetic.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacSeriesDivider,aacSeriesDivider,Series Circuits — Part 2: Voltage Divider Equation,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,Week 02 → CETa Lesson → A divider is only ideal when the load is negligible,Demonstrated in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-3&from=media&media=aacSeriesDivider,,"After watching, be able to explain or demonstrate: Derive from series current rather than memorizing an isolated ratio.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacTroubleshootSeriesParallel,aacTroubleshootSeriesParallel,Troubleshooting Series-Parallel Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Technician application,RETAINED + INTEGRATED,Week 02 → Career Lesson → Fault patterns have structure,Demonstrated in,required,YES,learn.html?week=2&stage=career-lesson&lesson=1&section=career-w02-fault-patterns-have-structure&from=media&media=aacTroubleshootSeriesParallel,Demonstrated in: Week 05 → Career Lesson → Competing hypotheses make measurements useful [learn.html?week=5&stage=career-lesson&lesson=1&section=career-w05-competing-hypotheses-make-measurements-useful&from=media&media=aacTroubleshootSeriesParallel],"After watching, be able to explain or demonstrate: Write expected values first; measure only where the result shrinks the fault space.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,mitPiezoLab,mitPiezoLab,Lab 9 — Piezoelectricity,MIT OpenCourseWare — Electrical Engineering and Computer Science,University video tutorial and physical-device exploration,Required · Piezoelectricity teaching/demo,RETAINED + INTEGRATED,Week 02 → CETa Lesson → Piezoelectric effect and technician applications,Demonstrated in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-13&from=media&media=mitPiezoLab,,"After watching, be able to explain or demonstrate: Explain the conversion mechanism and identify where a piezo element is acting as a sensor, actuator, buzzer, igniter, or resonant device.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,neetsGeneratorsMotors,neetsGeneratorsMotors,NEETS Module 5 — Introduction to Generators and Motors,U.S. Navy Electricity and Electronics Training Series,Technician self-study course with worked theory and review questions,Required · Motors and generators technician course,RETAINED + INTEGRATED,Week 02 → CETa Lesson → Motors and generators as reciprocal energy converters,Taught in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-6&from=media&media=neetsGeneratorsMotors,,"After using this resource, be able to explain or apply: Explain the direction/energy conversion physically before memorizing machine types; distinguish generator action from motor action.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,neetsWaveGeneration,neetsWaveGeneration,NEETS Module 9 — Introduction to Wave-Generation and Wave-Shaping,U.S. Navy Electricity and Electronics Training Series,"Technician self-study course with calculations, circuits, and review questions","Required · Oscillators, pulse circuits, tuned circuits, and wave-shaping course",RETAINED + INTEGRATED,"Week 02 → CETa Lesson → Filters, integrators/differentiators, and wave shaping",Taught in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-12&from=media&media=neetsWaveGeneration,,"After using this resource, be able to explain or apply: Calculate resonant frequency, Q/bandwidth, pulse timing, and RC/RL time-constant effects; identify circuit behavior from cause/effect rather than waveform memorization.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,phetDC,phetDC,Circuit Construction Kit: DC — Virtual Lab,"PhET, University of Colorado Boulder",University simulation,Virtual route · Application,RETAINED + INTEGRATED,"Week 02 → CETa Lesson → Series/parallel DC and AC networks, KCL/KVL, and resistive calculations",Lab preparation for,optional,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-9&from=media&media=phetDC,Lab preparation for: Week 01 → CETa Lesson → A circuit needs a closed path [learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-4&from=media&media=phetDC],"After using the interactive resource, be able to explain or demonstrate: Change one fault at a time and preserve before/after evidence.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,tekPulseDutyCycle,tekSignalGenerator,What Is a Signal Generator? — Pulse Width and Duty Cycle,Tektronix,Test-equipment manufacturer instructional primer,Required · Pulse-width and duty-cycle calculation,RETAINED + INTEGRATED,"Week 02 → CETa Lesson → Sources, AC measures, duty cycle, pulse width, Ohm’s law, and power",Taught in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-8&from=media&media=tekPulseDutyCycle,"Taught in: Week 03 → CETa Lesson → Signal generators, frequency counters, RCL substitution, and ESR meters [learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-5&from=media&media=tekSignalGenerator]","After using this resource, be able to explain or apply: Keep pulse width, period, frequency, and duty cycle as distinct quantities with units; verify time-domain measurements against calculated values.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,tiPllFundamentals,tiPllFundamentals,TI Precision Labs — Phase-Locked Loop Fundamentals,Texas Instruments,Manufacturer video series,Required · Phase-locked-loop video series,RETAINED + INTEGRATED,"Week 02 → CETa Lesson → Oscillators, multivibrators, and phase-locked loops",Used in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-10&from=media&media=tiPllFundamentals,,"After watching, be able to explain or demonstrate: Trace reference → phase/frequency comparison → loop filter → VCO → feedback divider and explain what lock means physically.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
3,bkVariableIsolatedAc,bkVariableIsolatedAc,1655A Variable Isolated AC Power Supply — Isolation and Line-Variation Testing,B&K Precision,Manufacturer service-bench equipment reference,Required · Isolation-transformer/service-bench instruction,RETAINED + INTEGRATED,"Week 03 → CETa Lesson → Dummy loads, rheostats, isolation transformers, Variacs, and potentiometers",Used in,required,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-8&from=media&media=bkVariableIsolatedAc,"Used in: Week 09 → CETa Lesson → Power-supply hazards, transformer versus line-connected supplies, and protection [learn.html?week=9&stage=ceta-lesson&lesson=0&section=concept-4&from=media&media=bkVariableIsolatedAc]","After using this reference, be able to locate, explain, or apply: Isolation breaks the direct mains reference but does not make the secondary harmless; hazardous voltage, stored energy, current capability, and safe probing rules still apply.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
3,digiKeyEsr70,digiKeyEsr70,Atlas ESR70 — Equivalent Series Resistance and Capacitor Testing,Peak Electronic Design / DigiKey,Manufacturer instrument guide,Required · ESR/capacitor-condition instruction,RETAINED + INTEGRATED,"Week 03 → CETa Lesson → Signal generators, frequency counters, RCL substitution, and ESR meters",Taught in,required,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-5&from=media&media=digiKeyEsr70,,"After using this reference, be able to locate, explain, or apply: Safely discharge capacitors first; compare ESR against component type/value expectations rather than using a universal pass/fail number.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
3,digiKeyLcrMeter,digiKeyLcrMeter,How to Use an LCR Meter,B&K Precision / DigiKey,Manufacturer measurement demonstration video,Required · LCR measurement demonstration,RETAINED + INTEGRATED,"Week 03 → CETa Lesson → Signal generators, frequency counters, RCL substitution, and ESR meters",Demonstrated in,required,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-5&from=media&media=digiKeyLcrMeter,,"After watching, be able to explain or demonstrate: Do not treat a single L/C reading as context-free; note test frequency and series/parallel measurement model.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
3,flukeMultimeterGuide,flukeMultimeterGuide,How to Use a Multimeter — Comprehensive Guide,Fluke,Manufacturer measurement guide,Required · DMM instruction,RETAINED + INTEGRATED,Week 03 → CETa Lesson → The DMM is several instruments sharing one display,Taught in,required,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-1&from=media&media=flukeMultimeterGuide,"Taught in: Week 01 → Career Lesson → Voltage, resistance, and current modes are different circuits [learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-voltage-resistance-and-current-modes-are-different-circuits&from=media&media=flukeMultimeterGuide] | Taught in: Week 09 → Career Lesson → Use rail behavior to distinguish source, regulator, and load faults [learn.html?week=9&stage=career-lesson&lesson=1&section=career-w09-use-rail-behavior-to-distinguish-source-regulator-and-load-faults&from=media&media=flukeMultimeterGuide] | Taught in: Week 24 → Career Lesson → Unpowered checks find cheap faults [learn.html?week=24&stage=career-lesson&lesson=1&section=career-w24-unpowered-checks-find-cheap-faults&from=media&media=flukeMultimeterGuide] | Taught in: Week 29 → CETa Lesson → Measurement setup is part of workmanship verification [learn.html?week=29&stage=ceta-lesson&lesson=0&section=concept-5&from=media&media=flukeMultimeterGuide]","After using this reference, be able to locate, explain, or apply: For every mode, state energized/de-energized condition, jack choice and series/parallel placement.",Existing Teaching Media assignment reconciled to the strongest current instructional section.
