Week,Phase,Module Title,Difficulty,CETa Foundation / Activation,Official CETa Codes Present This Week,Career Prerequisite Activation,New Career Learning,Genuine CETa/Career Overlap,Career Standards Taught This Week,Career Standards Introduced / Previewed,Career Standards Reinforced / Applied,Career Teaching Section IDs,Future Preparation,Curriculum Source Relationship,Curriculum Source IDs,Curriculum Source Basis,Runtime Reconciliation
11,Phase II · Electronics & Troubleshooting,"Number Systems, Boolean Logic, and Digital Circuits",Intermediate,"Digital logic levels, Boolean/state concepts, pull resistors, timing, and debounce.",9.5; 13.1; 13.2; 13.3; 13.4; 13.5; 13.6; 13.7; 13.8; 13.9; 13.10; 13.11; 13.12,Use the CETa digital logic model plus Week 3 measurement planning. No MCU register knowledge is assumed yet.,"Real logic thresholds, pull-up/pull-down behavior, switch bounce, debounce, and oscilloscope evidence for digital input timing.","Career makes CETa logic states physical: voltage thresholds, pull-resistor default states, and time-domain switch behavior; logic-analyzer use remains deferred until Week 18.",,,C2.5; C3.4,career-w11-a-logical-1-is-a-voltage-range-not-the-word-high; career-w11-unconnected-inputs-do-not-have-a-reliable-state; career-w11-mechanical-switches-create-multiple-transitions; career-w11-digital-1-is-an-electrical-contract; career-w11-pull-resistors-define-default-state-and-edge-behavior; career-w11-debounce-is-a-time-domain-problem,Prepares digital-input and debounce reasoning that later carries into MCU firmware and Week 18 logic-analyzer/protocol work.,Informed by / cross-checked against,gptcElectronics; pccEETProgram; tekScope,Informed by / cross-checked against: Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — Electronic Engineering Technology — program and course sequence; Tektronix — The XYZs of Oscilloscopes,PASS
12,Phase II · Electronics & Troubleshooting,"Soldering, ESD, Rework, and Version-Controlled Repair",Intermediate,Soldering/rework/workmanship and physical interconnection concepts.,1.5; 1.6; 1.10; 3.1; 5.1; 5.2; 5.3; 5.4; 5.5; 5.6; 5.7; 5.8; 5.9; 5.10; 5.11; 5.8.1; 5.8.2; 5.12,Use CETa workmanship/safety plus the established evidence rule. No version-control knowledge is assumed.,"Physical-change traceability plus Git from zero: repository, working tree, status, diff, commit, history, branch/tag, and known-good baseline.",CETa governs physical workmanship; Career makes the change and its evidence reproducible in project history.,C4.1; C4.2; C4.5; C4.6; C12.1; C12.2; C12.3; C12.4; C12.5; C12.6; C12.7,,C1.2; C1.5,career-w12-a-physical-change-needs-a-before-after-record; career-w12-version-control-exists-because-project-files-change; career-w12-command-line-navigation-is-a-small-reproducibility-tool-not-assumed-know; career-w12-history-becomes-useful-when-each-commit-means-one-coherent-change; career-w12-lab-notes-preserve-the-conditions-that-git-cannot; career-w12-a-test-report-turns-evidence-into-a-decision; career-w12-technical-handoff-separates-facts-hypotheses-and-the-question; career-w12-career-integration-solder-rework-workmanship-and-harness-evidence; career-w12-i-do-create-a-known-good-baseline-before-a-rework; career-w12-we-do-decide-what-belongs-in-the-next-commit; career-w12-you-do-reconstruct-a-change-from-evidence,"Git becomes infrastructure for C, STM32, projects, test scripts, and portfolio evidence after this week.",Informed by / cross-checked against,gptcElectronics; pccEET101A; githubSkills; nasaHarness; nasaESD,"Informed by / cross-checked against: Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; GitHub Skills — Introduction to Git; NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; NASA — NASA-HDBK-8739.21 — ESD Control",PASS
13,Phase II · Electronics & Troubleshooting,"Schematics, Datasheets, Signal Flow, and Root Cause",Intermediate,"Schematics, components, datasheets, signal flow, and prior troubleshooting evidence.",6.1; 6.2; 6.3; 6.4; 6.5; 6.6; 6.7; 6.8; 6.9; 6.10; 8.3; 8.6; 21.2; 21.4,"Use the established troubleshooting loop, schematic/datasheet literacy, and Git/lab-record baseline.","Competing hypotheses, discriminating tests, divide-and-conquer strategy, causal root-cause verification, and concise failure reporting. Formal controlled fault injection is deferred to Week 28.",Career organizes CETa circuit knowledge into high-information diagnostic choices.,C2.3; C5.6,,C2.1; C2.2; C2.4; C2.5; C2.6; C3.6; C5.1; C5.2; C5.3; C5.4; C12.3,career-w13-build-a-fault-model-before-probing; career-w13-separate-expected-behavior-from-observed-behavior; career-w13-choose-the-representation-that-answers-the-troubleshooting-question; career-w13-divide-at-functional-boundaries; career-w13-choose-a-high-information-test; career-w13-i-do-isolate-a-generic-power-to-output-failure; career-w13-we-do-rank-three-hypotheses-and-choose-one-discriminating-measurement; career-w13-root-cause-requires-a-causal-chain; career-w13-report-the-diagnosis-now-formal-fault-injection-comes-later,"This reasoning model becomes the debugging backbone for C, MCU, buses, and projects; Week 28 later adds formal controlled fault injection.",Informed by / cross-checked against,pccEET101B; onetTech; nasaSystems,Informed by / cross-checked against: Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA Systems Engineering Handbook,PASS
14,Phase III · Embedded Core,C Fundamentals and Computer Architecture,Intermediate,"Binary/hex, logic, computer/processor concepts, and the idea that source code is translated into executable machine instructions.",13.1; 13.11; 15.1; 15.2; 15.3; 15.4; 15.5; 15.6; 16.1; 16.2; 16.3; 15.9,No C programming is assumed. Use only CETa binary/computer fundamentals and Week 12 project-file/Git habits.,"A real C foundation: source/build model, variables/types, expressions, conditionals, loops, functions, arrays/strings/structs/enums, addresses/pointers, bitwise operations, warnings, and debugging.",CETa explains binary and processor concepts; Career teaches the programming language used to control and test those systems.,C6.1; C6.2; C6.3; C6.4; C6.5; C6.6; C6.7,,C12.2,career-w14-a-c-program-is-source-text-that-must-be-translated-before-it-runs; career-w14-variables-and-types-give-stored-values-meaning; career-w14-conditionals-and-loops-control-which-statements-execute-and-how-often; career-w14-functions-create-testable-units-and-explicit-data-flow; career-w14-arrays-strings-structs-and-enums-organize-related-data; career-w14-bit-positions-turn-one-integer-into-named-yes-no-fields; career-w14-i-do-we-do-you-do-inspect-set-clear-toggle-and-shift-a-bit; career-w14-addresses-and-pointers-make-memory-locations-explicit; career-w14-career-integration-c-programming-as-testable-technical-work; career-w14-i-do-we-do-you-do-trace-change-and-debug,Provides the programming prerequisites for embedded state/timing and STM32 work.,Informed by / cross-checked against,tamuESET; beejC; cs50C; armEmbedded,Informed by / cross-checked against: Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Brian Hall / open textbook — Beej's Guide to C Programming; Harvard University — CS50x Week 4 — Memory and Pointers; Arm — Embedded C Programming with Arm Cortex-M,PASS
15,Phase III · Embedded Core,"Embedded C, Bit Operations, State Machines, and Timing",Intermediate,"Microprocessor architecture, registers, ports, binary/bit logic, clocks, and timing concepts.",9.5; 13.2; 13.3; 13.4; 15.3; 15.4; 15.5; 15.6; 15.7; 16.3,"Week 14 C must be usable before this lesson. Bring forward functions, types, arrays/pointers, bitwise masks, and debugging.","MCU mental model, memory-mapped registers, read/modify/write, blocking vs nonblocking timing, state machines, polling, interrupts/ISR, shared state, volatile, and timing units using GPIO/timer examples before later serial/peripheral integration.",CETa supplies the architecture vocabulary; Career connects C statements to actual MCU state and timing.,C7.1; C7.2; C7.3; C7.4; C7.5; C7.6,,C6.3; C6.4; C6.5; C6.6,career-w15-map-c-onto-a-microcontroller-before-adding-concurrency; career-w15-register-operations-are-controlled-bit-changes; career-w15-blocking-code-prevents-other-work-from-happening; career-w15-state-machines-make-behavior-explicit; career-w15-polling-and-interrupts-are-two-ways-to-notice-events; career-w15-volatile-solves-one-compiler-visibility-problem-not-concurrency; career-w15-career-integration-embedded-c-mcu-architecture-and-nonblocking-design,"Direct prerequisite for STM32 configuration, SWD debugging, GPIO, timers, and interfaces.",Informed by / cross-checked against,tamuESET; armEmbedded; armKit; stTraining,Informed by / cross-checked against: Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm — Embedded C Programming with Arm Cortex-M; Arm University Program — Efficient Embedded Systems Education Kit; STMicroelectronics — STM32 Online Training,PASS
16,Phase III · Embedded Core,"STM32 Project Setup, GPIO, Clocks, and SWD Debug",Intermediate,"MCU architecture, GPIO/register concepts, clocks, and interface fundamentals available so far.",13.11; 15.1; 15.2; 15.3; 15.4; 15.5; 15.6; 15.8; 16.3,"Use Week 14 C and Week 15 embedded architecture. No prior STM32 IDE, build, flash, or SWD experience is assumed.","STM32 board/MCU identity, project/configuration, toolchain/build, output image, ST-LINK/debug probe, flash/reset/run, SWD, breakpoint/register/GPIO proof, then one timer and one ADC proof after the known-good GPIO baseline.",CETa explains what an MCU/peripheral is; Career shows how that model becomes a real build/flash/debug workflow.,C8.1; C8.2; C8.3; C8.4; C8.5; C8.6; C8.7,,C7.1; C7.2; C7.3; C7.5,career-w16-identify-the-physical-board-target-mcu-and-debug-path-first; career-w16-a-project-contains-source-configuration-and-a-build-recipe; career-w16-flash-reset-and-run-prove-different-things; career-w16-swd-debugging-lets-you-inspect-execution-state; career-w16-bring-up-is-a-ladder-of-proofs; career-w16-generated-configuration-is-still-your-responsibility; career-w16-career-integration-stm32-bring-up-and-swd-evidence; career-w16-after-the-gpio-baseline-add-one-timer-proof; career-w16-then-prove-one-adc-conversion-with-a-known-input,"Creates a known-good MCU baseline plus first peripheral proofs for host serial, I2C/SPI, sensors, and Project 1.",Informed by / cross-checked against,tamuESET; stTraining; stMooc; armKit,Informed by / cross-checked against: Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; STMicroelectronics — STM32 Online Training; STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics; Arm University Program — Efficient Embedded Systems Education Kit,PASS
17,Phase III · Embedded Core,UART Communication and Python Serial Control,Intermediate,UART framing/levels and serial communication theory.,12.1; 12.2; 15.4; 16.1; 16.2; 16.3; 16.6; 16.7; 16.8; 16.9; 16.4; 16.5,"Use CETa UART theory, Week 14 programming ideas, and Week 16 known-good MCU baseline. No Python knowledge is assumed.","Python from zero for test work: running a script, variables/types, conditionals, loops, functions, imports/modules, exceptions, files/logging, bytes versus text, pySerial configuration/read/write, message boundaries, parsing/validation, and evidence logging.",CETa explains the UART link; Career builds the host-side software that uses and tests it.,C9.1; C10.1; C10.2; C10.3,,C8.2; C12.2,career-w17-run-the-smallest-python-program-first; career-w17-variables-and-basic-types-hold-different-kinds-of-values; career-w17-conditionals-choose-a-path; career-w17-loops-repeat-controlled-work; career-w17-functions-package-one-job-with-inputs-and-outputs; career-w17-imports-add-library-capabilities; career-w17-exceptions-make-failures-explicit; career-w17-files-turn-results-into-reproducible-evidence; career-w17-bytes-and-text-are-not-the-same-thing; career-w17-define-the-serial-contract-before-writing-the-client; career-w17-use-pyserial-as-a-visible-port-bytes-message-pipeline; career-w17-parse-and-validate-only-after-a-complete-message-exists; career-w17-i-do-we-do-you-do-build-the-first-python-evidence-logger,Python becomes the host/test foundation for later automated hardware validation.,Informed by / cross-checked against,pythonDocs; pyserial; sparkfunSerial; onetTech,Informed by / cross-checked against: Python Software Foundation — Python 3 Documentation; pySerial project — pySerial Documentation; SparkFun — Serial Communication; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,PASS
18,Phase III · Embedded Core,"I²C, SPI, Logic Analysis, Sensors, and Actuators",Intermediate,UART/I2C/SPI electrical and protocol models plus MCU peripheral concepts.,8.6; 12.1; 12.2; 12.3; 12.4; 12.5; 13.11; 15.4,"Use Week 16 STM32 bring-up, Week 17 host-side serial thinking, and CETa bus fundamentals. The learner should already understand what a register, pin, wire reference, and transaction are.","A strict I2C-first datasheet-to-wire integration ladder, logic-analyzer onboarding and captured evidence, layered I2C fault isolation, then comparison/generalization to SPI and UART only after the complete I2C path is proven.","CETa teaches bus mechanics; Career proves one complete I2C path first, then uses that concrete model to compare SPI/UART and diagnose real transactions.",C3.5; C9.2; C9.3; C9.4; C9.5; C9.6,,C2.2; C2.5; C8.4; C9.1,career-w18-activate-the-ceta-bus-model-and-choose-i2c-as-the-first-complete-path; career-w18-translate-one-i2c-datasheet-into-a-wiring-and-transaction-contract; career-w18-bring-up-the-smallest-meaningful-i2c-transaction; career-w18-learn-the-logic-analyzer-on-that-known-good-i2c-transaction; career-w18-i-do-prove-an-i2c-identity-register-read-end-to-end; career-w18-we-do-diagnose-an-i2c-address-nack-by-layer; career-w18-you-do-prove-and-fault-a-second-i2c-transaction; career-w18-only-now-generalize-the-model-to-spi; career-w18-run-one-small-spi-comparison-transaction; career-w18-reconnect-uart-without-reteaching-it,Supports Project 1 peripheral integration and automated interface verification.,Informed by / cross-checked against,stTraining; saleae; sparkfunI2C; sparkfunSPI,Informed by / cross-checked against: STMicroelectronics — STM32 Online Training; Saleae — Logic Analyzer Learning and Support; SparkFun — I2C; SparkFun — Serial Peripheral Interface (SPI),PASS
19,Phase IV · CETa Breadth & Readiness,"Cabling, Audio/Video Signal Paths, and Optical Systems",Intermediate,"Cabling, connectors, transmission media, continuity, and workmanship concepts.",1.9; 3.4; 7.1; 7.2; 7.3; 7.4; 7.5; 7.6; 7.7; 7.8; 7.9; 7.10; 7.11; 7.12; 7.13; 17.1; 17.2; 17.3; 17.4; 17.5; 17.6; 17.7; 17.8; 17.9; 18.1; 18.2; 18.3; 18.4; 18.5; 18.6; 18.7; 7.6.1; 7.9.1; 18.1.1; 18.2.1; 18.2.2; 18.3.1; 18.3.2; 18.5.1; 18.6.1,Use CETa cable/media theory plus Week 3 measurement discipline and Week 12 workmanship evidence.,"Termination preparation, stripping/crimping/strain relief, pin numbering/keying, continuity/segment isolation, and serviceable harness documentation.",Career applies CETa cabling theory to physical assembly and fault isolation.,C4.3; C4.4,,C1.5; C2.3; C2.4; C3.6; C4.6; C5.2,career-w19-mechanical-workmanship-is-electrical-reliability; career-w19-choose-tests-by-failure-mode; career-w19-report-what-you-actually-demonstrated; career-w19-termination-quality-is-a-process-not-a-beep; career-w19-use-end-to-end-and-sectional-tests-to-isolate-cable-faults; career-w19-document-orientation-and-reference,Prepares reliable project interconnects and employer-facing workmanship evidence.,Informed by / cross-checked against,nasaHarness; onetTech; pccEET101A,"Informed by / cross-checked against: NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills",PASS
20,Phase IV · CETa Breadth & Readiness,"RF, Telecommunications, Spectrum, and Technician Procedures",Intermediate,"RF/telecom fundamentals: frequency, spectra, modulation, transmission lines, and technician procedures.",1.8; 1.10.2; 7.2; 8.9; 9.7; 19.1; 19.2; 19.3; 19.4; 19.5; 19.6; 19.7; 19.8; 19.9; 19.10; 19.11; 20.1; 20.2; 20.3; 20.4; 20.5; 21.1; 21.2; 21.3; 21.4; 21.5; 21.6; 21.7; 21.8; 21.9; 19.2.1,Use CETa RF/telecom concepts plus Week 3 measurement planning. No spectrum-analyzer workflow is assumed.,"Spectrum-analyzer controls/settings, marker interpretation, measurement procedure writing, observation-versus-interpretation, and technical escalation/handoff.",CETa explains what spectral features mean; Career teaches how to measure and communicate them reproducibly.,,C11.2,C1.3; C3.6; C5.1; C5.2; C5.6; C12.3; C12.4; C12.5,career-w20-a-spectrum-analyzer-shows-signal-energy-versus-frequency; career-w20-write-the-measurement-procedure-before-collecting-the-trace; career-w20-classify-spectral-features-before-explaining-their-cause; career-w20-observation-interpretation-and-escalation-are-different-statements; career-w20-professional-procedure-preserves-continuity-across-people; career-w20-i-do-you-do-reproduce-one-spectral-measurement,Strengthens professional test procedure and handoff skills used in project validation.,Informed by / cross-checked against,tekSpectrum; nptelComms; onetTech,Informed by / cross-checked against: Tektronix — Fundamentals of Real-Time Spectrum Analysis; NPTEL — Principles of Communication Systems I; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,PASS
21,Phase IV · CETa Breadth & Readiness,CETa Integration I and Mixed Technician Decisions,Intermediate,"Broad CETa theory accumulated across electrical, components, digital, communications, safety, and procedures.",1.1; 2.6; 3.6; 4.1; 5.1; 6.2; 7.2; 8.3; 9.1; 10.1; 11.4; 12.1; 13.2; 15.3; 16.3; 17.2; 18.3; 19.3; 20.1; 21.2,Use all prior foundational models but continue to choose the smallest relevant model for each scenario.,"Rapid technician triage: identify the domain, select the likely evidence source/tool, state a hypothesis, and choose a safe next action.","Career converts broad CETa recall into fast, disciplined technician decisions.",,,C1.4; C2.4; C3.6; C4.1; C5.1; C5.2; C5.4; C12.3,career-w21-technician-fluency-is-organized-breadth; career-w21-oral-explanation-exposes-fragile-knowledge; career-w21-fast-documentation-is-still-structured; career-w21-technician-speed-comes-from-choosing-the-next-useful-action; career-w21-use-bounded-decision-trees-rather-than-giant-checklists; career-w21-communicate-the-decision-boundary,Prepares requirements/project work where the learner must select methods without topic labels.,Informed by / cross-checked against,etaCompetencies; onetTech; abetETAC,"Informed by / cross-checked against: ETA International — ETA Associate CET (CETa) Competency Requirements; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027",PASS
22,Phase IV · CETa Breadth & Readiness,CETa Repair II and Project Requirements,Advanced,Readiness review plus broad technical foundation.,1.1; 2.6; 4.1; 6.2; 8.3; 9.1; 21.2; 21.4,"Use the troubleshooting, documentation, Git, measurement, and interface habits already established.","Requirements, acceptance criteria, verification methods, traceability, test planning, and scope control before build work.",CETa knowledge becomes design/test requirements; Career formalizes how those requirements are proven.,C11.1; C11.2; C11.3; C11.6,,C2.3; C5.2; C12.3,career-w22-a-requirement-describes-observable-behavior-and-conditions; career-w22-verification-asks-whether-it-meets-the-requirement; career-w22-traceability-controls-scope; career-w22-career-integration-git-command-line-lab-notes-reports-and-technical-hand,Defines the contract for Project 1 and later automated validation.,Informed by / cross-checked against,abetETAC; nasaSystems; onetTech,"Informed by / cross-checked against: ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027; NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",PASS
23,Phase IV · CETa Breadth & Readiness,CETa Readiness Gate and Reproducible Project Setup,Advanced,CETa readiness evidence and all prior technical foundations.,1.1; 8.3; 9.1; 21.1; 21.2; 21.4; 21.7,"Requirements must exist before the project baseline. Git/project structure, lab records, and safety limits are already taught.","Controlled project baseline: repository, configuration identity, issue/evidence structure, bench readiness, BOM/interface ownership, and reproducible start state.",Career turns accumulated CETa knowledge into a controlled project launch.,,,C1.1; C1.4; C11.1; C11.3; C11.6; C12.1; C12.2; C12.3; C12.6,career-w23-a-repository-is-the-projects-reconstructable-memory; career-w23-a-bill-of-materials-must-resolve-ambiguity; career-w23-plan-first-power-as-a-test-case; career-w23-a-baseline-is-a-recoverable-state; career-w23-bom-and-compatibility-checks-prevent-avoidable-failures; career-w23-recovery-paths-are-part-of-readiness; career-w23-a-controlled-baseline-isolates-future-change; career-w23-baseline-acceptance-criteria-make-ready-testable,Prevents first-power ambiguity and provides a known baseline for every Project 1 change.,Informed by / cross-checked against,githubSkills; nasaSystems; onetTech,Informed by / cross-checked against: GitHub Skills — Introduction to Git; NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,PASS
24,Phase V · Capstone & Role Proof,Safe Hardware Bring-Up and CETa Power/Measurement Retention,Advanced,"Power, measurement, digital/MCU, safety, and component behavior.",1.4; 1.5; 8.3; 8.6; 8.13; 9.1; 10.1; 10.5,Use the controlled baseline from Week 23 plus the Week 1/9/16 bring-up ladders.,"Project first power with inspection, continuity, current limiting, rail verification, reset/boot/debug checks, GPIO/UART proof, and baseline evidence.",Career integrates many CETa concepts in a staged real-system bring-up.,,,C1.1; C1.2; C1.4; C3.1; C3.2; C3.3; C8.3; C8.5; C8.6; C11.3,career-w24-unpowered-checks-find-cheap-faults; career-w24-bring-up-dependencies-in-order; career-w24-a-baseline-includes-recovery; career-w24-first-power-is-a-controlled-experiment,Creates the known-good platform required before adding a sensor/peripheral.,Informed by / cross-checked against,flukeDMM; stTraining; onetTech,Informed by / cross-checked against: Fluke — Digital Multimeter Basics; STMicroelectronics — STM32 Online Training; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,PASS
25,Phase V · Capstone & Role Proof,Sensor/Interface Integration and CETa Interface Retention,Advanced,"I2C/SPI/interface theory, sensors, ADC/digital concepts, and prior measurement skills.",3.4; 8.6; 12.1; 12.2; 12.3; 12.4; 12.5; 18.2,Use Week 18 one-interface workflow and Week 24 known-good project baseline.,"One controlled peripheral vertical slice from datasheet and wiring through firmware, capture, engineering-unit conversion, fault handling, and evidence.",Career integrates CETa protocol/device theory into an end-to-end subsystem.,,C5.5; C11.4,C2.2; C2.5; C3.5; C8.4; C9.2; C9.3; C9.4; C9.5; C9.6; C11.1; C11.3,career-w25-build-a-thin-end-to-end-slice-first; career-w25-triangulate-with-independent-evidence; career-w25-failure-behavior-is-part-of-the-feature; career-w25-define-the-slice-s-checkpoints; career-w25-fault-injection-makes-the-slice-diagnostic,Provides a stable functional slice that firmware architecture and automated test can exercise.,Informed by / cross-checked against,stTraining; saleae; sparkfunI2C; sparkfunSPI,Informed by / cross-checked against: STMicroelectronics — STM32 Online Training; Saleae — Logic Analyzer Learning and Support; SparkFun — I2C; SparkFun — Serial Peripheral Interface (SPI),PASS
26,Phase V · Capstone & Role Proof,"Firmware Architecture, Diagnostics, and CETa Digital Retention",Advanced,"MCU architecture, digital/state concepts, and the project peripheral now working.",13.2; 13.3; 13.4; 13.11; 15.1; 15.3; 15.4; 15.5; 15.6,Use Week 15 nonblocking/state/interrupt concepts and Week 25 working vertical slice.,"Firmware layering: drivers, application state, diagnostics, timeouts, error/recovery paths, versioned changes, and testable module boundaries.",Career organizes CETa/embedded concepts into maintainable project architecture.,,,C6.2; C6.4; C6.5; C7.2; C7.3; C7.4; C7.5; C7.6; C8.6; C12.1,career-w26-architecture-follows-responsibilities-and-test-seams; career-w26-timeouts-and-error-states-make-absence-observable; career-w26-diagnostics-must-survive-the-failure-they-describe; career-w26-separate-hardware-access-from-application-decisions; career-w26-make-errors-explicit-and-recoverable; career-w26-diagnostics-should-expose-state-without-becoming-the-design,Makes Project 1 observable and controllable enough for automated testing.,Informed by / cross-checked against,armEmbedded; stTraining; githubSkills,Informed by / cross-checked against: Arm — Embedded C Programming with Arm Cortex-M; STMicroelectronics — STM32 Online Training; GitHub Skills — Introduction to Git,PASS
27,Phase V · Capstone & Role Proof,"Python Hardware Test, Logging, and CETa Computer-Application Retention",Advanced,Measurement/test concepts plus the working Project 1 interface.,9.1; 9.3; 12.1; 15.4; 16.1; 16.2; 16.3; 16.6; 16.7; 16.8; 16.9; 16.10,"Use Week 17 Python/serial, Week 22 requirements/verification, and Week 26 observable firmware. No automated-test architecture is assumed beyond those pieces.","Automated-test lifecycle, fixture/DUT boundaries, setup/stimulus/acquisition/evaluation/cleanup, PASS/FAIL/ERROR/INCONCLUSIVE semantics, configuration source-of-truth, logs, plots, and boundary tests.",Career turns prior measurement and software skills into repeatable hardware verification.,C10.4; C10.5; C10.6; C11.4; C11.5,,C9.1; C10.1; C10.2; C10.3; C11.1; C11.3; C11.6,career-w27-automated-test-is-still-a-physical-measurement-system; career-w27-a-test-case-has-setup-stimulus-acquisition-evaluation-cleanup-and-report; career-w27-verdicts-need-explicit-semantics; career-w27-configuration-should-have-one-source-of-truth; career-w27-boundary-and-fault-cases-prove-more-than-the-happy-path; career-w27-summaries-and-plots-answer-a-hardware-question; career-w27-career-integration-python-hardware-test-automation-and-data-integrity; career-w27-i-do-we-do-you-do-requirement-to-automated-evidence,Provides the evidence engine for deliberate fault injection and final reports.,Informed by / cross-checked against,pythonDocs; pyserial; pytest; matplotlib; onetTech,Informed by / cross-checked against: Python Software Foundation — Python 3 Documentation; pySerial project — pySerial Documentation; pytest project — pytest Documentation; Matplotlib project — Matplotlib Quick Start; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,PASS
28,Phase V · Capstone & Role Proof,"Fault Injection, Root Cause, and Technical Test Reporting",Advanced,Broad electronics theory and established project/test baseline.,6.2; 6.4; 8.3; 8.6; 21.1; 21.2; 21.3; 21.4; 21.5; 21.6; 21.7; 21.8; 21.9,"Use Week 13 root-cause reasoning, Week 22 verification design, and Week 27 automated evidence.","Formal controlled fault injection, failure-mode coverage, evidence-preserving diagnosis, requirement/result traceability, corrective action, retest, and defensible report writing.",Career demonstrates mastery by using CETa theory to explain and prove real failures.,C5.5,,C3.6; C5.1; C5.2; C5.3; C5.4; C5.6; C10.4; C11.1; C11.2; C11.3; C11.4; C11.5; C11.6; C12.4; C12.5,career-w28-fault-injection-validates-the-detector-and-diagnostic-path; career-w28-root-cause-survives-controlled-reversal; career-w28-a-report-supports-decisions-not-just-a-story; career-w28-career-integration-verification-validation-test-design-and-traceability; career-w28-controlled-fault-injection-needs-a-known-good-baseline; career-w28-the-report-should-show-the-reasoning-chain; career-w28-regression-proves-the-correction-did-not-create-a-new-problem,Produces the strongest troubleshooting story for the portfolio and interviews.,Informed by / cross-checked against,nasaSystems; onetTech; abetETAC,"Informed by / cross-checked against: NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027",PASS
29,Phase V · Capstone & Role Proof,"Instrumentation, Rework, Harnesses, and Role-Proof Integration",Advanced,"All practical electronics, measurement, workmanship, and troubleshooting foundations.",1.5; 5.1; 5.2; 5.3; 5.4; 5.7; 6.2; 7.1; 7.3; 8.3; 8.6; 8.13; 21.2,Only artifacts already created in labs/projects count as evidence; do not invent proficiency.,"Employer-facing role-proof dossier combining instruments, rework/harness quality, bring-up, troubleshooting, code, test evidence, and serviceability.",Career packages the competencies already demonstrated across CETa and project work.,C13.1; C13.2,,C1.2; C1.5; C3.1; C3.2; C3.3; C3.5; C4.1; C4.2; C4.3; C4.4; C4.5; C4.6; C5.4; C12.6,career-w29-select-evidence-by-job-task-not-visual-appeal; career-w29-make-each-artifact-self-explanatory; career-w29-truthful-scope-is-part-of-technical-credibility; career-w29-every-skill-claim-should-point-to-evidence; career-w29-separate-participation-from-demonstrated-competence; career-w29-organize-for-a-hiring-manager-not-for-course-chronology; career-w29-an-evidence-hierarchy-makes-a-portfolio-claim-believable,Feeds the application and interview package without requiring a new technical project.,Informed by / cross-checked against,onetTech; nasaHarness; blsTech,"Informed by / cross-checked against: O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians",PASS
