Node ID,Concept / Competency,Track Owner,Node Type,Prerequisite Node(s),Prerequisite Detail,First Taught / Activated Week,Application Track / Week,Later Deepening / Reuse,Mastery Week / Task,Source Basis,Notes
CETA-W11,"Digital logic levels, Boolean/state concepts, pull resistors, timing, and debounce.",CETa,Official-CETa activation summary,CETA-W10,"Official CETa codes active this week: 9.5, 13.1, 13.2, 13.3, 13.4, 13.5, 13.6, 13.7, 13.8, 13.9, 13.10, 13.11, 13.12",11,Career Week 11 activation where relevant,"Prepares MCU GPIO, registers, interrupts, and serial-bus analysis.",Week 11 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W12,Soldering/rework/workmanship and physical interconnection concepts.,CETa,Official-CETa activation summary,CETA-W11,"Official CETa codes active this week: 1.5, 1.6, 1.10, 3.1, 5.1, 5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 5.10, 5.11, 5.8.1, 5.8.2, 5.12",12,Career Week 12 activation where relevant,"Git becomes infrastructure for C, STM32, projects, test scripts, and portfolio evidence after this week.",Week 12 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W13,"Schematics, components, datasheets, signal flow, and prior troubleshooting evidence.",CETa,Official-CETa activation summary,CETA-W12,"Official CETa codes active this week: 6.1, 6.2, 6.3, 6.4, 6.5, 6.6, 6.7, 6.8, 6.9, 6.10, 8.3, 8.6, 21.2, 21.4",13,Career Week 13 activation where relevant,"This reasoning model becomes the debugging backbone for C, MCU, buses, and projects; Week 28 later adds formal controlled fault injection.",Week 13 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W14,"Binary/hex, logic, computer/processor concepts, and the idea that source code is translated into executable machine instructions.",CETa,Official-CETa activation summary,CETA-W13,"Official CETa codes active this week: 13.1, 13.11, 15.1, 15.2, 15.3, 15.4, 15.5, 15.6, 16.1, 16.2, 16.3, 15.9",14,Career Week 14 activation where relevant,Provides the programming prerequisites for embedded state/timing and STM32 work.,Week 14 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W15,"Microprocessor architecture, registers, ports, binary/bit logic, clocks, and timing concepts.",CETa,Official-CETa activation summary,CETA-W14,"Official CETa codes active this week: 9.5, 13.2, 13.3, 13.4, 15.3, 15.4, 15.5, 15.6, 15.7, 16.3",15,Career Week 15 activation where relevant,"Direct prerequisite for STM32 configuration, SWD debugging, GPIO, timers, and interfaces.",Week 15 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W16,"MCU architecture, GPIO/register concepts, clocks, and interface fundamentals available so far.",CETa,Official-CETa activation summary,CETA-W15,"Official CETa codes active this week: 13.11, 15.1, 15.2, 15.3, 15.4, 15.5, 15.6, 15.8, 16.3",16,Career Week 16 activation where relevant,"Creates a known-good MCU baseline plus first peripheral proofs for host serial, I2C/SPI, sensors, and Project 1.",Week 16 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W17,UART framing/levels and serial communication theory.,CETa,Official-CETa activation summary,CETA-W16,"Official CETa codes active this week: 12.1, 12.2, 15.4, 16.1, 16.2, 16.3, 16.6, 16.7, 16.8, 16.9, 16.4, 16.5",17,Career Week 17 activation where relevant,Python becomes the host/test foundation for later automated hardware validation.,Week 17 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W18,UART/I2C/SPI electrical and protocol models plus MCU peripheral concepts.,CETa,Official-CETa activation summary,CETA-W17,"Official CETa codes active this week: 8.6, 12.1, 12.2, 12.3, 12.4, 12.5, 13.11, 15.4",18,Career Week 18 activation where relevant,Supports Project 1 peripheral integration and automated interface verification.,Week 18 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W19,"Cabling, connectors, transmission media, continuity, and workmanship concepts.",CETa,Official-CETa activation summary,CETA-W18,"Official CETa codes active this week: 1.9, 3.4, 7.1, 7.2, 7.3, 7.4, 7.5, 7.6, 7.7, 7.8, 7.9, 7.10, 7.11, 7.12, 7.13, 17.1, 17.2, 17.3, 17.4, 17.5, 17.6, 17.7, 17.8, 17.9, 18.1, 18.2, 18.3, 18.4, 18.5, 18.6, 18.7, 7.6.1, 7.9.1, 18.1.1, 18.2.1, 18.2.2, 18.3.1, 18.3.2, 18.5.1, 18.6.1",19,Career Week 19 activation where relevant,Prepares reliable project interconnects and employer-facing workmanship evidence.,Week 19 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W20,"RF/telecom fundamentals: frequency, spectra, modulation, transmission lines, and technician procedures.",CETa,Official-CETa activation summary,CETA-W19,"Official CETa codes active this week: 1.8, 1.10.2, 7.2, 8.9, 9.7, 19.1, 19.2, 19.3, 19.4, 19.5, 19.6, 19.7, 19.8, 19.9, 19.10, 19.11, 20.1, 20.2, 20.3, 20.4, 20.5, 21.1, 21.2, 21.3, 21.4, 21.5, 21.6, 21.7, 21.8, 21.9, 19.2.1",20,Career Week 20 activation where relevant,Strengthens professional test procedure and handoff skills used in project validation.,Week 20 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W21,"Broad CETa theory accumulated across electrical, components, digital, communications, safety, and procedures.",CETa,Official-CETa activation summary,CETA-W20,"Official CETa codes active this week: 1.1, 2.6, 3.6, 4.1, 5.1, 6.2, 7.2, 8.3, 9.1, 10.1, 11.4, 12.1, 13.2, 15.3, 16.3, 17.2, 18.3, 19.3, 20.1, 21.2",21,Career Week 21 activation where relevant,Prepares requirements/project work where the learner must select methods without topic labels.,Week 21 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W22,Readiness review plus broad technical foundation.,CETa,Official-CETa activation summary,CETA-W21,"Official CETa codes active this week: 1.1, 2.6, 4.1, 6.2, 8.3, 9.1, 21.2, 21.4",22,Career Week 22 activation where relevant,Defines the contract for Project 1 and later automated validation.,Week 22 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W23,CETa readiness evidence and all prior technical foundations.,CETa,Official-CETa activation summary,CETA-W22,"Official CETa codes active this week: 1.1, 8.3, 9.1, 21.1, 21.2, 21.4, 21.7",23,Career Week 23 activation where relevant,Prevents first-power ambiguity and provides a known baseline for every Project 1 change.,Week 23 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W24,"Power, measurement, digital/MCU, safety, and component behavior.",CETa,Official-CETa activation summary,CETA-W23,"Official CETa codes active this week: 1.4, 1.5, 8.3, 8.6, 8.13, 9.1, 10.1, 10.5",24,Career Week 24 activation where relevant,Creates the known-good platform required before adding a sensor/peripheral.,Week 24 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W25,"I2C/SPI/interface theory, sensors, ADC/digital concepts, and prior measurement skills.",CETa,Official-CETa activation summary,CETA-W24,"Official CETa codes active this week: 3.4, 8.6, 12.1, 12.2, 12.3, 12.4, 12.5, 18.2",25,Career Week 25 activation where relevant,Provides a stable functional slice that firmware architecture and automated test can exercise.,Week 25 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W26,"MCU architecture, digital/state concepts, and the project peripheral now working.",CETa,Official-CETa activation summary,CETA-W25,"Official CETa codes active this week: 13.2, 13.3, 13.4, 13.11, 15.1, 15.3, 15.4, 15.5, 15.6",26,Career Week 26 activation where relevant,Makes Project 1 observable and controllable enough for automated testing.,Week 26 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W27,Measurement/test concepts plus the working Project 1 interface.,CETa,Official-CETa activation summary,CETA-W26,"Official CETa codes active this week: 9.1, 9.3, 12.1, 15.4, 16.1, 16.2, 16.3, 16.6, 16.7, 16.8, 16.9, 16.10",27,Career Week 27 activation where relevant,Provides the evidence engine for deliberate fault injection and final reports.,Week 27 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W28,Broad electronics theory and established project/test baseline.,CETa,Official-CETa activation summary,CETA-W27,"Official CETa codes active this week: 6.2, 6.4, 8.3, 8.6, 21.1, 21.2, 21.3, 21.4, 21.5, 21.6, 21.7, 21.8, 21.9",28,Career Week 28 activation where relevant,Produces the strongest troubleshooting story for the portfolio and interviews.,Week 28 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W29,"All practical electronics, measurement, workmanship, and troubleshooting foundations.",CETa,Official-CETa activation summary,CETA-W28,"Official CETa codes active this week: 1.5, 5.1, 5.2, 5.3, 5.4, 5.7, 6.2, 7.1, 7.3, 8.3, 8.6, 8.13, 21.2",29,Career Week 29 activation where relevant,Feeds the application and interview package without requiring a new technical project.,Week 29 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W30,Completed technical evidence plus readiness results.,CETa,Official-CETa activation summary,CETA-W29,"Official CETa codes active this week: 8.3, 9.1, 21.1, 21.2, 21.3, 21.4, 21.5, 21.6, 21.7, 21.8, 21.9",30,Career Week 30 activation where relevant,Creates a reusable application package and feedback baseline.,Week 30 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CETA-W31,Course technical foundation is complete; remaining work is retention and targeted repair.,CETa,Official-CETa activation summary,CETA-W30,"Official CETa codes active this week: 1.1, 8.3, 9.1, 21.2, 21.4, 21.7",31,Career Week 31 activation where relevant,Transitions Alfred from course delivery to ongoing targeted professional development.,Week 31 CETa lesson/mastery route,ETA/CETa official competencies + Alfred CETa lesson mapping,Summary node only; official CETa competency wording/identity remains unchanged.
CAREER-W03-MEASUREMENT-PLAN,Question-first DMM/bench-supply/oscilloscope measurement planning,Career,Instructional bridge concept,CETA-W01; CETA-W02; CETA-W03,Use Week 1 bench safety and the CETa measurement concepts already taught. No professional measurement-planning experience is assumed.,3,Career Week 3,"Becomes the common measurement workflow for filters, semiconductors, MCU bring-up, RF work, and later digital-bus analysis; logic-analyzer configuration is first taught in Week 18.",See linked Career standards / semantic tasks,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; Fluke — Digital Multimeter Basics; Tektronix — The XYZs of Oscilloscopes; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,Concept-level bridge used to make cross-track dependency order auditable.
CAREER-W12-GIT-FOUNDATION,CLI/project location → repository/working tree → status/diff → staging → commit/history → branch/tag baseline → lab/report/handoff evidence,Career,Instructional bridge concept,CETA-W12,"No CLI or version-control fluency assumed. Teach current directory, file listing, directory changes, relative paths, repository root, and documented command execution before Git becomes infrastructure.",12,Career Week 12,"Git becomes infrastructure for C, STM32, projects, test scripts, and portfolio evidence after this week.",See linked Career standards / semantic tasks,"Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; GitHub Skills — Introduction to Git; NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; NASA — NASA-HDBK-8739.21 — ESD Control",Concept-level bridge used to make cross-track dependency order auditable.
CAREER-W14-C-FOUNDATION,"C from program anatomy through data structures, addresses, pointers, and diagnostics",Career,Instructional bridge concept,CETA-W14,No C programming is assumed. Use only CETa binary/computer fundamentals and Week 12 project-file/Git habits.,14,Career Week 14,Provides the programming prerequisites for embedded state/timing and STM32 work.,See linked Career standards / semantic tasks,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Brian Hall / open textbook — Beej's Guide to C Programming; Harvard University — CS50x Week 4 — Memory and Pointers; Arm — Embedded C Programming with Arm Cortex-M,Concept-level bridge used to make cross-track dependency order auditable.
CAREER-W15-EMBEDDED-ARCH,"Nonblocking embedded architecture, state, polling/interrupt mental model, volatile",Career,Instructional bridge concept,CAREER-W14-C-FOUNDATION; CETA-W15,"Week 14 C must be usable before this lesson. Bring forward functions, types, arrays/pointers, bitwise masks, and debugging.",15,Career Week 15,"Direct prerequisite for STM32 configuration, SWD debugging, GPIO, timers, and interfaces.",See linked Career standards / semantic tasks,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm — Embedded C Programming with Arm Cortex-M; Arm University Program — Efficient Embedded Systems Education Kit; STMicroelectronics — STM32 Online Training,Concept-level bridge used to make cross-track dependency order auditable.
CAREER-W16-STM32-BASELINE,"STM32 board/project/build/flash/SWD/GPIO baseline, then timer and ADC proofs",Career,Instructional bridge concept,CAREER-W15-EMBEDDED-ARCH; CAREER-W03-MEASUREMENT-PLAN; CETA-W16,"Use Week 14 C and Week 15 embedded architecture. No prior STM32 IDE, build, flash, or SWD experience is assumed.",16,Career Week 16,"Creates a known-good MCU baseline plus first peripheral proofs for host serial, I2C/SPI, sensors, and Project 1.",See linked Career standards / semantic tasks,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; STMicroelectronics — STM32 Online Training; STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics; Arm University Program — Efficient Embedded Systems Education Kit,Concept-level bridge used to make cross-track dependency order auditable.
CAREER-W17-PYTHON-SERIAL,Python-from-zero → bytes/text → files/exceptions → serial framing/validation/logging,Career,Instructional bridge concept,CAREER-W14-C-FOUNDATION; CETA-W17,"Use CETa UART theory, Week 14 programming ideas, and Week 16 known-good MCU baseline. No Python knowledge is assumed.",17,Career Week 17,Python becomes the host/test foundation for later automated hardware validation.,See linked Career standards / semantic tasks,Python Software Foundation — Python 3 Documentation; pySerial project — pySerial Documentation; SparkFun — Serial Communication; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,Concept-level bridge used to make cross-track dependency order auditable.
CAREER-W18-I2C-LOGIC,One complete I²C datasheet-to-wire-to-transaction-to-logic-analyzer proof before SPI comparison,Career,Instructional bridge concept,CAREER-W16-STM32-BASELINE; CAREER-W03-MEASUREMENT-PLAN; CETA-W18,"Use Week 16 STM32 bring-up, Week 17 host-side serial thinking, and CETa bus fundamentals. The learner should already understand what a register, pin, wire reference, and transaction are.",18,Career Week 18,Supports Project 1 peripheral integration and automated interface verification.,See linked Career standards / semantic tasks,STMicroelectronics — STM32 Online Training; Saleae — Logic Analyzer Learning and Support; SparkFun — I2C; SparkFun — Serial Peripheral Interface (SPI),Concept-level bridge used to make cross-track dependency order auditable.
CAREER-W19-HARNESS,Harness strip/crimp/strain relief/orientation/continuity workmanship proof,Career,Instructional bridge concept,CETA-W19; CETA-W12,Use CETa cable/media theory plus Week 3 measurement discipline and Week 12 workmanship evidence.,19,Career Week 19,Prepares reliable project interconnects and employer-facing workmanship evidence.,See linked Career standards / semantic tasks,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills",Concept-level bridge used to make cross-track dependency order auditable.
CAREER-W22-VERIFICATION,Requirement → setup/stimulus → expected result → evidence → verdict → traceability,Career,Instructional bridge concept,CAREER-W03-MEASUREMENT-PLAN; CETA-W22,"Use the troubleshooting, documentation, Git, measurement, and interface habits already established.",22,Career Week 22,Defines the contract for Project 1 and later automated validation.,See linked Career standards / semantic tasks,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027; NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",Concept-level bridge used to make cross-track dependency order auditable.
CAREER-W28-FAULT-INJECTION,Known-good baseline → safe controlled fault → predicted signature → detection → restoration/retest,Career,Instructional bridge concept,CAREER-W22-VERIFICATION; CETA-W28,"Use Week 13 root-cause reasoning, Week 22 verification design, and Week 27 automated evidence.",28,Career Week 28,Produces the strongest troubleshooting story for the portfolio and interviews.,See linked Career standards / semantic tasks,"NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027",Concept-level bridge used to make cross-track dependency order auditable.
CAREER-W31-FEEDBACK,Application/interview feedback → targeted repair → new evidence → re-entry loop,Career,Instructional bridge concept,CETA-W31,Use the existing portfolio/application package and real feedback. Do not restart mastered curriculum wholesale.,31,Career Week 31,Transitions Alfred from course delivery to ongoing targeted professional development.,See linked Career standards / semantic tasks,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,Concept-level bridge used to make cross-track dependency order auditable.
C1.1,"Prepare a low-voltage electronics bench using current limits, safe power-up sequencing, and an explicit stop condition.",Career,Career standard,CETA-W01,"CETA-W01 (electrical quantities, polarity/reference, safety boundaries); no prior bench-equipment experience assumed",1,Career Week 1,"Week 3, Week 5, Week 9, Week 23, Week 24",Week 1 · SEM-C1-01-075,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Georgia Piedmont Technical College — Electronics Technology — current catalog; Fluke — Electrical Measurement Safety; NASA — NASA-HDBK-8739.21 — ESD Control,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C1.2,"Apply ESD controls appropriate to CMOS/semiconductor handling and explain when straps, mats, grounding, and antistatic storage matter.",Career,Career standard,CETA-W01,"CETA-W01 (electrical quantities, polarity/reference, safety boundaries); no prior bench-equipment experience assumed",1,Career Week 1,"Week 8, Week 12, Week 24, Week 29",Week 1 · SEM-C1-01-075,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Georgia Piedmont Technical College — Electronics Technology — current catalog; Fluke — Electrical Measurement Safety; NASA — NASA-HDBK-8739.21 — ESD Control,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C1.3,"Distinguish safe low-voltage troubleshooting from work that requires qualified supervision, isolation, or energized-work procedures.",Career,Career standard,CETA-W01,"CETA-W01 (electrical quantities, polarity/reference, safety boundaries); no prior bench-equipment experience assumed",1,Career Week 1,"Week 3, Week 9, Week 20",Week 1 · SEM-C1-01-075,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Georgia Piedmont Technical College — Electronics Technology — current catalog; Fluke — Electrical Measurement Safety; NASA — NASA-HDBK-8739.21 — ESD Control,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C1.4,"Perform a pre-power inspection for polarity, shorts, connector orientation, exposed conductors, and current-limit settings.",Career,Career standard,CETA-W01,"CETA-W01 (electrical quantities, polarity/reference, safety boundaries); no prior bench-equipment experience assumed",1,Career Week 1,"Week 3, Week 5, Week 7, Week 9, Week 21, Week 23, Week 24",Week 1 · SEM-C1-01-075,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Georgia Piedmont Technical College — Electronics Technology — current catalog; Fluke — Electrical Measurement Safety; NASA — NASA-HDBK-8739.21 — ESD Control,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C1.5,"Choose ESD controls, PPE, ventilation, and tool practices appropriate to low-voltage bench inspection, measurement, and basic assembly, and identify when soldering, rework, cutting, or crimping requires process-specific controls taught later.",Career,Career standard,CETA-W01,"CETA-W01 (electrical quantities, polarity/reference, safety boundaries); no prior bench-equipment experience assumed",1,Career Week 1,"Week 12, Week 19, Week 29",Week 1 · SEM-C1-01-075,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Georgia Piedmont Technical College — Electronics Technology — current catalog; Fluke — Electrical Measurement Safety; NASA — NASA-HDBK-8739.21 — ESD Control,REWRITE · Informed by · Alfred teaches the general bench-control decision in Week 1 and defers process-specific workmanship/tool technique to the later solder/rework and harness lessons.
C1.6,Document a safety or setup hazard and the corrective action before continuing a test.,Career,Career standard,CETA-W01,"CETA-W01 (electrical quantities, polarity/reference, safety boundaries); no prior bench-equipment experience assumed",1,Career Week 1,Later cumulative practice/project evidence as applicable,Week 1 · SEM-C1-01-075,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Georgia Piedmont Technical College — Electronics Technology — current catalog; Fluke — Electrical Measurement Safety; NASA — NASA-HDBK-8739.21 — ESD Control,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C2.1,"Read a schematic by following power rails, grounds, signal flow, reference designators, and functional blocks.",Career,Career standard,CETA-W02,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,13,Career Week 13,Later cumulative practice/project evidence as applicable,Week 13 · SEM-C2-13-076,Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
