Week,Career lesson,Foundational CETa knowledge,Career prerequisite activation,Career-owned new learning,Later deepening/mastery,Difficulty
21,Turn broad theory into rapid technician choices,"Broad CETa theory accumulated across electrical, components, digital, communications, safety, and procedures.",Use all prior foundational models but continue to choose the smallest relevant model for each scenario.,"Rapid technician triage: identify the domain, select the likely evidence source/tool, state a hypothesis, and choose a safe next action.",Prepares requirements/project work where the learner must select methods without topic labels.,Intermediate
22,Write requirements and verification before building,Readiness review plus broad technical foundation.,"Use the troubleshooting, documentation, Git, measurement, and interface habits already established.","Requirements, acceptance criteria, verification methods, traceability, test planning, and scope control before build work.",Defines the contract for Project 1 and later automated validation.,Advanced
23,Create a controlled project baseline before hardware bring-up,CETa readiness evidence and all prior technical foundations.,"Requirements must exist before the project baseline. Git/project structure, lab records, and safety limits are already taught.","Controlled project baseline: repository, configuration identity, issue/evidence structure, bench readiness, BOM/interface ownership, and reproducible start state.",Prevents first-power ambiguity and provides a known baseline for every Project 1 change.,Advanced
24,Execute staged first power and establish a known-good baseline,"Power, measurement, digital/MCU, safety, and component behavior.",Use the controlled baseline from Week 23 plus the Week 1/9/16 bring-up ladders.,"Project first power with inspection, continuity, current limiting, rail verification, reset/boot/debug checks, GPIO/UART proof, and baseline evidence.",Creates the known-good platform required before adding a sensor/peripheral.,Advanced
25,Integrate one peripheral through a controlled vertical slice,"I2C/SPI/interface theory, sensors, ADC/digital concepts, and prior measurement skills.",Use Week 18 one-interface workflow and Week 24 known-good project baseline.,"One controlled peripheral vertical slice from datasheet and wiring through firmware, capture, engineering-unit conversion, fault handling, and evidence.",Provides a stable functional slice that firmware architecture and automated test can exercise.,Advanced
26,"Separate drivers, application state, diagnostics, and recovery","MCU architecture, digital/state concepts, and the project peripheral now working.",Use Week 15 nonblocking/state/interrupt concepts and Week 25 working vertical slice.,"Firmware layering: drivers, application state, diagnostics, timeouts, error/recovery paths, versioned changes, and testable module boundaries.",Makes Project 1 observable and controllable enough for automated testing.,Advanced
27,Design a maintainable automated hardware test,Measurement/test concepts plus the working Project 1 interface.,"Use Week 17 Python/serial, Week 22 requirements/verification, and Week 26 observable firmware. No automated-test architecture is assumed beyond those pieces.","Automated-test lifecycle, fixture/DUT boundaries, setup/stimulus/acquisition/evaluation/cleanup, PASS/FAIL/ERROR/INCONCLUSIVE semantics, configuration source-of-truth, logs, plots, and boundary tests.",Provides the evidence engine for deliberate fault injection and final reports.,Advanced
28,Design controlled faults and write a defensible report,Broad electronics theory and established project/test baseline.,"Use Week 13 root-cause reasoning, Week 22 verification design, and Week 27 automated evidence.","Controlled fault injection, failure-mode coverage, evidence-preserving diagnosis, requirement/result traceability, corrective action, retest, and defensible report writing.",Produces the strongest troubleshooting story for the portfolio and interviews.,Advanced
29,Assemble an employer-facing role-proof dossier,"All practical electronics, measurement, workmanship, and troubleshooting foundations.",Only artifacts already created in labs/projects count as evidence; do not invent proficiency.,"Employer-facing role-proof dossier combining instruments, rework/harness quality, bring-up, troubleshooting, code, test evidence, and serviceability.",Feeds the application and interview package without requiring a new technical project.,Advanced
30,Build an evidence-first application and interview package,Completed technical evidence plus readiness results.,Use verified project/lab evidence and accurate statements of personal contribution.,"Evidence-first portfolio, truthful resume bullets, 90-second transition story, technical project explanations, troubleshooting interviews, and job-description skill-gap analysis.",Creates a reusable application package and feedback baseline.,Advanced
31,Run applications as an evidence-and-feedback loop,Course technical foundation is complete; remaining work is retention and targeted repair.,Use the existing portfolio/application package and real feedback. Do not restart mastered curriculum wholesale.,"Application/interview feedback loop, gap classification, targeted technical repair, portfolio maintenance, and bridge-role targeting.",Transitions Alfred from course delivery to ongoing targeted professional development.,Advanced
