Canonical ID,New in Part 2,Title,Author / Organization,Provider,URL / Source,Literature Type,Access,Assignment Week,Instructional Week,Lesson,Section ID,Section Label,Relationship,Requirement,Inline,Read / Use,Focus On,After Reading,Why Here,Practical / Real-world,Exact Backlink,Target Valid,Orphan,Final Status
flukeMultimeterGuide,NO — existing written source reused,How to Use a Multimeter — Comprehensive Guide,Fluke,Fluke,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,9,9,Career,career-w09-use-rail-behavior-to-distinguish-source-regulator-and-load-faults,"Use rail behavior to distinguish source, regulator, and load faults",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Use rail behavior to distinguish source, regulator, and load faults.”","After using this reference, be able to locate, explain, or apply: Never measure resistance on an energized circuit and preserve expected/measured/decision evidence.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=9&stage=career-lesson&lesson=1&section=career-w09-use-rail-behavior-to-distinguish-source-regulator-and-load-faults&from=media&mediaWeek=9&media=flukeMultimeterGuide,YES,NO,PASS
aacLogicLevels,NO — existing written source reused,Logic Signal Voltage Levels,All About Circuits,All About Circuits,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,11,11,Career,career-w11-a-logical-1-is-a-voltage-range-not-the-word-high,"A logical 1 is a voltage range, not the word “high”",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “A logical 1 is a voltage range, not the word “high”.”","After using this resource, be able to explain or apply: Use datasheet VIH/VIL/VOH/VOL rather than assuming ‘0 V/5 V’.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=11&stage=career-lesson&lesson=1&section=career-w11-a-logical-1-is-a-voltage-range-not-the-word-high&from=media&mediaWeek=11&media=aacLogicLevels,YES,NO,PASS
saleaeDigitalSignals,NO — existing written source reused,STM32 Nucleo Board — Digital Signals,Saleae,Saleae,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,11,11,Career,career-w11-debounce-is-a-time-domain-problem,Debounce is a time-domain problem,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Debounce is a time-domain problem.”,"After using this resource, be able to explain or apply: Correlate raw edges with decoded/logical events; do not rely only on a screenshot.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=11&stage=career-lesson&lesson=1&section=career-w11-debounce-is-a-time-domain-problem&from=media&mediaWeek=11&media=saleaeDigitalSignals,YES,NO,PASS
nasaESD,NO — existing written source reused,NASA-HDBK-8739.21 — ESD Control,NASA,NASA,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,12,12,CETa,concept-10,ESD control is specific to the work state,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “ESD control is specific to the work state.”,"After using this reference, be able to locate, explain, or apply: Keep ESD device protection distinct from shock/energy safety.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=12&stage=ceta-lesson&lesson=0&section=concept-10&from=media&mediaWeek=12&media=nasaESD,YES,NO,PASS
adafruitSolderProblems,NO — existing written source reused,Adafruit Guide to Excellent Soldering — Common Soldering Problems,Adafruit Learning System,Adafruit Learning System,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,12,12,CETa,concept-5,"Heat shunts, cold joints, and good mechanical/electrical connections",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Heat shunts, cold joints, and good mechanical/electrical connections.”","After using this resource, be able to explain or apply: Identify cold/disturbed/overheated joints, poor wetting, bridges, excess/insufficient solder and lifted pads.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=12&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=12&media=adafruitSolderProblems,YES,NO,PASS
nasaHarness,NO — existing written source reused,"NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring",NASA,NASA,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,12,12,Career,career-w12-career-integration-solder-rework-workmanship-and-harness-evidence,Career integration: solder/rework workmanship and harness evidence,Used in,supporting,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Career integration: solder/rework workmanship and harness evidence.”,"After using this reference, be able to locate, explain, or apply: State objective accept/rework/escalate evidence.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=12&stage=career-lesson&lesson=1&section=career-w12-career-integration-solder-rework-workmanship-and-harness-evidence&from=media&mediaWeek=12&media=nasaHarness,YES,NO,PASS
githubSkills,NO — existing written source reused,Introduction to Git,GitHub Skills,GitHub Skills,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,12,12,Career,career-w12-command-line-navigation-is-a-small-reproducibility-tool-not-assumed-know,"Command-line navigation is a small reproducibility tool, not assumed knowledge",Lab preparation for,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Command-line navigation is a small reproducibility tool, not assumed knowledge.”","After using this resource, be able to explain or apply: Do not infer command-line git status/diff/log or configuration-management depth from this introduction; those are taught explicitly in Weeks 22–23.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=12&stage=career-lesson&lesson=1&section=career-w12-command-line-navigation-is-a-small-reproducibility-tool-not-assumed-know&from=media&mediaWeek=12&media=githubSkills,YES,NO,PASS
nasaCrewElectronicsRepair,NO — existing written source reused,NASA/TM-2011-216933 — Electronics Repair Training for Spaceflight Crews,NASA,NASA,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,12,12,CETa,concept-4,"Solder safety, fumes, splatter, flux, and alloy choice",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Solder safety, fumes, splatter, flux, and alloy choice.”","After using this resource, be able to explain or apply: Treat solder alloy/flux/process as controlled variables; identify contamination, overheating and poor wetting risks before rework.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=12&stage=ceta-lesson&lesson=0&section=concept-4&from=media&mediaWeek=12&media=nasaCrewElectronicsRepair,YES,NO,PASS
saleaeDigitalSignals,NO — existing written source reused,STM32 Nucleo Board — Digital Signals,Saleae,Saleae,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,15,15,Career,career-w15-career-integration-embedded-c-mcu-architecture-and-nonblocking-design,"Career integration: embedded C, MCU architecture, and nonblocking design",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Career integration: embedded C, MCU architecture, and nonblocking design.”","After using this resource, be able to explain or apply: Preserve sample rate, channel/threshold and measured interval so timing claims are reproducible.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=15&stage=career-lesson&lesson=1&section=career-w15-career-integration-embedded-c-mcu-architecture-and-nonblocking-design&from=media&mediaWeek=15&media=saleaeDigitalSignals,YES,NO,PASS
pyserial,NO — existing written source reused,pySerial Documentation,pySerial project,pySerial project,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,17,17,Career,career-w17-use-pyserial-as-a-visible-port-bytes-message-pipeline,Use pySerial as a visible port → bytes → message pipeline,Used in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Use pySerial as a visible port → bytes → message pipeline.”,"After using this reference, be able to locate, explain, or apply: Expect partial reads and define what timeout means for the test.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=17&stage=career-lesson&lesson=1&section=career-w17-use-pyserial-as-a-visible-port-bytes-message-pipeline&from=media&mediaWeek=17&media=pyserial,YES,NO,PASS
saleaeI2cGuide,NO — existing written source reused,I2C Analyzer — User Guide,Saleae,Saleae,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,18,18,Career,career-w18-learn-the-logic-analyzer-on-that-known-good-i2c-transaction,Learn the logic analyzer on that known-good I²C transaction,Used in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Learn the logic analyzer on that known-good I²C transaction.”,"After using this reference, be able to locate, explain, or apply: Inspect raw waveform whenever decode conflicts with the datasheet transaction.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=18&stage=career-lesson&lesson=1&section=career-w18-learn-the-logic-analyzer-on-that-known-good-i2c-transaction&from=media&mediaWeek=18&media=saleaeI2cGuide,YES,NO,PASS
saleaeSpiGuide,NO — existing written source reused,SPI Analyzer — User Guide,Saleae,Saleae,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,18,18,Career,career-w18-run-one-small-spi-comparison-transaction,Run one small SPI comparison transaction,Used in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Run one small SPI comparison transaction.”,"After using this reference, be able to locate, explain, or apply: If bytes are wrong, verify alignment and CPOL/CPHA against raw edges.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=18&stage=career-lesson&lesson=1&section=career-w18-run-one-small-spi-comparison-transaction&from=media&mediaWeek=18&media=saleaeSpiGuide,YES,NO,PASS
aacTransmissionLine,NO — existing written source reused,What Is a Transmission Line?,All About Circuits,All About Circuits,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,20,20,CETa,concept-5,"Antennas, feedlines, impedance matching, SWR/VSWR, and feedline types",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Antennas, feedlines, impedance matching, SWR/VSWR, and feedline types.”","After using this resource, be able to explain or apply: Explain why an RF interconnect can change the signal even when DC continuity is perfect.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=20&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=20&media=aacTransmissionLine,YES,NO,PASS
nasaRequirementAppendix,NO — existing written source reused,NASA Systems Engineering Handbook Appendix — How to Write a Good Requirement,NASA,NASA,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,22,22,Career,career-w22-a-requirement-describes-observable-behavior-and-conditions,A requirement describes observable behavior and conditions,Used in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “A requirement describes observable behavior and conditions.”,"After using this reference, be able to locate, explain, or apply: Use ‘shall’ for requirements, active voice, necessary tolerances and testable/implementation-independent wording.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=22&stage=career-lesson&lesson=1&section=career-w22-a-requirement-describes-observable-behavior-and-conditions&from=media&mediaWeek=22&media=nasaRequirementAppendix,YES,NO,PASS
nasaSystems,NO — existing written source reused,NASA Systems Engineering Handbook,NASA,NASA,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,22,22,Career,career-w22-traceability-controls-scope,Traceability controls scope,Used in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Traceability controls scope.”,"After using this reference, be able to locate, explain, or apply: Every verification record should point back to a requirement and vice versa.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=22&stage=career-lesson&lesson=1&section=career-w22-traceability-controls-scope&from=media&mediaWeek=22&media=nasaSystems,YES,NO,PASS
githubSkills,NO — existing written source reused,Introduction to Git,GitHub Skills,GitHub Skills,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,23,23,Career,career-w23-a-repository-is-the-projects-reconstructable-memory,A repository is the project’s reconstructable memory,Lab preparation for,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “A repository is the project’s reconstructable memory.”,"After using this resource, be able to explain or apply: Do not infer command-line status/diff/log, rollback or complete configuration management from this introduction; those skills are taught by the resources below.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=23&stage=career-lesson&lesson=1&section=career-w23-a-repository-is-the-projects-reconstructable-memory&from=media&mediaWeek=23&media=githubSkills,YES,NO,PASS
nasaSystems,NO — existing written source reused,NASA Systems Engineering Handbook,NASA,NASA,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,23,23,Career,career-w23-a-controlled-baseline-isolates-future-change,A controlled baseline isolates future change,Used in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “A controlled baseline isolates future change.”,"After using this reference, be able to locate, explain, or apply: Record versions, BOM identifiers, interfaces and the planned evidence for first power.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=23&stage=career-lesson&lesson=1&section=career-w23-a-controlled-baseline-isolates-future-change&from=media&mediaWeek=23&media=nasaSystems,YES,NO,PASS
nasaConfigManagement,NO — existing written source reused,NASA Systems Engineering Handbook — 6.5 Configuration Management,NASA,NASA,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,23,23,Career,career-w23-a-repository-is-the-projects-reconstructable-memory,A repository is the project’s reconstructable memory,Used in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “A repository is the project’s reconstructable memory.”,"After using this reference, be able to locate, explain, or apply: Know exactly which hardware, firmware, documentation and test configuration constitutes the current baseline before modifying it.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=23&stage=career-lesson&lesson=1&section=career-w23-a-repository-is-the-projects-reconstructable-memory&from=media&mediaWeek=23&media=nasaConfigManagement,YES,NO,PASS
flukeMultimeterGuide,NO — existing written source reused,How to Use a Multimeter — Comprehensive Guide,Fluke,Fluke,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,24,24,Career,career-w24-unpowered-checks-find-cheap-faults,Unpowered checks find cheap faults,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Unpowered checks find cheap faults.”,"After using this reference, be able to locate, explain, or apply: Record expected rail, measured rail, units and decision; never measure resistance on an energized circuit.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=24&stage=career-lesson&lesson=1&section=career-w24-unpowered-checks-find-cheap-faults&from=media&mediaWeek=24&media=flukeMultimeterGuide,YES,NO,PASS
nasaSensorRangeCheck,NO — existing written source reused,R049 — Missing Software Sensor Range Checking Capabilities,NASA Software Engineering Handbook,NASA Software Engineering Handbook,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,25,25,Career,career-w25-failure-behavior-is-part-of-the-feature,Failure behavior is part of the feature,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Failure behavior is part of the feature.”,"After using this resource, be able to explain or apply: Define the valid range from requirements/datasheet evidence, preserve the raw reading, mark invalid data explicitly and decide the safe application response rather than clamping or hiding the fault.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=25&stage=career-lesson&lesson=1&section=career-w25-failure-behavior-is-part-of-the-feature&from=media&mediaWeek=25&media=nasaSensorRangeCheck,YES,NO,PASS
stWatchdogGuide,NO — existing written source reused,Getting Started with STM32 Watchdogs,STMicroelectronics,STMicroelectronics,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,26,26,Career,career-w26-timeouts-and-error-states-make-absence-observable,Timeouts and error states make absence observable,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Timeouts and error states make absence observable.”,"After using this resource, be able to explain or apply: Design watchdog service around verified progress, not unconditional kicking.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=26&stage=career-lesson&lesson=1&section=career-w26-timeouts-and-error-states-make-absence-observable&from=media&mediaWeek=26&media=stWatchdogGuide,YES,NO,PASS
pyserial,NO — existing written source reused,pySerial Documentation,pySerial project,pySerial project,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,27,27,Career,career-w27-automated-test-is-still-a-physical-measurement-system,Automated test is still a physical measurement system,Used in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Automated test is still a physical measurement system.”,"After using this reference, be able to locate, explain, or apply: Expect partial reads; define timeout semantics; always close/clean up the port.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=27&stage=career-lesson&lesson=1&section=career-w27-automated-test-is-still-a-physical-measurement-system&from=media&mediaWeek=27&media=pyserial,YES,NO,PASS
keysightPythonAutomation,NO — existing written source reused,Instrument Control and Automation with Python,Keysight Technologies,Keysight Technologies,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,27,27,Career,career-w27-career-integration-python-hardware-test-automation-and-data-integrity,Career integration: Python hardware-test automation and data integrity,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Career integration: Python hardware-test automation and data integrity.”,"After using this resource, be able to explain or apply: Keep instrument drivers responsible for reliable I/O and test logic responsible for requirement conditions/verdicts; preserve raw returned data before derived reporting.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=27&stage=career-lesson&lesson=1&section=career-w27-career-integration-python-hardware-test-automation-and-data-integrity&from=media&mediaWeek=27&media=keysightPythonAutomation,YES,NO,PASS
niFaultInjection,NO — existing written source reused,Using Fault Insertion Units for Electronic Testing,National Instruments,National Instruments,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,28,28,Career,career-w28-fault-injection-validates-the-detector-and-diagnostic-path,Fault injection validates the detector and diagnostic path,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Fault injection validates the detector and diagnostic path.”,"After using this resource, be able to explain or apply: Distinguish open circuit, pin-to-pin short, short-to-ground and short-to-power concepts; the course must emulate only electrically safe faults appropriate to the low-voltage project rather than copying high-energy HIL hardware literally.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=28&stage=career-lesson&lesson=1&section=career-w28-fault-injection-validates-the-detector-and-diagnostic-path&from=media&mediaWeek=28&media=niFaultInjection,YES,NO,PASS
