Week,Track,Lesson title,Topic-specific substantive word count,Actual concepts taught,Worked examples present?,Real visual needed?,Real visual present?,Guided practice present?,Actual independent scenario present?,Subject-specific misconceptions?,Subject-specific career/application connection?,Knowledge checks?,Teach-back?,External resource dependency?,Template-content concern?,Final verdict
06,CETa,"From reactance to impedance, phase, and resonance",1122,Reactance is frequency-dependent opposition; Impedance combines resistance and reactance as a vector; Resonance and transformation are controlled relationships; Reactance is frequency-dependent opposition; Impedance combines magnitude and phase; Resonance is cancellation of opposite reactances,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w06-reactance-phasor.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
06,Career,Characterize a filter or resonant network like a technician,1074,A response curve is a collection of controlled tests; Real components and instruments load the network; Use error shape to choose the next test; Characterization starts with a model and a sweep plan; Amplitude and phase are separate evidence; Fault signatures can be predicted before sweeping,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w06-frequency-sweep.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
07,CETa,"Component families, ratings, magnetism, and machines",2009,"A part name does not establish suitability; Electricity and magnetism convert energy in both directions; Relays separate coil control from switched contacts; Resistor families, markings, thermistors, and potentiometers; Capacitors: type, variable capacitance, charge, and coulombs; Inductors and transformers: construction, cores, turns, and laminations; Transistors: BJT, JFET, MOSFET, CMOS, IGBT, and Darlington behavior; SCR/DIAC/TRIAC and diode families; Integrated circuits and relay types including solid-state relays; Component type predicts behavior and failure modes; Transformers couple magnetic flux, not DC continuity; Relays and machines convert electrical and magnetic behavior into motion",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w07-transformer-relay.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
07,Career,Read a datasheet and design a relay/inductive-load interface,1176,"Read the datasheet in a risk-first order; Budget every current path; Verify both function and stress; Read a datasheet by engineering question; A relay coil is an inductive load; Separate logic control, power path, and switched load",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w07-relay-driver.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
08,CETa,Junction behavior and semiconductor device roles,1188,A diode is directional but not an ideal check valve; A BJT is controlled by base current; A MOSFET is controlled by gate-to-source voltage; Semiconductor junctions create controllable nonlinear behavior; BJT and FET devices control current differently; Thyristors and specialized diodes have specific triggering behavior,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w08-semiconductor-roles.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
08,Career,Design and diagnose a protected low-side switch,1198,"Start from the load and work backward; Pre-power inspection targets high-consequence mistakes; Three node measurements usually reveal the stage that failed; A low-side switch is a complete electrical path; Gate drive and switching loss are real design constraints; Diagnose by comparing control node, switch node, and load current",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w08-low-side-switch.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
09,CETa,Power-supply blocks and their expected signals,1700,"Follow the block chain; The filter capacitor supplies load between peaks; Regulation trades voltage, current, heat, noise, and complexity; Power-supply hazards, transformer versus line-connected supplies, and protection; Batteries, charging, capacity, and protection; Rectification, L/T/Pi filters, regulation, and DC calculations; Switch-mode power supply operation; Linear supplies move through recognizable blocks; Ripple depends on load, capacitance, and recharge interval; Switch-mode supplies move energy in pulses",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w09-power-supply-blocks.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
09,Career,Rail-by-rail bring-up and supply troubleshooting,1142,"Power problems are upstream until evidence says otherwise; Current limiting converts catastrophic faults into observable evidence; Ripple measurement can be corrupted by the probe loop; Start with a power tree; Use rail behavior to distinguish source, regulator, and load faults; Document staged bring-up",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w09-power-tree.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
10,CETa,"Gain, dB, feedback, and ideal op-amp rules",1691,"Gain is an input-to-output ratio with conditions; Negative feedback sets predictable closed-loop behavior; Real amplifiers have rails, bandwidth, drive, and bias limits; Amplifier roles, classes, stages, and frequency response; BJT and FET amplifier bias, gain, and power; Operational amplifiers and gain analysis; Distortion, loading, buffering, and measurement error; Amplifiers use supply energy to reproduce a signal with gain; Bias creates room for an analog signal; Op-amp rules are conditional approximations",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w10-opamp-amplifier.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
10,Career,Measure and troubleshoot a signal chain,1052,Begin with a signal budget; Feedback faults leave recognizable evidence; Report gain across frequency and load; Build a signal budget; Use waveform shape to classify faults; Change one condition to separate mechanisms,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w10-signal-budget.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
11,CETa,"Binary, hexadecimal, gates, and sequential state",1612,"Number bases are different representations of the same value; Logic gates implement conditions; Sequential logic remembers state; Logic gates, truth tables, and flip-flops; Counters, buses, clocks, timing, and logic families; Digital displays and microcontrollers; Logic pulser/probe digital signal tracing and fault isolation; Binary and hexadecimal are representations, not different values; Logic gates implement relationships between electrical states; Sequential logic adds memory and timing",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w11-digital-logic.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
11,Career,"Real logic levels, pull resistors, debounce, and measurement",1139,"A logical 1 is a voltage range, not the word “high”; Unconnected inputs do not have a reliable state; Mechanical switches create multiple transitions; Digital '1' is an electrical contract; Pull resistors define default state and edge behavior; Debounce is a time-domain problem",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w11-pullup-debounce.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
12,CETa,ESD control and solder/rework fundamentals,1809,"ESD damage can be latent and invisible; A good joint comes from clean surfaces, correct heat, and wetting; Rework controls heat and mechanical stress; Solder safety, fumes, splatter, flux, and alloy choice; Heat shunts, cold joints, and good mechanical/electrical connections; SMT/BGA handling and PCB pad/trace/PTH repair boundaries; Desoldering principles, equipment care, and solder wick; Soldering is controlled wetting and heat transfer; Rework has a damage budget; ESD control is specific to the work state",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w12-solder-rework.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
12,Career,Make physical changes traceable with Git and lab records,1198,Hardware work needs a change record too; Git preserves software and documentation decisions; A repair can be successful and still need escalation; Career integration: solder/rework workmanship and harness evidence; A physical repair needs a configuration record; Git tracks text and metadata; it does not magically track the bench; A good lab record separates observation from interpretation,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w12-traceable-repair.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
13,CETa,Read diagram types and turn symbols into behavior,1498,"Each drawing answers a different question; Read from rails and references into functional blocks; A datasheet is conditional evidence; Symbols, schematic/wiring/block diagrams, drafting conventions, and IC pinouts; Block diagrams, test points, signal tracing, and schematic fault location; Building wiring awareness and flowcharts; Schematic, wiring, block, and layout drawings have different purposes; Symbols become useful when connected to expected behavior; Signal tracing uses hierarchy",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w13-signal-flow.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
13,Career,Troubleshoot with competing hypotheses and high-information tests,1334,"Build a fault model before probing; Divide at functional boundaries; Root cause requires a causal chain; Career integration: schematics, datasheets, design intent, and test-point prediction; Career integration: reproducible fault isolation and root cause; Hypotheses should be specific enough to predict different evidence; High-information tests reduce the search space; Root cause is a mechanism, not a symptom label",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w13-hypothesis-tree.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
14,CETa,"Computer blocks, representation, memory, and the build path",1468,"A computer repeatedly moves, transforms, and stores information; Bits gain meaning from type and context; Source code passes through tools before hardware can execute it; Computer architecture, CPU blocks, memory, block diagrams, and flowcharts; PLC purpose, scan cycle, programming concepts, and languages; Peripherals and interface devices/cards; A computer is coordinated storage, processing, and I/O; Source code becomes executable through stages; PLCs are computers optimized for industrial control",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w14-build-computer.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
14,Career,Write and debug small C programs methodically,1209,"Types and functions make intent checkable; Arrays and pointers are related but not identical; Debug from evidence, not edits; Career integration: C programming as testable technical work; C variables are typed storage with scope and lifetime; Pointers make memory addresses explicit; Debug by reducing the program to observable states",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w14-c-memory.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
15,CETa,"Bit fields, ports, processors, and stored state",1033,Masks select bits without touching their neighbors; Ports and registers connect code to hardware; A state machine makes history explicit; Registers are named groups of bits with defined meaning; Ports connect digital logic to physical pins through configuration; Stored state lives at different layers,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w15-register-gpio.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
15,Career,"Responsive embedded architecture, volatile, and timing choices",1179,"Blocking delays hide time from the rest of the system; `volatile` prevents a compiler assumption; it is not a lock; Polling and interrupts are tools with different costs; Career integration: embedded C, MCU architecture, and nonblocking design; Embedded software must share time; `volatile` solves one narrow problem; Time should be represented with units and wrap-safe logic",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w15-state-machine.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
16,CETa,"MCU architecture, memory map, GPIO, and debug concepts",1227,An MCU is a system of clocked blocks; A package pin may serve many internal functions; SWD provides controlled visibility into execution; An MCU is a computer plus tightly integrated peripherals; Clock and reset state determine whether configuration means anything; GPIO is a chain of configuration decisions; SWD exposes internal state but can alter timing,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w16-mcu-architecture.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
16,Career,"Create, flash, verify, and document a minimum STM32 bring-up",1234,Start with the smallest known behavior; Use independent evidence at each layer; Generated code is a dependency you must understand enough to debug; Career integration: STM32 bring-up and SWD evidence; Bring-up is a ladder of proofs; Generated configuration is still your responsibility; Use independent evidence at each layer,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w16-bringup-ladder.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
17,CETa,"UART frames, parameters, levels, and error causes",1436,"UART shares timing rules instead of a clock wire; TX crosses to RX and both ends need a reference; Garbled data is a useful symptom; Basic operation, setup/configuration, and stand-alone versus networked computers; Program installation, utilities, backups, downloads, and recovery; Surges versus malware and practical cybersecurity/network use; UART frames bytes without a shared clock; Electrical UART is not the same thing as RS-232 or USB; Errors point to different layers",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w17-uart-frame.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
17,Career,Build a robust Python serial client and evidence log,1137,"Serial software needs explicit boundaries; Bytes become text or numbers only after validation; A good log preserves failures; Serial software needs an explicit contract; Parsing is a validation boundary; A test log should preserve failure, not hide it; UART crosses electrical, framing, transport, and application boundaries",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w17-python-serial.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
18,CETa,"Interface roles, signaling, and conversion",1418,"I²C shares two open-drain lines; SPI trades more wires for direct full-duplex shifting; Raw codes need scale, sign, byte order, and context; Signal levels, connectors, grounding, mismatch, and conflict symptoms; USB, I2C, and Zigbee interfaces; Interfaces are electrical plus protocol contracts; I2C uses shared open-drain lines and addressing; SPI uses dedicated clock/data and explicit chip selection",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w18-i2c-spi.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
