ID,Previous Standard,Final Standard,Status,Source Relationship,Primary Source ID,Primary Source,Primary Source URL,Secondary Source IDs,Secondary Sources / URLs,Why Relevant,Alfred Adaptation,Prerequisites,Instructional Home,First Curriculum Use Week,Primary Mastery Week,Semantic Task ID,Evidence Route
C2.5,"Interpret pull-ups, pull-downs, decoupling capacitors, current-limiting resistors, protection devices, and common interface support circuitry.","Interpret pull-ups, pull-downs, decoupling capacitors, current-limiting resistors, protection devices, and common interface support circuitry.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B; onetTech,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,"Week 13 Career — Career integration: schematics, datasheets, design intent, and test-point prediction",13,13,SEM-C2-13-076,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C2.6,Explain design intent from a schematic well enough to predict expected node voltages or signal behavior before measuring.,Explain design intent from a schematic well enough to predict expected node voltages or signal behavior before measuring.,KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B; onetTech,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,"Week 13 Career — Career integration: schematics, datasheets, design intent, and test-point prediction",13,13,SEM-C2-13-076,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C3.1,"Configure and use a DMM correctly for voltage, resistance/continuity, and current without creating a hazardous or circuit-altering connection.","Select the correct DMM function, input jack, and circuit connection for voltage, resistance/continuity, or current; explain how each mode interacts with the circuit; then make the measurement safely.",REWRITE,Adapted from / informed by,flukeDMM,Digital Multimeter Basics,https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course,pccEET101A,pccEET101A: EET 101A — Electronic Lab and Essential Work Skills — https://www.pcc.edu/ccog/eet/101a/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,"Week 3 Career — Career integration: question-first DMM, supply, and oscilloscope measurement",3,3,SEM-C3-03-1640A,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C3.2,Configure a bench power supply in constant-voltage/current-limit operation and use current consumption as a bring-up diagnostic.,"Set bench-supply voltage and a conservative current limit from expected circuit behavior, distinguish CV from current-limit operation, and use current consumption as evidence during bring-up.",REWRITE,Informed by,pccEET101A,EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,flukeDMM,flukeDMM: Digital Multimeter Basics — https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,"Week 3 Career — Career integration: question-first DMM, supply, and oscilloscope measurement",3,3,SEM-C3-03-1640A,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C3.3,"Configure an oscilloscope probe, coupling, vertical scale, timebase, trigger, and reference ground to obtain a stable useful measurement.","Starting with a known waveform, configure probe/reference, attenuation, coupling, vertical scale, timebase, and trigger to obtain a stable oscilloscope display and document the setup.",REWRITE,Adapted from / informed by,tekScope,The XYZs of Oscilloscopes,https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,pccEET101A,pccEET101A: EET 101A — Electronic Lab and Essential Work Skills — https://www.pcc.edu/ccog/eet/101a/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,"Week 3 Career — Career integration: question-first DMM, supply, and oscilloscope measurement",3,3,SEM-C3-03-1640A,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C3.4,"Measure amplitude, frequency, period, duty cycle, rise/fall behavior, and DC offset from waveforms and explain measurement limitations.","Predict and measure waveform amplitude, frequency, period, duty cycle, DC offset, and rise/fall behavior, while distinguishing resolution, accuracy, loading, bandwidth, and repeatability limits.",REWRITE,Informed by,tekScope,The XYZs of Oscilloscopes,https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,pccEET101B,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,"Week 3 Career — Career integration: question-first DMM, supply, and oscilloscope measurement",3,3,SEM-C3-03-1640A,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C3.5,"Use a logic analyzer to capture and decode digital activity while checking sample rate, thresholds, channel mapping, and timing context.","After a known digital-bus transaction exists, configure a logic analyzer with correct reference, threshold, sample rate, channel mapping, and decoder settings; correlate raw and decoded activity and recognize when an oscilloscope is required for analog signal-quality questions.",MOVE,Informed by,saleae,Logic Analyzer Learning and Support,https://support.saleae.com/,pccEET101B,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/,Moved to the first curriculum location where the full competency is actually taught and can be assessed without future-concept leakage.,Alfred preserves the competency identity but moves required mastery evidence to the dependency-correct week.,CETA-W18 (serial-bus model); C9.2 (known-good I²C transaction earlier in Week 18); C3.1–C3.4 (measurement-plan and reference discipline),Week 18 Career — I²C-first logic-analyzer onboarding,18,18,SEM-C3-18-1640B,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C3.6,Select a measurement instrument based on the hypothesis being tested rather than probing randomly.,"Translate a troubleshooting question into a measurable hypothesis, then choose the instrument, test point, setup, and expected result that will provide the most useful evidence.",REWRITE,Adapted from / informed by,pccEET101A,EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,pccEET101B; flukeDMM; tekScope,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/; flukeDMM: Digital Multimeter Basics — https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course; tekScope: The XYZs of Oscilloscopes — https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,"Week 3 Career — Career integration: question-first DMM, supply, and oscilloscope measurement",3,3,SEM-C3-03-1640A,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C4.1,"Identify acceptable and defective solder joints and explain likely causes of cold joints, bridges, insufficient wetting, and lifted pads.","Identify acceptable and defective solder joints and explain likely causes of cold joints, bridges, insufficient wetting, and lifted pads.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"nasaHarness: NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring — https://standards.nasa.gov/standard/NASA/NASA-STD-87394; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,Week 12 Career — Career integration: solder/rework workmanship and traceable physical change,12,12,SEM-C4-12-1640A,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C4.2,"Plan a safe through-hole or basic SMT rework sequence that minimizes heat, mechanical stress, and ESD exposure.","Plan a safe through-hole or basic SMT rework sequence that minimizes heat, mechanical stress, and ESD exposure.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"nasaHarness: NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring — https://standards.nasa.gov/standard/NASA/NASA-STD-87394; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,Week 12 Career — Career integration: solder/rework workmanship and traceable physical change,12,12,SEM-C4-12-1640A,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C4.3,"Prepare, strip, crimp, strain-relieve, and inspect a low-voltage wire or harness connection using workmanship criteria.","Prepare, strip, crimp, strain-relieve, and inspect a low-voltage wire or harness connection using workmanship criteria.",MOVE,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"nasaHarness: NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring — https://standards.nasa.gov/standard/NASA/NASA-STD-87394; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00",Moved to the first curriculum location where the full competency is actually taught and can be assessed without future-concept leakage.,Alfred preserves the competency identity but moves required mastery evidence to the dependency-correct week.,CETA-W19 (cabling/interconnect concepts); C1.2/C1.5 (ESD and bench/work practices); known-good harness orientation/pinout,"Week 19 Career — harness preparation, crimping, strain relief, inspection",19,19,SEM-C4-19-1640B,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C4.4,"Use connector keying, pin numbering, continuity checks, and wire labels to prevent harness miswiring.","Use connector keying, pin numbering, continuity checks, and wire labels to prevent harness miswiring.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"nasaHarness: NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring — https://standards.nasa.gov/standard/NASA/NASA-STD-87394; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,Week 19 Career — Career integration: low-voltage crimp and harness workmanship,19,19,SEM-C4-19-1640B,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C4.5,"Document rework with before/after evidence, component orientation, and verification measurements.","Document rework with before/after evidence, component orientation, and verification measurements.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"nasaHarness: NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring — https://standards.nasa.gov/standard/NASA/NASA-STD-87394; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,Week 12 Career — Career integration: solder/rework workmanship and traceable physical change,12,12,SEM-C4-12-1640A,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C4.6,"Explain when a damaged pad, trace, connector, or harness should be repaired, replaced, or escalated rather than improvised.","Explain when a damaged pad, trace, connector, or harness should be repaired, replaced, or escalated rather than improvised.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"nasaHarness: NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring — https://standards.nasa.gov/standard/NASA/NASA-STD-87394; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,Week 12 Career — Career integration: solder/rework workmanship and traceable physical change,12,12,SEM-C4-12-1640A,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C5.1,Reproduce a fault reliably and define the observed symptom before attempting a fix.,Reproduce a fault reliably and define the observed symptom before attempting a fix.,KEEP,Informed by / cross-checked against,pccEET101B,EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech; nasaSystems,onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00; nasaSystems: NASA Systems Engineering Handbook — https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,Week 13 Career — Career integration: reproducible fault isolation and causal root cause,13,13,SEM-C5-13-1640A,Required semantic task SEM-C5-13-079; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C5.2,Form a testable hypothesis from expected versus actual behavior and choose the next measurement that best separates competing causes.,Form a testable hypothesis from expected versus actual behavior and choose the next measurement that best separates competing causes.,KEEP,Informed by / cross-checked against,pccEET101B,EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech; nasaSystems,onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00; nasaSystems: NASA Systems Engineering Handbook — https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,Week 13 Career — Career integration: reproducible fault isolation and causal root cause,13,13,SEM-C5-13-1640A,Required semantic task SEM-C5-13-079; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
