Week,Track,Section ID,Major Concept / Section,Alfred Instruction,Video Support,Literature Support,Literature Resources,Practical / Application,Coverage Decision
3,Career,career-w03-reference-grounding-loading-and-bandwidth-can-change-the-result,"Reference, grounding, loading, and bandwidth can change the result",YES,NO — Alfred/other media remains sufficient for this section,YES,How to Use an Oscilloscope and Probe — Step-by-Step Tutorial; ABCs of Probes Primer; Ask the Applications Engineer—12: Grounding (Again),YES,PASS — written companion selected
3,Career,career-w03-use-the-dmm-and-bench-supply-for-slow-or-static-evidence,Use the DMM and bench supply for slow or static evidence,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
4,CETa,concept-1,A waveform needs both vertical and horizontal descriptions,YES,YES,YES,AC Sources — University Physics Volume 2,CONCEPTUAL FOUNDATION,PASS — written companion selected
4,CETa,concept-2,Capacitors oppose instantaneous voltage change,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
4,CETa,concept-3,Inductors oppose instantaneous current change,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
4,CETa,concept-4,"Core formulas, SI prefixes, NIST spelling exceptions, and scientific notation",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
4,CETa,concept-6,Decibels and graphs as engineering representations,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
4,CETa,concept-7,Capacitors oppose instantaneous voltage change,YES,YES,YES,RC Circuits — University Physics Volume 2,CONCEPTUAL FOUNDATION,PASS — written companion selected
4,CETa,concept-9,Waveform vocabulary connects the time domain to measurements,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
4,Career,career-w04-time-domain-and-frequency-domain-evidence-describe-the-same-network,Time-domain and frequency-domain evidence describe the same network,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
5,CETa,practice,Practice and misconceptions,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
5,Career,career-w05-competing-hypotheses-make-measurements-useful,Competing hypotheses make measurements useful,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
5,Career,career-w05-let-each-measurement-shrink-the-fault-space,Let each measurement shrink the fault space,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
5,Career,career-w05-root-cause-requires-verification-after-the-fix,Root cause requires verification after the fix,YES,YES,YES,Failure Analysis — Appendix Four,YES,PASS — written companion selected
5,Career,career-w05-start-with-an-observable-failure-statement,Start with an observable failure statement,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
5,Career,career-w05-verification-is-more-than-seeing-the-output-once,Verification is more than seeing the output once,YES,NO — Alfred/other media remains sufficient for this section,YES,6.002 Laboratory Materials,YES,PASS — written companion selected
6,CETa,concept-1,Reactance is frequency-dependent opposition,YES,YES,YES,AC Circuits — Free Electronics Textbook,CONCEPTUAL FOUNDATION,PASS — written companion selected
6,CETa,concept-3,Resonance and transformation are controlled relationships,YES,YES,YES,Resonant Filters,YES,PASS — written companion selected
6,CETa,concept-6,Resonance is cancellation of opposite reactances,YES,NO — Alfred/other media remains sufficient for this section,YES,RLC Series Circuits with AC — University Physics Volume 2,CONCEPTUAL FOUNDATION,PASS — written companion selected
6,Career,career-w06-characterization-starts-with-a-model-and-a-sweep-plan,Characterization starts with a model and a sweep plan,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
7,CETa,concept-1,A part name does not establish suitability,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
7,CETa,concept-11,"Transformers couple magnetic flux, not DC continuity",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
7,CETa,concept-12,Relays and machines convert electrical and magnetic behavior into motion,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
7,CETa,concept-2,Electricity and magnetism convert energy in both directions,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
7,CETa,concept-3,Relays separate coil control from switched contacts,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
7,CETa,concept-4,"Resistor families, markings, thermistors, and potentiometers",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
7,CETa,concept-5,"Capacitors: type, variable capacitance, charge, and coulombs",YES,YES,YES,Capacitors — Free Electronics Textbook Topics,YES,PASS — written companion selected
7,CETa,concept-6,"Inductors and transformers: construction, cores, turns, and laminations",YES,YES,YES,Inductors — Free Electronics Textbook Topics,YES,PASS — written companion selected
7,CETa,concept-7,"Transistors: BJT, JFET, MOSFET, CMOS, IGBT, and Darlington behavior",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
7,CETa,concept-8,SCR/DIAC/TRIAC and diode families,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
7,CETa,concept-9,Integrated circuits and relay types including solid-state relays,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
7,Career,career-w07-a-relay-coil-is-an-inductive-load,A relay coil is an inductive load,YES,YES,YES,Faster Switching of Large Inductive Loads in Digital Output Modules,YES,PASS — written companion selected
7,Career,career-w07-read-the-datasheet-in-a-risk-first-order,Read the datasheet in a risk-first order,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
8,CETa,concept-1,A diode is directional but not an ideal check valve,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
8,CETa,concept-2,A BJT is controlled by base current,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
8,CETa,concept-3,A MOSFET is controlled by gate-to-source voltage,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
8,CETa,concept-4,Semiconductor junctions create controllable nonlinear behavior,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
8,CETa,concept-5,BJT and FET devices control current differently,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
8,CETa,concept-6,Thyristors and specialized diodes have specific triggering behavior,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
8,Career,career-w08-gate-drive-and-switching-loss-are-real-design-constraints,Gate drive and switching loss are real design constraints,YES,YES,YES,MOSFET Power Losses and How They Affect Power-Supply Efficiency,YES,PASS — written companion selected
8,Career,career-w08-start-from-the-load-and-work-backward,Start from the load and work backward,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
8,Career,career-w08-three-node-measurements-usually-reveal-the-stage-that-failed,Three node measurements usually reveal the stage that failed,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
9,CETa,concept-1,Follow the block chain,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
9,CETa,concept-2,The filter capacitor supplies load between peaks,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
9,CETa,concept-3,"Regulation trades voltage, current, heat, noise, and complexity",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
9,CETa,concept-4,"Power-supply hazards, transformer versus line-connected supplies, and protection",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
9,CETa,concept-5,"Batteries, charging, capacity, and protection",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
9,CETa,concept-7,Switch-mode power supply operation,YES,NO — Alfred/other media remains sufficient for this section,YES,Switching Regulator Fundamentals; Power Supplies — Free Electronics Textbook Topics,YES,PASS — written companion selected
9,CETa,concept-8,Linear supplies move through recognizable blocks,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
9,Career,career-w09-use-rail-behavior-to-distinguish-source-regulator-and-load-faults,"Use rail behavior to distinguish source, regulator, and load faults",YES,YES,YES,How to Use a Multimeter — Comprehensive Guide,YES,PASS — written companion selected
10,CETa,concept-1,Gain is an input-to-output ratio with conditions,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
10,CETa,concept-10,Op-amp rules are conditional approximations,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
10,CETa,concept-4,"Amplifier roles, classes, stages, and frequency response",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
10,CETa,concept-5,"BJT and FET amplifier bias, gain, and power",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
10,CETa,concept-6,Operational amplifiers and gain analysis,YES,YES,YES,Introduction to Operational Amplifiers (Op-amps),CONCEPTUAL FOUNDATION,PASS — written companion selected
10,CETa,concept-7,"Distortion, loading, buffering, and measurement error",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
10,Career,career-w10-report-gain-across-frequency-and-load,Report gain across frequency and load,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
11,CETa,concept-1,Number bases are different representations of the same value,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
11,CETa,concept-2,Logic gates implement conditions,YES,YES,YES,Digital Signals and Gates,CONCEPTUAL FOUNDATION,PASS — written companion selected
11,CETa,concept-3,Sequential logic remembers state,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
11,CETa,concept-4,"Logic gates, truth tables, and flip-flops",YES,YES,YES,Digital Circuits — Free Electronics Textbook,CONCEPTUAL FOUNDATION,PASS — written companion selected
11,CETa,concept-5,"Counters, buses, clocks, timing, and logic families",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
11,CETa,concept-6,Digital displays and microcontrollers,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
11,CETa,concept-7,Logic pulser/probe digital signal tracing and fault isolation,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
11,Career,career-w11-a-logical-1-is-a-voltage-range-not-the-word-high,"A logical 1 is a voltage range, not the word “high”",YES,NO — Alfred/other media remains sufficient for this section,YES,Logic Signal Voltage Levels,YES,PASS — written companion selected
11,Career,career-w11-debounce-is-a-time-domain-problem,Debounce is a time-domain problem,YES,YES,YES,STM32 Nucleo Board — Digital Signals,YES,PASS — written companion selected
11,Career,career-w11-unconnected-inputs-do-not-have-a-reliable-state,Unconnected inputs do not have a reliable state,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
12,CETa,concept-10,ESD control is specific to the work state,YES,NO — Alfred/other media remains sufficient for this section,YES,NASA-HDBK-8739.21 — ESD Control,YES,PASS — written companion selected
12,CETa,concept-2,"A good joint comes from clean surfaces, correct heat, and wetting",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
12,CETa,concept-4,"Solder safety, fumes, splatter, flux, and alloy choice",YES,NO — Alfred/other media remains sufficient for this section,YES,NASA/TM-2011-216933 — Electronics Repair Training for Spaceflight Crews,YES,PASS — written companion selected
12,CETa,concept-5,"Heat shunts, cold joints, and good mechanical/electrical connections",YES,NO — Alfred/other media remains sufficient for this section,YES,Adafruit Guide to Excellent Soldering — Common Soldering Problems,YES,PASS — written companion selected
12,CETa,concept-6,SMT/BGA handling and PCB pad/trace/PTH repair boundaries,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
12,CETa,concept-7,"Desoldering principles, equipment care, and solder wick",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
12,CETa,concept-9,Rework has a damage budget,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
12,Career,career-w12-career-integration-solder-rework-workmanship-and-harness-evidence,Career integration: solder/rework workmanship and harness evidence,YES,NO — Alfred/other media remains sufficient for this section,YES,"NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring",YES,PASS — written companion selected
12,Career,career-w12-command-line-navigation-is-a-small-reproducibility-tool-not-assumed-know,"Command-line navigation is a small reproducibility tool, not assumed knowledge",YES,NO — Alfred/other media remains sufficient for this section,YES,Introduction to Git; The Missing Semester of Your CS Education — 2026 Written Lectures,YES,PASS — written companion selected
13,CETa,concept-1,Each drawing answers a different question,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
13,CETa,concept-2,Read from rails and references into functional blocks,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
13,CETa,concept-3,A datasheet is conditional evidence,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
13,CETa,concept-6,Building wiring awareness and flowcharts,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
13,Career,career-w13-build-a-fault-model-before-probing,Build a fault model before probing,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
13,Career,career-w13-choose-a-high-information-test,Choose a high-information test,YES,YES,YES,Test & Measurement — Free Electronics Textbook Topics,YES,PASS — written companion selected
14,CETa,concept-1,"A computer repeatedly moves, transforms, and stores information",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
14,CETa,concept-4,"Computer architecture, CPU blocks, memory, block diagrams, and flowcharts",YES,YES,YES,Cortex-M for Beginners — Processor Family Overview,YES,PASS — written companion selected
14,CETa,concept-5,"PLC purpose, scan cycle, programming concepts, and languages",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
14,CETa,concept-6,Peripherals and interface devices/cards,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
14,Career,career-w14-a-c-program-is-source-text-that-must-be-translated-before-it-runs,A C program is source text that must be translated before it runs,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
14,Career,career-w14-addresses-and-pointers-make-memory-locations-explicit,Addresses and pointers make memory locations explicit,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
14,Career,career-w14-career-integration-c-programming-as-testable-technical-work,Career integration: C programming as testable technical work,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
15,CETa,concept-3,A state machine makes history explicit,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
15,Career,career-w15-blocking-code-prevents-other-work-from-happening,Blocking code prevents other work from happening,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
15,Career,career-w15-career-integration-embedded-c-mcu-architecture-and-nonblocking-design,"Career integration: embedded C, MCU architecture, and nonblocking design",YES,YES,YES,STM32 Nucleo Board — Digital Signals,YES,PASS — written companion selected
15,Career,career-w15-map-c-onto-a-microcontroller-before-adding-concurrency,Map C onto a microcontroller before adding concurrency,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
15,Career,career-w15-state-machines-make-behavior-explicit,State machines make behavior explicit,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
16,CETa,concept-4,An MCU is a computer plus tightly integrated peripherals,YES,YES,YES,Cortex-M for Beginners — Processor Family Overview,YES,PASS — written companion selected
16,CETa,concept-5,Clock and reset state determine whether configuration means anything,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
16,CETa,concept-7,SWD exposes internal state but can alter timing,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
16,Career,career-w16-a-project-contains-source-configuration-and-a-build-recipe,"A project contains source, configuration, and a build recipe",YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
17,CETa,concept-1,UART shares timing rules instead of a clock wire,YES,NO — Alfred/other media remains sufficient for this section,YES,Serial Communication — UARTs,CONCEPTUAL FOUNDATION,PASS — written companion selected
17,CETa,concept-4,"Basic operation, setup/configuration, and stand-alone versus networked computers",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
