week,source_id,title,provider,kind,source_url,disposition,lesson_track,lesson_title,segment_id,segment_title,instructional_role,display_treatment,why_here,watch_for,decision_reason
1,aacCurrentPath,Basic Requirements for Current,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/basic-requirements-for-current/,contextual lesson placement,CETa,The four quantities and the circuit they describe,concept-4,A circuit needs a closed path,core,primary,"Connect the electrical quantities to an actual source, load and complete return path.",Predict current before calculation and explain why an open path produces zero current.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
1,aacGroundReference,Ground and Other Reference Points,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/ground-reference-points/,contextual lesson placement,Career,"Safe bench setup, prediction, and measurement",career-w01-pre-power-inspection-creates-the-first-known-good-state,Pre-power inspection creates the first known-good state,core,compact,Establish circuit reference/ground and polarity before DMM work.,Predict positive/negative meter readings from probe order and chosen reference.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
1,keysightBenchPowerCourse,Bench Power Supply Basics,Keysight Technologies,Manufacturer video course,https://www.keysight.com/us/en/learn/course.bench-power-supply-basics.html,contextual lesson placement,Career,"Safe bench setup, prediction, and measurement",career-w01-current-limiting-is-a-protective-boundary-and-a-diagnostic-clue,Current limiting is a protective boundary and a diagnostic clue,lab-prep,primary,"Before first energization, apply the bench-supply workflow: verify the intended voltage, set a conservative current limit, confirm output state, connect with power off, then energize while watching current/readback.",Predict expected current first; unexpected CC mode or current rise is a stop-and-investigate condition.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
2,aacSeries1,Series Circuits — Part 1,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/series-circuits-part-1/,contextual lesson placement,CETa,"Series, parallel, KVL, KCL, and divider reasoning",concept-1,Topology determines what is shared,core,primary,"Learn series topology, shared current, total resistance, voltage drops and power.",Identify the single current path before doing arithmetic.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
2,aacSeriesDivider,Series Circuits — Part 2: Voltage Divider Equation,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/series-circuits-voltage-divider-equation/,contextual lesson placement,CETa,"Series, parallel, KVL, KCL, and divider reasoning",concept-3,A divider is only ideal when the load is negligible,demonstration,primary,Derive and apply the voltage-divider relationship.,Derive from series current rather than memorizing an isolated ratio.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
2,aacParallel,Parallel Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/parallel-circuits/,contextual lesson placement,CETa,"Series, parallel, KVL, KCL, and divider reasoning",concept-1,Topology determines what is shared,reinforcement,compact,"Learn parallel topology, common voltage, branch currents, equivalent resistance and power.",Use node identity rather than drawing shape to decide what is parallel.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
2,aacKclKvl,"Ohm’s Law, Kirchhoff’s Laws, and Power Equations",All About Circuits,Engineering video tutorial with transcript,https://www.youtube.com/watch?v=ezvZuaVzoys,contextual lesson placement,CETa,"Series, parallel, KVL, KCL, and divider reasoning",concept-2,Kirchhoff turns conservation into two diagnostic rules,core,primary,Use conservation to generalize series/parallel reasoning to arbitrary nodes and loops.,Write signed KCL/KVL equations before substituting numbers.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
2,aacTroubleshootSeriesParallel,Troubleshooting Series-Parallel Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/troubleshooting-series-parallel-circuits/,contextual lesson placement,Career,Use expected node values to troubleshoot instead of guessing,career-w02-fault-patterns-have-structure,Fault patterns have structure,troubleshooting,primary,Use expected node values to select measurements that discriminate fault hypotheses.,Write expected values first; measure only where the result shrinks the fault space.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
2,aacMagnetismElectromagnetism,Magnetism and Electromagnetism,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/magnetism-and-electromagnetism/,contextual lesson placement,CETa,"Series, parallel, KVL, KCL, and divider reasoning",concept-5,Electromagnetism and induction,reinforcement,compact,"Learn magnetic fields, flux, poles, flux density, permeability/reluctance, current-produced magnetic fields, and the field relationships behind electromechanical devices.","Connect current direction to magnetic-field direction and explain why motors, generators, speakers, microphones, and magnetic components depend on electromagnetic interaction.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
2,tiPllFundamentals,TI Precision Labs — Phase-Locked Loop Fundamentals,Texas Instruments,Manufacturer video series,https://www.ti.com/video/series/precision-labs/ti-precision-labs-phase-lock-loop-fundamentals.html,contextual lesson placement,CETa,"Series, parallel, KVL, KCL, and divider reasoning",concept-10,"Oscillators, multivibrators, and phase-locked loops",go-deeper,compact,"Complete the five-part TI path covering VCOs, integer/fractional dividers, phase detectors, charge pumps, loop filters, bandwidth, and transient response.",Trace reference → phase/frequency comparison → loop filter → VCO → feedback divider and explain what lock means physically.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
2,mitPiezoLab,Lab 9 — Piezoelectricity,MIT OpenCourseWare — Electrical Engineering and Computer Science,University video tutorial and physical-device exploration,https://ocw.mit.edu/courses/6-s079-nanomaker-spring-2013/resources/lab-9-piezoelectricity/,contextual lesson placement,CETa,"Series, parallel, KVL, KCL, and divider reasoning",concept-13,Piezoelectric effect and technician applications,demonstration,primary,Use the MIT tutorial to connect mechanical stress and electrical response in real piezo elements and recognize piezo devices as transducers/resonant elements.,"Explain the conversion mechanism and identify where a piezo element is acting as a sensor, actuator, buzzer, igniter, or resonant device.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
3,keysightBenchPowerCourse,Bench Power Supply Basics,Keysight Technologies,Manufacturer video course,https://www.keysight.com/us/en/learn/course.bench-power-supply-basics.html,contextual lesson placement,CETa,What each instrument measures and how the controls map to quantities,concept-2,A bench supply has two interacting limits,demonstration,primary,"Complete Lessons 1–5: voltage/current/regulation, core specs, linear vs switching, CV/CC and readback.",Set voltage/current limit deliberately and predict whether the load should place the supply in CV or CC.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
3,keysightBenchCvCc,Bench Power Supply Basics — Constant Voltage and Constant Current Modes,Keysight Technologies,Manufacturer video lesson,https://www.keysight.com/zz/en/assets/6123-1426/lessons/0027BenchPowerSupplyBasics004Using6UnderstandingConstantVoltageandConstantCurrentModes.html,contextual lesson placement,Career,"Measurement planning, probe discipline, and uncertainty",career-w03-use-the-dmm-and-bench-supply-for-slow-or-static-evidence,Use the DMM and bench supply for slow or static evidence,lab-prep,primary,Use the dedicated CV/CC demonstration to understand the supply’s two interacting limits.,Explain why the supply changes mode and what that means about the load.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
3,tekScopeWebinar,How to Get the Most Out of Your Oscilloscope,Tektronix,Manufacturer video webinar,https://www.tek.com/en/video/webinar/how-to-get-the-most-out-of-your-oscilloscope,contextual lesson placement,CETa,What each instrument measures and how the controls map to quantities,concept-3,An oscilloscope is a voltage-versus-time instrument,demonstration,primary,"Learn manual vertical, horizontal/acquisition and trigger controls plus common probing problems.","Set volts/div, time/div, coupling/reference and trigger from an expected signal instead of relying on Autoset.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
3,digiKeyLcrMeter,How to Use an LCR Meter,B&K Precision / DigiKey,Manufacturer measurement demonstration video,https://www.digikey.com/en/videos/b/bk-precision/how-to-use-an-lcr-meter,contextual lesson placement,CETa,What each instrument measures and how the controls map to quantities,concept-5,"Signal generators, frequency counters, RCL substitution, and ESR meters",demonstration,compact,Learn how measurement mode and test frequency affect capacitance/inductance readings and how to select settings appropriate to the component under test.,Do not treat a single L/C reading as context-free; note test frequency and series/parallel measurement model.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
3,rsSpectrumBasics,Understanding Basic Spectrum Analyzer Operation,Rohde & Schwarz,Test-equipment manufacturer video,https://www.rohde-schwarz.com/us/knowledge-center/videos/understanding-basic-spectrum-analyzer-operation_251220-1513228.html,contextual lesson placement,CETa,What each instrument measures and how the controls map to quantities,concept-7,Oscilloscope controls and spectrum analyzer operation,demonstration,compact,"Use the existing Rohde & Schwarz manufacturer lesson to connect frequency-domain display, center/span, level, and basic analyzer operation to the broader NEETS instrument taxonomy.",Choose a safe input level and explain what frequency-domain evidence adds beyond a time-domain oscilloscope view.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
4,aacSinusoidalSignals,Characteristics of Sinusoidal Signals,All About Circuits,Engineering video tutorial with transcript,https://www.allaboutcircuits.com/video-tutorials/characteristics-of-sinusoidal-signals/,contextual lesson placement,CETa,Waveform language and energy-storage behavior,concept-1,A waveform needs both vertical and horizontal descriptions,core,primary,"Learn amplitude, period/frequency, phase, cycles and sine/cosine waveform representation.","Label units, reference, amplitude convention, period, frequency and phase before interpretation.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
4,aacCapIndModern,Capacitors and Capacitance vs. Inductors and Inductance,All About Circuits,Engineering video tutorial with transcript,https://www.allaboutcircuits.com/video-tutorials/inductance-and-capacitance/,contextual lesson placement,CETa,Waveform language and energy-storage behavior,concept-2,Capacitors oppose instantaneous voltage change,core,primary,Compare capacitor electric-field storage with inductor magnetic-field storage and their time behavior.,State the continuity rule correctly: ideal capacitor voltage and ideal inductor current cannot change instantaneously.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
4,aacRcRl,RC and RL Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/rc-and-rl-circuits/,contextual lesson placement,CETa,Waveform language and energy-storage behavior,concept-3,Inductors oppose instantaneous current change,reinforcement,compact,"Connect R/C/L behavior to sinusoidal steady state, reactance, impedance and phase.",Draw/interpret phase relationships; do not add out-of-phase magnitudes as ordinary scalars.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
4,aacRcTime1,RC Time Constants — Part 1: Pulse Circuit Response,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/rc-time-constants-pulse-circuit-response/,contextual lesson placement,CETa,Waveform language and energy-storage behavior,concept-7,Capacitors oppose instantaneous voltage change,demonstration,primary,Calculate tau and predict RC charging/discharging before seeing a waveform.,"Predict one-tau ~63%, current decay, discharge polarity and ~five-tau settling.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
4,aacRcTime2,RC Time Constants — Part 2: Circuit Waveforms,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/rc-time-constants-part-2-circuit-waveforms/,contextual lesson placement,CETa,Waveform language and energy-storage behavior,concept-9,Waveform vocabulary connects the time domain to measurements,demonstration,primary,Compare short/moderate/long time constants against pulse duration and filter/time-delay behavior.,"Explain waveform shape from available charge/discharge time, not picture recognition.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
4,adiLtspice,LTspice Getting Started,Analog Devices,Manufacturer video series,https://www.analog.com/en/resources/media-center/videos/series/ltspice-getting-started-tutorial.html,contextual lesson placement,Career,Turn time-domain measurements into filter and fault evidence,career-w04-time-domain-and-frequency-domain-evidence-describe-the-same-network,Time-domain and frequency-domain evidence describe the same network,lab-prep,primary,Reproduce the RC transient and frequency response after written predictions.,Compare simulated 63% point and response trend to calculations.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
4,aacBinaryConversion,"Binary Conversion — Binary, Decimal, and Hexadecimal",North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/binary-conversion-converting-binary-to-decimal/,Teaching Media library only,,,,,library-only,library,"Learn binary, decimal, and hexadecimal representation and perform conversions rather than relying on a calculator's display mode.",Show place value and powers-of-two reasoning and verify the converted value in both directions.,Kept in Teaching Media for optional breadth. Binary conversion is taught and integrated in its stronger sequential home in Week 11.
4,aacBooleanPostulates,Boolean Algebra — Postulates and Simplification,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/boolean-algebra-postulates/,Teaching Media library only,,,,,library-only,library,"Learn Boolean postulates, identities, complements, and simplification as the algebraic language behind digital logic.",Keep Boolean operators distinct from ordinary arithmetic and verify simplifications with logic meaning/truth values.,Kept in Teaching Media for optional breadth. Boolean algebra is taught and integrated in its stronger sequential home in Week 11.
4,aacSystemNotationsGraphs,"System Notations — Linear, Logarithmic, and Polar Graphs",North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/system-notations/,contextual lesson placement,CETa,Waveform language and energy-storage behavior,concept-6,Decibels and graphs as engineering representations,core,primary,"Learn how to read linear, logarithmic, and polar graphs, including interpolation and wide-range logarithmic axes used in electronics.",Identify axis quantity/unit/scale before reading a value; do not assume equal physical spacing means equal numeric increments on a log axis.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
4,aacDecibels,Decibels — Amplifier Basics,North Seattle Community College / All About Circuits,College video lecture with worked dB calculations,https://www.allaboutcircuits.com/video-lectures/decibels-amplifier-basics/,contextual lesson placement,CETa,Waveform language and energy-storage behavior,concept-6,Decibels and graphs as engineering representations,reinforcement,compact,Learn gain/loss as a ratio and calculate voltage/current/power gain in decibels using logarithms and worked examples.,Use 20 log10 for voltage/current ratios under the stated impedance assumptions and 10 log10 for power ratios; preserve sign for gain versus loss.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
4,khanEquationIsolation,Why We Do the Same Thing to Both Sides — Isolating a Variable,Khan Academy,Algebra video lesson with worked equations,https://www.khanacademy.org/math/algebra/one-variable-linear-equations/alg1-variables-on-both-sides/v/why-we-do-the-same-thing-to-both-sides-multi-step-equations,contextual lesson placement,CETa,Waveform language and energy-storage behavior,concept-4,"Core formulas, SI prefixes, NIST spelling exceptions, and scientific notation",reinforcement,compact,"Practice preserving equality while isolating a variable, then immediately transfer the same operations to electronics formulas such as V=IR, P=VI, X=1/(2πfC), and f=1/(2π√LC).","Perform the same legal operation to both sides, track units, and substitute the result back into the original relationship as a check.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
5,aacTroubleshootOpenShort,Troubleshooting Open and Shorted Series Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/troubleshooting-series-circuits/,contextual lesson placement,Career,A complete troubleshooting loop under a practical gate,career-w05-start-with-an-observable-failure-statement,Start with an observable failure statement,troubleshooting,primary,Start with canonical open/short fault signatures.,Predict which voltages/currents change before measuring.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
5,aacTroubleshootSeries,Troubleshooting Series Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/troubleshooting-series-circuits1/,contextual lesson placement,Career,A complete troubleshooting loop under a practical gate,career-w05-let-each-measurement-shrink-the-fault-space,Let each measurement shrink the fault space,troubleshooting,compact,Extend troubleshooting to increased/decreased component resistance.,Recognize near-open/near-short behavior from voltage patterns.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
5,aacTroubleshootParallel,Troubleshooting Parallel Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/troubleshooting-parallel-circuits/,contextual lesson placement,Career,A complete troubleshooting loop under a practical gate,career-w05-let-each-measurement-shrink-the-fault-space,Let each measurement shrink the fault space,troubleshooting,compact,Learn branch-fault behavior and efficient measurement selection.,"Know the expected-good reading, minimize measurements and choose the best instrument.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
5,aacTroubleshootSeriesParallel,Troubleshooting Series-Parallel Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/troubleshooting-series-parallel-circuits/,contextual lesson placement,Career,A complete troubleshooting loop under a practical gate,career-w05-competing-hypotheses-make-measurements-useful,Competing hypotheses make measurements useful,troubleshooting,primary,Apply expected-value diagnosis to a mixed network.,Choose test points because they split hypotheses.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
5,aacTroubleshootingStrategies,Troubleshooting Strategies,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/troubleshooting-strategies/,contextual lesson placement,Career,A complete troubleshooting loop under a practical gate,career-w05-root-cause-requires-verification-after-the-fix,Root cause requires verification after the fix,troubleshooting,primary,"Generalize to history/observation, in-circuit limitations, substitution, signal tracing/injection and split-half diagnosis.","For each method, state what evidence confirms/rejects a hypothesis and what could mislead it.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
6,aacRcRl,RC and RL Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/rc-and-rl-circuits/,contextual lesson placement,CETa,"From reactance to impedance, phase, and resonance",concept-1,Reactance is frequency-dependent opposition,review,primary,Review how capacitor and inductor reactance changes with frequency and how phase makes AC circuit arithmetic different from DC.,State the direction of XC and XL change with frequency and identify leading/lagging relationships before calculation.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
6,aacTransformerPart1,Transformers (Part 1),North Seattle Community College / All About Circuits,College video lecture,https://www.allaboutcircuits.com/video-lectures/transformers-part-1/,contextual lesson placement,CETa,"From reactance to impedance, phase, and resonance",concept-3,Resonance and transformation are controlled relationships,core,primary,"Learn turns ratio, voltage/current transformation and step-up/step-down behavior.",Relate Np/Ns to voltage ratio and explain why current changes in the opposite direction for an ideal transformer.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
6,adiLtspice,LTspice Getting Started,Analog Devices,Manufacturer video series,https://www.analog.com/en/resources/media-center/videos/series/ltspice-getting-started-tutorial.html,contextual lesson placement,Career,Characterize a filter or resonant network like a technician,career-w06-characterization-starts-with-a-model-and-a-sweep-plan,Characterization starts with a model and a sweep plan,lab-prep,primary,Run an AC sweep only after predicting resonance/cutoff behavior and compare the plot to the prediction.,"Record sweep range, source amplitude, resonant/cutoff frequencies and magnitude/phase changes.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
7,aacPassiveComponents,"Passive, Active, and Electromechanical Components",All About Circuits,Engineering video tutorial,https://www.allaboutcircuits.com/video-tutorials/passive-active-and-electromechanical-components/,contextual lesson placement,CETa,"Component families, ratings, magnetism, and machines",concept-1,A part name does not establish suitability,core,primary,"Build the passive/active/electromechanical classification and connect each family to energy, signal, motion or interconnection behavior.","Identify resistor/capacitor/inductor/transformer/sensor/switch/connector/motor/generator roles from function, not appearance alone.","Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
7,aacElectronicComponents,Electronic Components,North Seattle Community College / All About Circuits,College video lecture with transcript,https://www.allaboutcircuits.com/video-lectures/electronic-components/,contextual lesson placement,CETa,"Component families, ratings, magnetism, and machines",concept-3,Relays separate coil control from switched contacts,reinforcement,compact,"Learn component symbols and basic relay/switch operation including poles, throws, NO/NC contacts and electromagnetic actuation.",Trace the coil and contact states separately and distinguish normal/de-energized state from energized state.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
7,tiTransformers2026,Transformers introduction,Texas Instruments / University of Texas at Austin,University-industry video lecture,https://www.ti.com/video/6244607690001,contextual lesson placement,CETa,"Component families, ratings, magnetism, and machines",concept-11,"Transformers couple magnetic flux, not DC continuity",demonstration,primary,Extend the ideal transformer model to magnetizing/leakage inductance and real transformer effects.,Separate ideal turns-ratio behavior from nonideal magnetic effects.,"Placed at the exact current lesson section where the media most directly supports explanation, demonstration, lab readiness, troubleshooting, reinforcement, review, or deeper study."
