ID,Previous Standard,Final Standard,Status,Source Relationship,Primary Source ID,Primary Source,Primary Source URL,Secondary Source IDs,Secondary Sources / URLs,Why Relevant,Alfred Adaptation,Prerequisites,Instructional Home,First Curriculum Use Week,Primary Mastery Week,Semantic Task ID,Evidence Route
C2.5,"Interpret pull-ups, pull-downs, decoupling capacitors, current-limiting resistors, protection devices, and common interface support circuitry.","Interpret pull-ups, pull-downs, decoupling capacitors, current-limiting resistors, protection devices, and common interface support circuitry.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B; onetTech,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | https://www.pcc.edu/ccog/eet/101b/; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,"Week 13 Career — Career integration: schematics, datasheets, design intent, and test-point prediction",13,13,SEM-C2-13-076,"Week 13 · Career integration: schematics, datasheets, design intent, and test-point prediction · required elements: Trace power/ground/signal/reference designators; Use datasheet pinout/max/recommended/electrical specs correctly; Choose schematic/wiring/block/layout/timing representation; Identify useful test points before probing; Interpret pull/decoupling/limiting/protection support circuitry; Predict expected node behavior"
C2.6,Explain design intent from a schematic well enough to predict expected node voltages or signal behavior before measuring.,Explain design intent from a schematic well enough to predict expected node voltages or signal behavior before measuring.,KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B; onetTech,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | https://www.pcc.edu/ccog/eet/101b/; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,"Week 13 Career — Career integration: schematics, datasheets, design intent, and test-point prediction",13,13,SEM-C2-13-076,"Week 13 · Career integration: schematics, datasheets, design intent, and test-point prediction · required elements: Trace power/ground/signal/reference designators; Use datasheet pinout/max/recommended/electrical specs correctly; Choose schematic/wiring/block/layout/timing representation; Identify useful test points before probing; Interpret pull/decoupling/limiting/protection support circuitry; Predict expected node behavior"
C3.1,"Configure and use a DMM correctly for voltage, resistance/continuity, and current without creating a hazardous or circuit-altering connection.","Select the correct DMM function, input jack, and circuit connection for voltage, resistance/continuity, or current; explain how each mode interacts with the circuit; then make the measurement safely.",REWRITE,Adapted from / informed by,flukeDMM,Fluke — Digital Multimeter Basics,https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills | https://www.pcc.edu/ccog/eet/101a/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,"Week 3 Career — Career integration: question-first DMM, supply, and oscilloscope measurement",3,3,SEM-C3-03-1640A,"Week 3 · Career integration: question-first DMM, supply, and oscilloscope measurement · required elements: Correct DMM function/jack/connection reasoning; Bench-supply voltage/current-limit/CV-CC evidence; Scope probe/reference/attenuation/scale/timebase/trigger setup; Waveform quantity and measurement-limit reasoning; Instrument selected from the hypothesis rather than random probing"
C3.2,Configure a bench power supply in constant-voltage/current-limit operation and use current consumption as a bring-up diagnostic.,"Set bench-supply voltage and a conservative current limit from expected circuit behavior, distinguish CV from current-limit operation, and use current consumption as evidence during bring-up.",REWRITE,Informed by,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,flukeDMM,Fluke — Digital Multimeter Basics | https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,"Week 3 Career — Career integration: question-first DMM, supply, and oscilloscope measurement",3,3,SEM-C3-03-1640A,"Week 3 · Career integration: question-first DMM, supply, and oscilloscope measurement · required elements: Correct DMM function/jack/connection reasoning; Bench-supply voltage/current-limit/CV-CC evidence; Scope probe/reference/attenuation/scale/timebase/trigger setup; Waveform quantity and measurement-limit reasoning; Instrument selected from the hypothesis rather than random probing"
C3.3,"Configure an oscilloscope probe, coupling, vertical scale, timebase, trigger, and reference ground to obtain a stable useful measurement.","Starting with a known waveform, configure probe/reference, attenuation, coupling, vertical scale, timebase, and trigger to obtain a stable oscilloscope display and document the setup.",REWRITE,Adapted from / informed by,tekScope,Tektronix — The XYZs of Oscilloscopes,https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills | https://www.pcc.edu/ccog/eet/101a/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,"Week 3 Career — Career integration: question-first DMM, supply, and oscilloscope measurement",3,3,SEM-C3-03-1640A,"Week 3 · Career integration: question-first DMM, supply, and oscilloscope measurement · required elements: Correct DMM function/jack/connection reasoning; Bench-supply voltage/current-limit/CV-CC evidence; Scope probe/reference/attenuation/scale/timebase/trigger setup; Waveform quantity and measurement-limit reasoning; Instrument selected from the hypothesis rather than random probing"
C3.4,"Measure amplitude, frequency, period, duty cycle, rise/fall behavior, and DC offset from waveforms and explain measurement limitations.","Predict and measure waveform amplitude, frequency, period, duty cycle, DC offset, and rise/fall behavior, while distinguishing resolution, accuracy, loading, bandwidth, and repeatability limits.",REWRITE,Informed by,tekScope,Tektronix — The XYZs of Oscilloscopes,https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | https://www.pcc.edu/ccog/eet/101b/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,"Week 3 Career — Career integration: question-first DMM, supply, and oscilloscope measurement",3,3,SEM-C3-03-1640A,"Week 3 · Career integration: question-first DMM, supply, and oscilloscope measurement · required elements: Correct DMM function/jack/connection reasoning; Bench-supply voltage/current-limit/CV-CC evidence; Scope probe/reference/attenuation/scale/timebase/trigger setup; Waveform quantity and measurement-limit reasoning; Instrument selected from the hypothesis rather than random probing"
C3.5,"Use a logic analyzer to capture and decode digital activity while checking sample rate, thresholds, channel mapping, and timing context.","After a known digital-bus transaction exists, configure a logic analyzer with correct reference, threshold, sample rate, channel mapping, and decoder settings; correlate raw and decoded activity and recognize when an oscilloscope is required for analog signal-quality questions.",MOVE,Informed by,saleae,Saleae — Logic Analyzer Learning and Support,https://support.saleae.com/,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | https://www.pcc.edu/ccog/eet/101b/,Moved to the first curriculum location where the full competency is actually taught and can be assessed without future-concept leakage.,Alfred preserves the competency identity but moves required mastery evidence to the dependency-correct week.,CETA-W18 (serial-bus model); C9.2 (known-good I²C transaction earlier in Week 18); C3.1–C3.4 (measurement-plan and reference discipline),Week 18 Career — I²C-first logic-analyzer onboarding,18,18,SEM-C3-18-1640B,Week 18 · Career integration: logic-analyzer acquisition and decoder evidence · required elements: Analyzer reference/ground and channel mapping; Threshold appropriate to logic level; Sample rate justified from bus activity; Raw capture inspected before decoder trust; Decoder settings tied to actual protocol; Scope selected for analog level/rise-time/ringing questions
C3.6,Select a measurement instrument based on the hypothesis being tested rather than probing randomly.,"Translate a troubleshooting question into a measurable hypothesis, then choose the instrument, test point, setup, and expected result that will provide the most useful evidence.",REWRITE,Adapted from / informed by,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,pccEET101B; flukeDMM; tekScope,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | https://www.pcc.edu/ccog/eet/101b/; Fluke — Digital Multimeter Basics | https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course; Tektronix — The XYZs of Oscilloscopes | https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,"Week 3 Career — Career integration: question-first DMM, supply, and oscilloscope measurement",3,3,SEM-C3-03-1640A,"Week 3 · Career integration: question-first DMM, supply, and oscilloscope measurement · required elements: Correct DMM function/jack/connection reasoning; Bench-supply voltage/current-limit/CV-CC evidence; Scope probe/reference/attenuation/scale/timebase/trigger setup; Waveform quantity and measurement-limit reasoning; Instrument selected from the hypothesis rather than random probing"
C4.1,"Identify acceptable and defective solder joints and explain likely causes of cold joints, bridges, insufficient wetting, and lifted pads.","Identify acceptable and defective solder joints and explain likely causes of cold joints, bridges, insufficient wetting, and lifted pads.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | https://standards.nasa.gov/standard/NASA/NASA-STD-87394; NASA — NASA-HDBK-8739.21 — ESD Control | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,Week 12 Career — Career integration: solder/rework workmanship and traceable physical change,12,12,SEM-C4-12-1640A,Week 12 · Career integration: solder/rework workmanship and traceable physical change · required elements: Identify acceptable/defective solder evidence; Safe through-hole/basic SMT rework sequence; Before/after orientation and verification evidence; Repair-versus-replace/escalate boundary
C4.2,"Plan a safe through-hole or basic SMT rework sequence that minimizes heat, mechanical stress, and ESD exposure.","Plan a safe through-hole or basic SMT rework sequence that minimizes heat, mechanical stress, and ESD exposure.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | https://standards.nasa.gov/standard/NASA/NASA-STD-87394; NASA — NASA-HDBK-8739.21 — ESD Control | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,Week 12 Career — Career integration: solder/rework workmanship and traceable physical change,12,12,SEM-C4-12-1640A,Week 12 · Career integration: solder/rework workmanship and traceable physical change · required elements: Identify acceptable/defective solder evidence; Safe through-hole/basic SMT rework sequence; Before/after orientation and verification evidence; Repair-versus-replace/escalate boundary
C4.3,"Prepare, strip, crimp, strain-relieve, and inspect a low-voltage wire or harness connection using workmanship criteria.","Prepare, strip, crimp, strain-relieve, and inspect a low-voltage wire or harness connection using workmanship criteria.",MOVE,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | https://standards.nasa.gov/standard/NASA/NASA-STD-87394; NASA — NASA-HDBK-8739.21 — ESD Control | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00",Moved to the first curriculum location where the full competency is actually taught and can be assessed without future-concept leakage.,Alfred preserves the competency identity but moves required mastery evidence to the dependency-correct week.,CETA-W19 (cabling/interconnect concepts); C1.2/C1.5 (ESD and bench/work practices); known-good harness orientation/pinout,"Week 19 Career — harness preparation, crimping, strain relief, inspection",19,19,SEM-C4-19-1640B,Week 19 · Career integration: low-voltage crimp and harness workmanship · required elements: Correct strip preparation without damaged strands; Compatible terminal/tool/die and complete crimp; Conductor plus insulation support/strain relief; Connector keying/pin numbering/labels; Continuity and absence-of-short verification with orientation documented
C4.4,"Use connector keying, pin numbering, continuity checks, and wire labels to prevent harness miswiring.","Use connector keying, pin numbering, continuity checks, and wire labels to prevent harness miswiring.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | https://standards.nasa.gov/standard/NASA/NASA-STD-87394; NASA — NASA-HDBK-8739.21 — ESD Control | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,Week 19 Career — Career integration: low-voltage crimp and harness workmanship,19,19,SEM-C4-19-1640B,Week 19 · Career integration: low-voltage crimp and harness workmanship · required elements: Correct strip preparation without damaged strands; Compatible terminal/tool/die and complete crimp; Conductor plus insulation support/strain relief; Connector keying/pin numbering/labels; Continuity and absence-of-short verification with orientation documented
