ID,Previous Standard,Final Standard,Status,Source Relationship,Primary Source ID,Primary Source,Primary Source URL,Secondary Source IDs,Secondary Sources / URLs,Why Relevant,Alfred Adaptation,Prerequisite Standard Codes,Prerequisite Detail,Foundation Teaching Week,Foundation Teaching Section ID,Foundation Teaching Section,First Introduction Week,First Guided-Practice Week,First Application Week,Reinforcement Weeks,Mastery Week,Semantic Evidence Task ID,Associated Question IDs,Associated Lab / Project Evidence,Instructional Home,Traceability Version
C2.5,"Interpret pull-ups, pull-downs, decoupling capacitors, current-limiting resistors, protection devices, and common interface support circuitry.","Interpret pull-ups, pull-downs, decoupling capacitors, current-limiting resistors, protection devices, and common interface support circuitry.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B; onetTech,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,7,career-w07-separate-logic-control-power-path-and-switched-load,"Separate logic control, power path, and switched load",7,7,8,8; 10; 11; 13; 18; 25,13,SEM-C2-13-076,CAREER-W07-CHECK-1; CAREER-W08-CHECK-2; CAREER-W08-GATE; CAREER-W11-CHECK-1; CAREER-W11-GATE,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.,"Week 7 Career — Separate logic control, power path, and switched load",16.3.42
C2.6,Explain design intent from a schematic well enough to predict expected node voltages or signal behavior before measuring.,Explain design intent from a schematic well enough to predict expected node voltages or signal behavior before measuring.,KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B; onetTech,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,2,career-w02-a-schematic-is-a-prediction-map,A schematic is a prediction map,2,2,4,4; 5; 6; 10; 13,13,SEM-C2-13-076,CAREER-W04-CHECK-2; CAREER-W04-GATE; CAREER-W10-CHECK-2; CAREER-W10-GATE,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.,Week 2 Career — A schematic is a prediction map,16.3.42
C3.1,"Configure and use a DMM correctly for voltage, resistance/continuity, and current without creating a hazardous or circuit-altering connection.","Select the correct DMM function, input jack, and circuit connection for voltage, resistance/continuity, or current; explain how each mode interacts with the circuit; then make the measurement safely.",REWRITE,Adapted from / informed by,flukeDMM,Digital Multimeter Basics,https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course,pccEET101A,pccEET101A: EET 101A — Electronic Lab and Essential Work Skills — https://www.pcc.edu/ccog/eet/101a/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,1,career-w01-voltage-resistance-and-current-modes-are-different-circuits,"Voltage, resistance, and current modes are different circuits",1,1,2,2; 3; 5; 7; 8; 9; 24; 29,3,SEM-C3-03-1640A,CAREER-W01-CHECK-2; CAREER-W01-GATE,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.,"Week 1 Career — Voltage, resistance, and current modes are different circuits",16.3.42
C3.2,Configure a bench power supply in constant-voltage/current-limit operation and use current consumption as a bring-up diagnostic.,"Set bench-supply voltage and a conservative current limit from expected circuit behavior, distinguish CV from current-limit operation, and use current consumption as evidence during bring-up.",REWRITE,Informed by,pccEET101A,EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,flukeDMM,flukeDMM: Digital Multimeter Basics — https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,1,career-w01-current-limiting-is-a-protective-boundary-and-a-diagnostic-clue,Current limiting is a protective boundary and a diagnostic clue,1,1,3,3; 5; 9; 24; 29,3,SEM-C3-03-1640A,CAREER-W01-CHECK-1; CAREER-W09-CHECK-2; CAREER-W09-GATE,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.,Week 1 Career — Current limiting is a protective boundary and a diagnostic clue,16.3.42
C3.3,"Configure an oscilloscope probe, coupling, vertical scale, timebase, trigger, and reference ground to obtain a stable useful measurement.","Starting with a known waveform, configure probe/reference, attenuation, coupling, vertical scale, timebase, and trigger to obtain a stable oscilloscope display and document the setup.",REWRITE,Adapted from / informed by,tekScope,The XYZs of Oscilloscopes,https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,pccEET101A,pccEET101A: EET 101A — Electronic Lab and Essential Work Skills — https://www.pcc.edu/ccog/eet/101a/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,3,career-w03-learn-the-oscilloscope-on-a-known-waveform-first,Learn the oscilloscope on a known waveform first,3,3,4,4; 5; 6; 10; 24; 29,3,SEM-C3-03-1640A,CAREER-W03-CHECK-1; CAREER-W03-GATE,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.,Week 3 Career — Learn the oscilloscope on a known waveform first,16.3.42
C3.4,"Measure amplitude, frequency, period, duty cycle, rise/fall behavior, and DC offset from waveforms and explain measurement limitations.","Predict and measure waveform amplitude, frequency, period, duty cycle, DC offset, and rise/fall behavior, while distinguishing resolution, accuracy, loading, bandwidth, and repeatability limits.",REWRITE,Informed by,tekScope,The XYZs of Oscilloscopes,https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,pccEET101B,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,3,career-w03-reference-grounding-loading-and-bandwidth-can-change-the-result,"Reference, grounding, loading, and bandwidth can change the result",3,3,4,4; 6; 10; 11,3,SEM-C3-03-1640A,CAREER-W03-CHECK-2; CAREER-W04-CHECK-1; CAREER-W06-CHECK-1; CAREER-W11-CHECK-2,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.,"Week 3 Career — Reference, grounding, loading, and bandwidth can change the result",16.3.42
C3.5,"Use a logic analyzer to capture and decode digital activity while checking sample rate, thresholds, channel mapping, and timing context.","After a known digital-bus transaction exists, configure a logic analyzer with correct reference, threshold, sample rate, channel mapping, and decoder settings; correlate raw and decoded activity and recognize when an oscilloscope is required for analog signal-quality questions.",MOVE,Informed by,saleae,Logic Analyzer Learning and Support,https://support.saleae.com/,pccEET101B,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/,Moved to the first curriculum location where the full competency is actually taught and can be assessed without future-concept leakage.,Alfred preserves the competency identity but moves required mastery evidence to the dependency-correct week.,,CETA-W18 (serial-bus model); C9.2 (known-good I²C transaction earlier in Week 18); C3.1–C3.4 (measurement-plan and reference discipline),18,career-w18-learn-the-logic-analyzer-on-that-known-good-i2c-transaction,Learn the logic analyzer on that known-good I²C transaction,18,18,25,25; 29,18,SEM-C3-18-1640B,,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.,Week 18 Career — Learn the logic analyzer on that known-good I²C transaction,16.3.42
C3.6,Select a measurement instrument based on the hypothesis being tested rather than probing randomly.,"Translate a troubleshooting question into a measurable hypothesis, then choose the instrument, test point, setup, and expected result that will provide the most useful evidence.",REWRITE,Adapted from / informed by,pccEET101A,EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,pccEET101B; flukeDMM; tekScope,pccEET101B: EET 101B — Electronic Equipment and Lab Skills — https://www.pcc.edu/ccog/eet/101b/; flukeDMM: Digital Multimeter Basics — https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course; tekScope: The XYZs of Oscilloscopes — https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,3,career-w03-start-with-a-measurable-question-not-with-a-probe,"Start with a measurable question, not with a probe",3,3,4,4; 5; 6; 13; 19; 20; 21; 28,3,SEM-C3-03-1640A,CAREER-W06-CHECK-2; CAREER-W06-GATE; CAREER-W20-CHECK-1,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.,"Week 3 Career — Start with a measurable question, not with a probe",16.3.42
C4.1,"Identify acceptable and defective solder joints and explain likely causes of cold joints, bridges, insufficient wetting, and lifted pads.","Identify acceptable and defective solder joints and explain likely causes of cold joints, bridges, insufficient wetting, and lifted pads.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"nasaHarness: NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring — https://standards.nasa.gov/standard/NASA/NASA-STD-87394; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,12,career-w12-career-integration-solder-rework-workmanship-and-harness-evidence,Career integration: solder/rework workmanship and harness evidence,12,12,21,21; 29,12,SEM-C4-12-1640A,,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.,Week 12 Career — Career integration: solder/rework workmanship and harness evidence,16.3.42
C4.2,"Plan a safe through-hole or basic SMT rework sequence that minimizes heat, mechanical stress, and ESD exposure.","Plan a safe through-hole or basic SMT rework sequence that minimizes heat, mechanical stress, and ESD exposure.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"nasaHarness: NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring — https://standards.nasa.gov/standard/NASA/NASA-STD-87394; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,12,career-w12-career-integration-solder-rework-workmanship-and-harness-evidence,Career integration: solder/rework workmanship and harness evidence,12,12,29,29,12,SEM-C4-12-1640A,,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.,Week 12 Career — Career integration: solder/rework workmanship and harness evidence,16.3.42
C4.3,"Prepare, strip, crimp, strain-relieve, and inspect a low-voltage wire or harness connection using workmanship criteria.","Prepare, strip, crimp, strain-relieve, and inspect a low-voltage wire or harness connection using workmanship criteria.",MOVE,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"nasaHarness: NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring — https://standards.nasa.gov/standard/NASA/NASA-STD-87394; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00",Moved to the first curriculum location where the full competency is actually taught and can be assessed without future-concept leakage.,Alfred preserves the competency identity but moves required mastery evidence to the dependency-correct week.,,CETA-W19 (cabling/interconnect concepts); C1.2/C1.5 (ESD and bench/work practices); known-good harness orientation/pinout,19,career-w19-termination-quality-is-a-process-not-a-beep,"Termination quality is a process, not a beep",19,19,29,29,19,SEM-C4-19-1640B,CAREER-W19-CHECK-1; CAREER-W19-GATE,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.,"Week 19 Career — Termination quality is a process, not a beep",16.3.42
C4.4,"Use connector keying, pin numbering, continuity checks, and wire labels to prevent harness miswiring.","Use connector keying, pin numbering, continuity checks, and wire labels to prevent harness miswiring.",KEEP,Informed by,gptcElectronics,Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"nasaHarness: NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring — https://standards.nasa.gov/standard/NASA/NASA-STD-87394; nasaESD: NASA-HDBK-8739.21 — ESD Control — https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; onetTech: Electrical and Electronic Engineering Technologists and Technicians — https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,19,career-w19-document-orientation-and-reference,Document orientation and reference,19,19,29,29,19,SEM-C4-19-1640B,CAREER-W19-CHECK-2,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.,Week 19 Career — Document orientation and reference,16.3.42
