Question ID,Week,Question Type,Prompt,Concept,Standard(s),Target Section ID,Target Title,Exists?,Correct Week?,Concept Actually Taught There?,Production Route Version,Learner-Facing Chromium Click
CAREER-W10-GATE,10,Required gate,Output gain is correct unloaded but falls when a low-resistance load is attached. What is the leading explanation?,load-dependent gain,C2.6,career-w10-begin-with-a-signal-budget,Begin with a signal budget,PASS,PASS,PASS,16.3.42,PASS
CAREER-W11-CHECK-1,11,Integrated check,A 3.3 V open-drain signal has no pull-up. What is the expected released/high behavior?,open-drain pull-up,C2.5,career-w11-pull-resistors-define-default-state-and-edge-behavior,Pull resistors define default state and edge behavior,PASS,PASS,PASS,16.3.42,PASS
CAREER-W11-CHECK-2,11,Integrated check,Why can a DMM miss switch bounce?,switch bounce bandwidth/time behavior,C3.4,career-w11-mechanical-switches-create-multiple-transitions,Mechanical switches create multiple transitions,PASS,PASS,PASS,16.3.42,PASS
CAREER-W11-GATE,11,Required gate,Why does an open-drain signal need a pull-up?,open-drain released state,C2.5,career-w11-pull-resistors-define-default-state-and-edge-behavior,Pull resistors define default state and edge behavior,PASS,PASS,PASS,16.3.42,PASS
CAREER-W12-CHECK-1,12,Integrated check,Which is the strongest rework record?,rework evidence record,C4.5,career-w12-a-physical-change-needs-a-before-after-record,A physical change needs a before/after record,PASS,PASS,PASS,16.3.42,PASS
CAREER-W12-CHECK-2,12,Integrated check,What should never be committed to a repository merely for convenience?,repository secrets exclusion,C12.1,career-w12-version-control-exists-because-project-files-change,Version control exists because project files change,PASS,PASS,PASS,16.3.42,PASS
CAREER-W12-GATE,12,Required gate,What belongs in a meaningful engineering commit?,coherent engineering commit,C12.1,career-w12-history-becomes-useful-when-each-commit-means-one-coherent-change,History becomes useful when each commit means one coherent change,PASS,PASS,PASS,16.3.42,PASS
CAREER-W13-CHECK-1,13,Integrated check,What makes half-split troubleshooting efficient?,half-split fault isolation,C5.3,career-w13-divide-at-functional-boundaries,Divide at functional boundaries,PASS,PASS,PASS,16.3.42,PASS
CAREER-W13-CHECK-2,13,Integrated check,Give one hardware symptom and a distinct plausible root cause.,symptom versus root cause,C5.4,career-w13-root-cause-requires-a-causal-chain,Root cause requires a causal chain,PASS,PASS,PASS,16.3.42,PASS
CAREER-W13-GATE,13,Required gate,Which statement is a defensible root cause?,defensible causal root cause,C5.4,career-w13-root-cause-requires-a-causal-chain,Root cause requires a causal chain,PASS,PASS,PASS,16.3.42,PASS
CAREER-W14-CHECK-1,14,Integrated check,An array is declared `uint8_t a[4]`. Which index is out of bounds?,array bounds,C6.3,career-w14-arrays-strings-structs-and-enums-organize-related-data,"Arrays, strings, structs, and enums organize related data",PASS,PASS,PASS,16.3.42,PASS
CAREER-W14-CHECK-2,14,Integrated check,What is the difference between `&x` and `*p` in C?,address-of versus dereference,C6.7,career-w14-addresses-and-pointers-make-memory-locations-explicit,Addresses and pointers make memory locations explicit,PASS,PASS,PASS,16.3.42,PASS
CAREER-W14-GATE,14,Required gate,What must be true before dereferencing a pointer?,valid pointer dereference,C6.7,career-w14-addresses-and-pointers-make-memory-locations-explicit,Addresses and pointers make memory locations explicit,PASS,PASS,PASS,16.3.42,PASS
CAREER-W15-CHECK-1,15,Integrated check,What does `volatile` guarantee in C?,volatile guarantee and limits,C7.2,career-w15-volatile-solves-one-compiler-visibility-problem-not-concurrency,"`volatile` solves one compiler-visibility problem, not concurrency",PASS,PASS,PASS,16.3.42,PASS
CAREER-W15-CHECK-2,15,Integrated check,Why is a free-running timer plus elapsed-time check often better than a long blocking delay?,nonblocking elapsed-time design,C7.4,career-w15-blocking-code-prevents-other-work-from-happening,Blocking code prevents other work from happening,PASS,PASS,PASS,16.3.42,PASS
CAREER-W15-GATE,15,Required gate,What does `volatile` guarantee?,volatile guarantee,C7.2,career-w15-volatile-solves-one-compiler-visibility-problem-not-concurrency,"`volatile` solves one compiler-visibility problem, not concurrency",PASS,PASS,PASS,16.3.42,PASS
CAREER-W16-CHECK-1,16,Integrated check,Which sequence gives the strongest evidence during MCU bring-up?,layered MCU bring-up evidence,C8.5,career-w16-bring-up-is-a-ladder-of-proofs,Bring-up is a ladder of proofs,PASS,PASS,PASS,16.3.42,PASS
CAREER-W16-CHECK-2,16,Integrated check,What does 'programmed successfully' fail to prove?,programmed successfully versus running proof,C8.5,career-w16-flash-reset-and-run-prove-different-things,"Flash, reset, and run prove different things",PASS,PASS,PASS,16.3.42,PASS
CAREER-W16-GATE,16,Required gate,Which sequence gives the strongest bring-up evidence?,strongest MCU bring-up evidence chain,C8.5,career-w16-bring-up-is-a-ladder-of-proofs,Bring-up is a ladder of proofs,PASS,PASS,PASS,16.3.42,PASS
CAREER-W17-CHECK-1,17,Integrated check,A serial `read()` returns only half of a newline-delimited message. What should robust software do?,serial framing and partial reads,C10.1,career-w17-define-the-serial-contract-before-writing-the-client,Define the serial contract before writing the client,PASS,PASS,PASS,16.3.42,PASS
CAREER-W17-CHECK-2,17,Integrated check,Why should a timeout be logged as an explicit result?,timeout as explicit result,C10.1,career-w17-use-pyserial-as-a-visible-port-bytes-message-pipeline,Use pySerial as a visible port → bytes → message pipeline,PASS,PASS,PASS,16.3.42,PASS
CAREER-W17-GATE,17,Required gate,A serial read times out. What should a test script do?,serial timeout handling,C10.1,career-w17-use-pyserial-as-a-visible-port-bytes-message-pipeline,Use pySerial as a visible port → bytes → message pipeline,PASS,PASS,PASS,16.3.42,PASS
CAREER-W18-CHECK-1,18,Integrated check,An I2C analyzer shows address NACK but the raw waveform has slow rounded rises that do not reach a valid high before sampling. What layer should be addressed first?,I2C electrical versus protocol diagnosis,C9.6,career-w18-we-do-diagnose-an-i2c-address-nack-by-layer,WE DO: diagnose an I²C address NACK by layer,PASS,PASS,PASS,16.3.42,PASS
CAREER-W18-CHECK-2,18,Integrated check,Why read a device-ID register early in bring-up?,device-ID register bring-up,C9.5,career-w18-i-do-prove-an-i2c-identity-register-read-end-to-end,I DO: prove an I²C identity-register read end to end,PASS,PASS,PASS,16.3.42,PASS
CAREER-W18-GATE,18,Required gate,The analyzer decodes no I²C traffic and both lines remain low. What should be checked first?,stuck-low bus triage,C9.6,career-w18-we-do-diagnose-an-i2c-address-nack-by-layer,WE DO: diagnose an I²C address NACK by layer,PASS,PASS,PASS,16.3.42,PASS
CAREER-W19-CHECK-1,19,Integrated check,A harness passes static continuity but fails when flexed near a connector. What is the strongest next step?,intermittent harness termination,C4.3,career-w19-termination-quality-is-a-process-not-a-beep,"Termination quality is a process, not a beep",PASS,PASS,PASS,16.3.42,PASS
CAREER-W19-CHECK-2,19,Integrated check,Why should a connector drawing state mating-face versus wire-side view?,connector view orientation,C4.4,career-w19-document-orientation-and-reference,Document orientation and reference,PASS,PASS,PASS,16.3.42,PASS
CAREER-W19-GATE,19,Required gate,What does a continuity beep prove?,limits of continuity,C4.3,career-w19-termination-quality-is-a-process-not-a-beep,"Termination quality is a process, not a beep",PASS,PASS,PASS,16.3.42,PASS
CAREER-W20-CHECK-1,20,Integrated check,Why can changing RBW alter the apparent noise floor on a spectrum analyzer?,RBW and displayed noise,C3.6,career-w20-a-spectrum-analyzer-shows-signal-energy-versus-frequency,A spectrum analyzer shows signal energy versus frequency,PASS,PASS,PASS,16.3.42,PASS
CAREER-W20-CHECK-2,20,Integrated check,What is the difference between an observed spur and a compliance failure?,observation versus compliance conclusion,C11.2,career-w20-observation-interpretation-and-escalation-are-different-statements,"Observation, interpretation, and escalation are different statements",PASS,PASS,PASS,16.3.42,PASS
CAREER-W20-GATE,20,Required gate,Which conclusion is justified by a training spectrum screenshot alone?,training trace versus compliance claim,C11.2,career-w20-a-spectrum-analyzer-shows-signal-energy-versus-frequency,A spectrum analyzer shows signal energy versus frequency,PASS,PASS,PASS,16.3.42,PASS
CAREER-W21-CHECK-1,21,Integrated check,A sensor is not responding over I2C. Which check should usually precede debugging parser code?,I2C triage before parser code,C9.6,career-w21-use-bounded-decision-trees-rather-than-giant-checklists,Use bounded decision trees rather than giant checklists,PASS,PASS,PASS,16.3.42,PASS
CAREER-W21-CHECK-2,21,Integrated check,What makes a good technician handoff boundary statement?,technician handoff boundary,C12.5,career-w21-communicate-the-decision-boundary,Communicate the decision boundary,PASS,PASS,PASS,16.3.42,PASS
CAREER-W21-GATE,21,Required gate,Which answer demonstrates the strongest technician reasoning?,technician next-action reasoning,C5.2,career-w21-technician-speed-comes-from-choosing-the-next-useful-action,Technician speed comes from choosing the next useful action,PASS,PASS,PASS,16.3.42,PASS
CAREER-W22-CHECK-1,22,Integrated check,Which is the strongest requirement?,measurable requirement,C11.1,career-w22-a-requirement-describes-observable-behavior-and-conditions,A requirement describes observable behavior and conditions,PASS,PASS,PASS,16.3.42,PASS
CAREER-W22-CHECK-2,22,Integrated check,What is the purpose of a requirement-to-test trace matrix?,requirement-to-test traceability,C11.6,career-w22-traceability-controls-scope,Traceability controls scope,PASS,PASS,PASS,16.3.42,PASS
CAREER-W22-GATE,22,Required gate,Which is the strongest requirement?,measurable requirement,C11.1,career-w22-a-requirement-describes-observable-behavior-and-conditions,A requirement describes observable behavior and conditions,PASS,PASS,PASS,16.3.42,PASS
CAREER-W23-CHECK-1,23,Integrated check,Which item is essential to a reproducible embedded project baseline?,reproducible project baseline,C12.6,career-w23-a-repository-is-the-projects-reconstructable-memory,A repository is the project’s reconstructable memory,PASS,PASS,PASS,16.3.42,PASS
CAREER-W23-CHECK-2,23,Integrated check,Why keep a minimum known-good firmware image?,minimum known-good recovery image,C8.5,career-w23-recovery-paths-are-part-of-readiness,Recovery paths are part of readiness,PASS,PASS,PASS,16.3.42,PASS
CAREER-W23-GATE,23,Required gate,What must happen before first project power?,pre-power gate,C1.4,career-w23-plan-first-power-as-a-test-case,Plan first power as a test case,PASS,PASS,PASS,16.3.42,PASS
CAREER-W24-CHECK-1,24,Integrated check,"During first power, current reaches the limit before reset releases. Which layer should you investigate first?",bring-up layer when current limits,C8.5,career-w24-first-power-is-a-controlled-experiment,First power is a controlled experiment,PASS,PASS,PASS,16.3.42,PASS
CAREER-W24-CHECK-2,24,Integrated check,What is the purpose of a known-good hardware baseline?,known-good hardware baseline purpose,C8.5,career-w24-a-baseline-includes-recovery,A baseline includes recovery,PASS,PASS,PASS,16.3.42,PASS
CAREER-W24-GATE,24,Required gate,What makes a bring-up baseline “known-good”?,known-good baseline evidence,C8.5,career-w24-a-baseline-includes-recovery,A baseline includes recovery,PASS,PASS,PASS,16.3.42,PASS
CAREER-W25-CHECK-1,25,Integrated check,A sensor ID register reads correctly but engineering units are absurd. Which layer is the best next focus?,vertical-slice layer localization,C9.6,career-w25-define-the-slice-s-checkpoints,Define the slice's checkpoints,PASS,PASS,PASS,16.3.42,PASS
CAREER-W25-CHECK-2,25,Integrated check,Why inject a reversible fault after the vertical slice works?,reversible fault as diagnostic preview,C5.5,career-w25-fault-injection-makes-the-slice-diagnostic,Fault injection makes the slice diagnostic,PASS,PASS,PASS,16.3.42,PASS
CAREER-W25-GATE,25,Required gate,Which evidence best proves a sensor vertical slice?,end-to-end vertical-slice evidence,C11.4,career-w25-define-the-slice-s-checkpoints,Define the slice's checkpoints,PASS,PASS,PASS,16.3.42,PASS
CAREER-W26-CHECK-1,26,Integrated check,Why is returning numeric zero for every sensor communication error dangerous?,explicit error state instead of valid-looking zero,C7.6,career-w26-make-errors-explicit-and-recoverable,Make errors explicit and recoverable,PASS,PASS,PASS,16.3.42,PASS
CAREER-W26-CHECK-2,26,Integrated check,What is the main purpose of separating a low-level driver from application logic?,driver/application separation,C7.6,career-w26-separate-hardware-access-from-application-decisions,Separate hardware access from application decisions,PASS,PASS,PASS,16.3.42,PASS
CAREER-W26-GATE,26,Required gate,What is the strongest reason to separate a sensor driver from application logic?,testable firmware responsibility layers,C7.6,career-w26-architecture-follows-responsibilities-and-test-seams,Architecture follows responsibilities and test seams,PASS,PASS,PASS,16.3.42,PASS
CAREER-W27-CHECK-1,27,Integrated check,A test expected 3.3 V but communication timed out. What should the result usually be?,ERROR versus FAIL verdict,C11.5,career-w27-verdicts-need-explicit-semantics,Verdicts need explicit semantics,PASS,PASS,PASS,16.3.42,PASS
CAREER-W27-CHECK-2,27,Integrated check,Why test values exactly at and just beyond pass/fail boundaries?,boundary-value testing,C11.4,career-w27-boundary-and-fault-cases-prove-more-than-the-happy-path,Boundary and fault cases prove more than the happy path,PASS,PASS,PASS,16.3.42,PASS
CAREER-W27-GATE,27,Required gate,When should a hardware test report PASS?,PASS only from valid evidence meeting limits,C10.4,career-w27-verdicts-need-explicit-semantics,Verdicts need explicit semantics,PASS,PASS,PASS,16.3.42,PASS
CAREER-W28-CHECK-1,28,Integrated check,What must exist before a controlled fault is injected?,fault-injection prerequisite baseline,C5.5,career-w28-controlled-fault-injection-needs-a-known-good-baseline,Controlled fault injection needs a known-good baseline,PASS,PASS,PASS,16.3.42,PASS
CAREER-W28-CHECK-2,28,Integrated check,Why run regression tests after restoring a fault?,post-restoration regression,C5.4,career-w28-regression-proves-the-correction-did-not-create-a-new-problem,Regression proves the correction did not create a new problem,PASS,PASS,PASS,16.3.42,PASS
CAREER-W28-GATE,28,Required gate,Which fault injection is appropriate for this course?,appropriate controlled fault injection,C5.5,career-w28-fault-injection-validates-the-detector-and-diagnostic-path,Fault injection validates the detector and diagnostic path,PASS,PASS,PASS,16.3.42,PASS
CAREER-W29-CHECK-1,29,Integrated check,Which portfolio claim is strongest?,evidence-backed portfolio claim,C13.1,career-w29-an-evidence-hierarchy-makes-a-portfolio-claim-believable,An evidence hierarchy makes a portfolio claim believable,PASS,PASS,PASS,16.3.42,PASS
CAREER-W29-CHECK-2,29,Integrated check,Why map resume claims to artifacts?,resume/portfolio claim traceability,C13.2,career-w29-every-skill-claim-should-point-to-evidence,Every skill claim should point to evidence,PASS,PASS,PASS,16.3.42,PASS
CAREER-W29-GATE,29,Required gate,Which portfolio claim is strongest?,evidence-backed portfolio claim,C13.1,career-w29-an-evidence-hierarchy-makes-a-portfolio-claim-believable,An evidence hierarchy makes a portfolio claim believable,PASS,PASS,PASS,16.3.42,PASS
CAREER-W30-CHECK-1,30,Integrated check,Which factor best distinguishes a useful bridge role from an impressive-sounding title?,bridge-role technical value,C13.5,career-w30-target-roles-by-transferable-task-not-title-alone,"Target roles by transferable task, not title alone",PASS,PASS,PASS,16.3.42,PASS
CAREER-W30-CHECK-2,30,Integrated check,What should a technical interview fault story include?,technical fault story,C13.3,career-w30-interview-answers-should-expose-technical-decisions,Interview answers should expose technical decisions,PASS,PASS,PASS,16.3.42,PASS
CAREER-W30-GATE,30,Required gate,What is the strongest response when an interview question exceeds your knowledge?,handling an unknown interview question,C13.3,career-w30-interview-answers-should-expose-technical-decisions,Interview answers should expose technical decisions,PASS,PASS,PASS,16.3.42,PASS
CAREER-W31-CHECK-1,31,Integrated check,What is the best use of repeated application outcomes?,application outcome feedback loop,C13.6,career-w31-change-one-weak-variable-at-a-time,Change one weak variable at a time,PASS,PASS,PASS,16.3.42,PASS
CAREER-W31-CHECK-2,31,Integrated check,Why should the bridge job remain compatible with continued EE school?,bridge role compatible with EE school,C13.6,career-w31-continue-building-toward-embedded-systems-through-work-plus-school,Continue building toward embedded systems through work plus school,PASS,PASS,PASS,16.3.42,PASS
CAREER-W31-GATE,31,Required gate,When should market feedback trigger a curriculum repair?,feedback-triggered curriculum repair,C13.6,career-w31-repair-narrowly-and-return-to-the-market,Repair narrowly and return to the market,PASS,PASS,PASS,16.3.42,PASS
