ID,Previous standard,Final standard,Status,Source relationship,Primary source ID,Primary source,Primary source URL,Secondary source IDs,Secondary sources,Secondary source URLs,Why relevant,Alfred adaptation,First curriculum use,Primary semantic/mastery week,Evidence route
C2.5,"Interpret pull-ups, pull-downs, decoupling capacitors, current-limiting resistors, protection devices, and common interface support circuitry.","Interpret pull-ups, pull-downs, decoupling capacitors, current-limiting resistors, protection devices, and common interface support circuitry.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B | onetTech,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.pcc.edu/ccog/eet/101b/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,4,13,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C2.6,Explain design intent from a schematic well enough to predict expected node voltages or signal behavior before measuring.,Explain design intent from a schematic well enough to predict expected node voltages or signal behavior before measuring.,KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,pccEET101B | onetTech,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.pcc.edu/ccog/eet/101b/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,2,13,Required semantic task SEM-C2-13-076; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C3.1,"Configure and use a DMM correctly for voltage, resistance/continuity, and current without creating a hazardous or circuit-altering connection.","Select the correct DMM function, input jack, and circuit connection for voltage, resistance/continuity, or current; explain how each mode interacts with the circuit; then make the measurement safely.",REWRITE,Adapted from / informed by,flukeDMM,Fluke — Digital Multimeter Basics,https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,1,3,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C3.2,Configure a bench power supply in constant-voltage/current-limit operation and use current consumption as a bring-up diagnostic.,"Set bench-supply voltage and a conservative current limit from expected circuit behavior, distinguish CV from current-limit operation, and use current consumption as evidence during bring-up.",REWRITE,Informed by,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,flukeDMM,Fluke — Digital Multimeter Basics,https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,1,3,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C3.3,"Configure an oscilloscope probe, coupling, vertical scale, timebase, trigger, and reference ground to obtain a stable useful measurement.","Starting with a known waveform, configure probe/reference, attenuation, coupling, vertical scale, timebase, and trigger to obtain a stable oscilloscope display and document the setup.",REWRITE,Adapted from / informed by,tekScope,Tektronix — The XYZs of Oscilloscopes,https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,3,3,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C3.4,"Measure amplitude, frequency, period, duty cycle, rise/fall behavior, and DC offset from waveforms and explain measurement limitations.","Predict and measure waveform amplitude, frequency, period, duty cycle, DC offset, and rise/fall behavior, while distinguishing resolution, accuracy, loading, bandwidth, and repeatability limits.",REWRITE,Informed by,tekScope,Tektronix — The XYZs of Oscilloscopes,https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,3,3,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C3.5,"Use a logic analyzer to capture and decode digital activity while checking sample rate, thresholds, channel mapping, and timing context.","Configure a logic analyzer with correct reference, threshold, sample rate, channel mapping, and protocol settings before decoding digital activity; recognize when an oscilloscope is needed to investigate electrical signal quality.",REWRITE,Informed by,saleae,Saleae — Logic Analyzer Learning and Support,https://support.saleae.com/,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,11,3,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C3.6,Select a measurement instrument based on the hypothesis being tested rather than probing randomly.,"Translate a troubleshooting question into a measurable hypothesis, then choose the instrument, test point, setup, and expected result that will provide the most useful evidence.",REWRITE,Adapted from / informed by,pccEET101A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,https://www.pcc.edu/ccog/eet/101a/,pccEET101B | flukeDMM | tekScope,Portland Community College — EET 101B — Electronic Equipment and Lab Skills | Fluke — Digital Multimeter Basics | Tektronix — The XYZs of Oscilloscopes,https://www.pcc.edu/ccog/eet/101b/ | https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course | https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,3,3,Required semantic task SEM-C3-03-077; required primary lesson gate; v16.3 integrated lesson checks; Week 3 mastery/teach-back.
C4.1,"Identify acceptable and defective solder joints and explain likely causes of cold joints, bridges, insufficient wetting, and lifted pads.","Identify acceptable and defective solder joints and explain likely causes of cold joints, bridges, insufficient wetting, and lifted pads.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness | nasaESD | onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | NASA — NASA-HDBK-8739.21 — ESD Control | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",https://standards.nasa.gov/standard/NASA/NASA-STD-87394 | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921 | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,12,12,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C4.2,"Plan a safe through-hole or basic SMT rework sequence that minimizes heat, mechanical stress, and ESD exposure.","Plan a safe through-hole or basic SMT rework sequence that minimizes heat, mechanical stress, and ESD exposure.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness | nasaESD | onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | NASA — NASA-HDBK-8739.21 — ESD Control | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",https://standards.nasa.gov/standard/NASA/NASA-STD-87394 | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921 | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,8,12,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C4.3,"Prepare, strip, crimp, strain-relieve, and inspect a low-voltage wire or harness connection using workmanship criteria.","Prepare, strip, crimp, strain-relieve, and inspect a low-voltage wire or harness connection using workmanship criteria.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness | nasaESD | onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | NASA — NASA-HDBK-8739.21 — ESD Control | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",https://standards.nasa.gov/standard/NASA/NASA-STD-87394 | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921 | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,19,12,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C4.4,"Use connector keying, pin numbering, continuity checks, and wire labels to prevent harness miswiring.","Use connector keying, pin numbering, continuity checks, and wire labels to prevent harness miswiring.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness | nasaESD | onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | NASA — NASA-HDBK-8739.21 — ESD Control | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",https://standards.nasa.gov/standard/NASA/NASA-STD-87394 | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921 | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,7,12,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C4.5,"Document rework with before/after evidence, component orientation, and verification measurements.","Document rework with before/after evidence, component orientation, and verification measurements.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness | nasaESD | onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | NASA — NASA-HDBK-8739.21 — ESD Control | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",https://standards.nasa.gov/standard/NASA/NASA-STD-87394 | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921 | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,12,12,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C4.6,"Explain when a damaged pad, trace, connector, or harness should be repaired, replaced, or escalated rather than improvised.","Explain when a damaged pad, trace, connector, or harness should be repaired, replaced, or escalated rather than improvised.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness | nasaESD | onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | NASA — NASA-HDBK-8739.21 — ESD Control | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",https://standards.nasa.gov/standard/NASA/NASA-STD-87394 | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921 | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,12,12,Required semantic task SEM-C4-12-078; required primary lesson gate; v16.3 integrated lesson checks; Week 12 mastery/teach-back.
C5.1,Reproduce a fault reliably and define the observed symptom before attempting a fix.,Reproduce a fault reliably and define the observed symptom before attempting a fix.,KEEP,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech | nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | NASA — NASA Systems Engineering Handbook,https://www.onetonline.org/link/summary/17-3023.00 | https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,2,13,Required semantic task SEM-C5-13-079; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C5.2,Form a testable hypothesis from expected versus actual behavior and choose the next measurement that best separates competing causes.,Form a testable hypothesis from expected versus actual behavior and choose the next measurement that best separates competing causes.,KEEP,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech | nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | NASA — NASA Systems Engineering Handbook,https://www.onetonline.org/link/summary/17-3023.00 | https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,2,13,Required semantic task SEM-C5-13-079; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C5.3,"Use divide-and-conquer, known-good substitution, signal tracing, or rail-by-rail checks appropriately without changing multiple variables at once.","Use divide-and-conquer, known-good substitution, signal tracing, or rail-by-rail checks appropriately without changing multiple variables at once.",KEEP,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech | nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | NASA — NASA Systems Engineering Handbook,https://www.onetonline.org/link/summary/17-3023.00 | https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,2,13,Required semantic task SEM-C5-13-079; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C5.4,Distinguish root cause from symptom and verify that a repair removes the cause without creating a new failure.,Distinguish root cause from symptom and verify that a repair removes the cause without creating a new failure.,KEEP,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech | nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | NASA — NASA Systems Engineering Handbook,https://www.onetonline.org/link/summary/17-3023.00 | https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,5,13,Required semantic task SEM-C5-13-079; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C5.5,Use fault injection or controlled perturbation to demonstrate that a diagnostic method can detect an expected failure mode.,Use fault injection or controlled perturbation to demonstrate that a diagnostic method can detect an expected failure mode.,KEEP,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech | nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | NASA — NASA Systems Engineering Handbook,https://www.onetonline.org/link/summary/17-3023.00 | https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,28,13,Required semantic task SEM-C5-13-079; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
C5.6,"Write a concise failure report containing symptom, setup, evidence, root cause, corrective action, and verification.","Write a concise failure report containing symptom, setup, evidence, root cause, corrective action, and verification.",KEEP,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech | nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | NASA — NASA Systems Engineering Handbook,https://www.onetonline.org/link/summary/17-3023.00 | https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,13,13,Required semantic task SEM-C5-13-079; required primary lesson gate; v16.3 integrated lesson checks; Week 13 mastery/teach-back.
