Week,Difficulty,Career lesson,CETa foundation,Career prerequisites,New Career learning,Genuine overlap,Future preparation,Source relationship,Source IDs,Source basis,Source URLs
11,Intermediate,"Real logic levels, pull resistors, debounce, and measurement","Digital logic levels, Boolean/state concepts, pull resistors, timing, and debounce.",Use the CETa digital logic model plus Week 3 measurement planning. No MCU register knowledge is assumed yet.,"Real logic thresholds, pull-up/pull-down behavior, switch bounce, scope/logic-analyzer evidence, and bit-mask preview only where CETa has prepared the binary model.","Career makes CETa logic states physical: voltage levels, timing, edges, and noisy transitions.","Prepares MCU GPIO, registers, interrupts, and serial-bus analysis.",Informed by / cross-checked against,gptcElectronics | pccEETProgram | saleae,Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — Electronic Engineering Technology — program and course sequence; Saleae — Logic Analyzer Learning and Support,https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://catalog.pcc.edu/programsanddisciplines/electronicengineeringtechnology/ | https://support.saleae.com/
12,Intermediate,Make physical changes traceable with Git and lab records,Soldering/rework/workmanship and physical interconnection concepts.,Use CETa workmanship/safety plus the established evidence rule. No version-control knowledge is assumed.,"Physical-change traceability plus Git from zero: repository, working tree, status, diff, commit, history, branch/tag, and known-good baseline.",CETa governs physical workmanship; Career makes the change and its evidence reproducible in project history.,"Git becomes infrastructure for C, STM32, projects, test scripts, and portfolio evidence after this week.",Informed by / cross-checked against,gptcElectronics | pccEET101A | githubSkills | nasaHarness | nasaESD,"Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; GitHub Skills — Introduction to GitHub; NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; NASA — NASA-HDBK-8739.21 — ESD Control",https://www.gptc.edu/college-catalog/current/programs/electronics-technology | https://www.pcc.edu/ccog/eet/101a/ | https://github.com/skills/introduction-to-github | https://standards.nasa.gov/standard/NASA/NASA-STD-87394 | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921
13,Intermediate,Troubleshoot with competing hypotheses and high-information tests,"Schematics, components, datasheets, signal flow, and prior troubleshooting evidence.","Use the established troubleshooting loop, schematic/datasheet literacy, and Git/lab-record baseline.","Competing hypotheses, discriminating tests, divide-and-conquer strategy, root-cause verification, and concise failure reporting.",Career organizes CETa circuit knowledge into high-information diagnostic choices.,"This reasoning model becomes the debugging backbone for C, MCU, buses, and projects.",Informed by / cross-checked against,pccEET101B | onetTech | nasaSystems,Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA Systems Engineering Handbook,https://www.pcc.edu/ccog/eet/101b/ | https://www.onetonline.org/link/summary/17-3023.00 | https://www.nasa.gov/reference/systems-engineering-handbook/
14,Intermediate,Write and debug small C programs methodically,"Binary/hex, logic, computer/processor concepts, and the idea that source code is translated into executable machine instructions.",No C programming is assumed. Use only CETa binary/computer fundamentals and Week 12 project-file/Git habits.,"A real C foundation: source/build model, variables/types, expressions, conditionals, loops, functions, arrays/strings/structs/enums, addresses/pointers, bitwise operations, warnings, and debugging.",CETa explains binary and processor concepts; Career teaches the programming language used to control and test those systems.,Provides the programming prerequisites for embedded state/timing and STM32 work.,Informed by / cross-checked against,tamuESET | beejC | cs50C | armEmbedded,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Brian Hall / open textbook — Beej's Guide to C Programming; Harvard University — CS50x Week 4 — Memory and Pointers; Arm — Embedded C Programming with Arm Cortex-M,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/ | https://beej.us/guide/bgc/ | https://cs50.harvard.edu/x/notes/4/ | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course
15,Intermediate,"Responsive embedded architecture, volatile, and timing choices","Microprocessor architecture, registers, ports, binary/bit logic, clocks, and timing concepts.","Week 14 C must be usable before this lesson. Bring forward functions, types, arrays/pointers, bitwise masks, and debugging.","MCU mental model, memory-mapped registers, read/modify/write, polling, blocking vs nonblocking, state machines, interrupts/ISR, shared state, volatile, and timing units.",CETa supplies the architecture vocabulary; Career connects C statements to actual MCU state and timing.,"Direct prerequisite for STM32 configuration, SWD debugging, GPIO, timers, and interfaces.",Informed by / cross-checked against,tamuESET | armEmbedded | armKit | stTraining,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm — Embedded C Programming with Arm Cortex-M; Arm University Program — Efficient Embedded Systems Education Kit; STMicroelectronics — STM32 Online Training,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/ | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html
16,Intermediate,"Create, flash, verify, and document a minimum STM32 bring-up","MCU architecture, GPIO/register concepts, clocks, and interface fundamentals available so far.","Use Week 14 C and Week 15 embedded architecture. No prior STM32 IDE, build, flash, or SWD experience is assumed.","STM32 board/MCU identity, project/configuration, toolchain/build, output image, ST-LINK/debug probe, flash/reset/run, SWD, breakpoint, registers, GPIO proof, and fault layers.",CETa explains what an MCU/peripheral is; Career shows how that model becomes a real build/flash/debug workflow.,"Creates a known-good MCU baseline for host serial, I2C/SPI, sensors, and Project 1.",Informed by / cross-checked against,tamuESET | stTraining | stMooc | armKit,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; STMicroelectronics — STM32 Online Training; STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics; Arm University Program — Efficient Embedded Systems Education Kit,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/ | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html | https://www.st.com/content/st_com/en/support/learning/stm32-moocs/stm32cubemx-and-cubeHhal-basics.html | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems
17,Intermediate,Build a robust Python serial client and evidence log,UART framing/levels and serial communication theory.,"Use CETa UART theory, Week 14 programming ideas, and Week 16 known-good MCU baseline. No Python knowledge is assumed.","Python from zero for test work, bytes versus text, modules/exceptions/files, pySerial configuration/read/write, message boundaries, parsing/validation, and evidence logging.",CETa explains the UART link; Career builds the host-side software that uses and tests it.,Python becomes the host/test foundation for later automated hardware validation.,Informed by / cross-checked against,pythonDocs | pyserial | sparkfunSerial | onetTech,Python Software Foundation — Python 3 Documentation; pySerial project — pySerial Documentation; SparkFun — Serial Communication; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://docs.python.org/3/ | https://pyserial.readthedocs.io/ | https://learn.sparkfun.com/tutorials/serial-communication/all | https://www.onetonline.org/link/summary/17-3023.00
18,Intermediate,Datasheet-to-wire integration and bus fault isolation,UART/I2C/SPI electrical and protocol models plus MCU peripheral concepts.,"Use Week 16 STM32 bring-up, Week 17 host-side serial thinking, and CETa bus fundamentals. The learner should already understand what a register, pin, wire reference, and transaction are.","One-interface-at-a-time datasheet-to-wire integration, transaction contracts, pull-ups/chip select, logic-analyzer setup, decoded evidence, and layered bus fault isolation.","CETa teaches bus mechanics; Career turns a real device datasheet into wiring, driver behavior, captures, and diagnosis.",Supports Project 1 peripheral integration and automated interface verification.,Informed by / cross-checked against,stTraining | saleae | sparkfunI2C | sparkfunSPI,STMicroelectronics — STM32 Online Training; Saleae — Logic Analyzer Learning and Support; SparkFun — I2C; SparkFun — Serial Peripheral Interface (SPI),https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html | https://support.saleae.com/ | https://learn.sparkfun.com/tutorials/i2c/all | https://learn.sparkfun.com/tutorials/serial-peripheral-interface-spi/all
19,Intermediate,"Terminate, inspect, continuity-test, and isolate a connection fault","Cabling, connectors, transmission media, continuity, and workmanship concepts.",Use CETa cable/media theory plus Week 3 measurement discipline and Week 12 workmanship evidence.,"Termination inspection, pin numbering/keying, strain relief, continuity/segment isolation, and serviceable harness documentation.",Career applies CETa cabling theory to physical assembly and fault isolation.,Prepares reliable project interconnects and employer-facing workmanship evidence.,Informed by / cross-checked against,nasaHarness | onetTech | pccEET101A,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills",https://standards.nasa.gov/standard/NASA/NASA-STD-87394 | https://www.onetonline.org/link/summary/17-3023.00 | https://www.pcc.edu/ccog/eet/101a/
20,Intermediate,"Measurement procedure, spectrum interpretation, and technical handoff","RF/telecom fundamentals: frequency, spectra, modulation, transmission lines, and technician procedures.",Use CETa RF/telecom concepts plus Week 3 measurement planning. No spectrum-analyzer workflow is assumed.,"Spectrum-analyzer controls/settings, marker interpretation, measurement procedure writing, observation-versus-interpretation, and technical escalation/handoff.",CETa explains what spectral features mean; Career teaches how to measure and communicate them reproducibly.,Strengthens professional test procedure and handoff skills used in project validation.,Informed by / cross-checked against,tekSpectrum | nptelComms | onetTech,Tektronix — Fundamentals of Real-Time Spectrum Analysis; NPTEL — Principles of Communication Systems I; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.tek.com/en/documents/primer/fundamentals-real-time-spectrum-analysis | https://nptel.ac.in/courses/108104091 | https://www.onetonline.org/link/summary/17-3023.00
21,Intermediate,Turn broad theory into rapid technician choices,"Broad CETa theory accumulated across electrical, components, digital, communications, safety, and procedures.",Use all prior foundational models but continue to choose the smallest relevant model for each scenario.,"Rapid technician triage: identify the domain, select the likely evidence source/tool, state a hypothesis, and choose a safe next action.","Career converts broad CETa recall into fast, disciplined technician decisions.",Prepares requirements/project work where the learner must select methods without topic labels.,Informed by / cross-checked against,etaCompetencies | onetTech | abetETAC,"ETA International — ETA Associate CET (CETa) Competency Requirements; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027",https://www.etai.org/comps/CETa_comps.pdf | https://www.onetonline.org/link/summary/17-3023.00 | https://www.abet.org/accreditation/accreditation-criteria/criteria-for-accrediting-engineering-technology-programs-2026-2027/
22,Advanced,Write requirements and verification before building,Readiness review plus broad technical foundation.,"Use the troubleshooting, documentation, Git, measurement, and interface habits already established.","Requirements, acceptance criteria, verification methods, traceability, test planning, and scope control before build work.",CETa knowledge becomes design/test requirements; Career formalizes how those requirements are proven.,Defines the contract for Project 1 and later automated validation.,Informed by / cross-checked against,abetETAC | nasaSystems | onetTech,"ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027; NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",https://www.abet.org/accreditation/accreditation-criteria/criteria-for-accrediting-engineering-technology-programs-2026-2027/ | https://www.nasa.gov/reference/systems-engineering-handbook/ | https://www.onetonline.org/link/summary/17-3023.00
23,Advanced,Create a controlled project baseline before hardware bring-up,CETa readiness evidence and all prior technical foundations.,"Requirements must exist before the project baseline. Git/project structure, lab records, and safety limits are already taught.","Controlled project baseline: repository, configuration identity, issue/evidence structure, bench readiness, BOM/interface ownership, and reproducible start state.",Career turns accumulated CETa knowledge into a controlled project launch.,Prevents first-power ambiguity and provides a known baseline for every Project 1 change.,Informed by / cross-checked against,githubSkills | nasaSystems | onetTech,GitHub Skills — Introduction to GitHub; NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://github.com/skills/introduction-to-github | https://www.nasa.gov/reference/systems-engineering-handbook/ | https://www.onetonline.org/link/summary/17-3023.00
24,Advanced,Execute staged first power and establish a known-good baseline,"Power, measurement, digital/MCU, safety, and component behavior.",Use the controlled baseline from Week 23 plus the Week 1/9/16 bring-up ladders.,"Project first power with inspection, continuity, current limiting, rail verification, reset/boot/debug checks, GPIO/UART proof, and baseline evidence.",Career integrates many CETa concepts in a staged real-system bring-up.,Creates the known-good platform required before adding a sensor/peripheral.,Informed by / cross-checked against,flukeDMM | stTraining | onetTech,Fluke — Digital Multimeter Basics; STMicroelectronics — STM32 Online Training; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://www.fluke.com/en-us/learn/online-courses/digital-multimeter-basics-online-course | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html | https://www.onetonline.org/link/summary/17-3023.00
25,Advanced,Integrate one peripheral through a controlled vertical slice,"I2C/SPI/interface theory, sensors, ADC/digital concepts, and prior measurement skills.",Use Week 18 one-interface workflow and Week 24 known-good project baseline.,"One controlled peripheral vertical slice from datasheet and wiring through firmware, capture, engineering-unit conversion, fault handling, and evidence.",Career integrates CETa protocol/device theory into an end-to-end subsystem.,Provides a stable functional slice that firmware architecture and automated test can exercise.,Informed by / cross-checked against,stTraining | saleae | sparkfunI2C | sparkfunSPI,STMicroelectronics — STM32 Online Training; Saleae — Logic Analyzer Learning and Support; SparkFun — I2C; SparkFun — Serial Peripheral Interface (SPI),https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html | https://support.saleae.com/ | https://learn.sparkfun.com/tutorials/i2c/all | https://learn.sparkfun.com/tutorials/serial-peripheral-interface-spi/all
26,Advanced,"Separate drivers, application state, diagnostics, and recovery","MCU architecture, digital/state concepts, and the project peripheral now working.",Use Week 15 nonblocking/state/interrupt concepts and Week 25 working vertical slice.,"Firmware layering: drivers, application state, diagnostics, timeouts, error/recovery paths, versioned changes, and testable module boundaries.",Career organizes CETa/embedded concepts into maintainable project architecture.,Makes Project 1 observable and controllable enough for automated testing.,Informed by / cross-checked against,armEmbedded | stTraining | githubSkills,Arm — Embedded C Programming with Arm Cortex-M; STMicroelectronics — STM32 Online Training; GitHub Skills — Introduction to GitHub,https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html | https://github.com/skills/introduction-to-github
27,Advanced,Design a maintainable automated hardware test,Measurement/test concepts plus the working Project 1 interface.,"Use Week 17 Python/serial, Week 22 requirements/verification, and Week 26 observable firmware. No automated-test architecture is assumed beyond those pieces.","Automated-test lifecycle, fixture/DUT boundaries, setup/stimulus/acquisition/evaluation/cleanup, PASS/FAIL/ERROR/INCONCLUSIVE semantics, configuration source-of-truth, logs, plots, and boundary tests.",Career turns prior measurement and software skills into repeatable hardware verification.,Provides the evidence engine for deliberate fault injection and final reports.,Informed by / cross-checked against,pythonDocs | pyserial | pytest | matplotlib | onetTech,Python Software Foundation — Python 3 Documentation; pySerial project — pySerial Documentation; pytest project — pytest Documentation; Matplotlib project — Matplotlib Quick Start; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://docs.python.org/3/ | https://pyserial.readthedocs.io/ | https://docs.pytest.org/ | https://matplotlib.org/stable/users/explain/quick_start.html | https://www.onetonline.org/link/summary/17-3023.00
28,Advanced,Design controlled faults and write a defensible report,Broad electronics theory and established project/test baseline.,"Use Week 13 root-cause reasoning, Week 22 verification design, and Week 27 automated evidence.","Controlled fault injection, failure-mode coverage, evidence-preserving diagnosis, requirement/result traceability, corrective action, retest, and defensible report writing.",Career demonstrates mastery by using CETa theory to explain and prove real failures.,Produces the strongest troubleshooting story for the portfolio and interviews.,Informed by / cross-checked against,nasaSystems | onetTech | abetETAC,"NASA — NASA Systems Engineering Handbook; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; ABET — Criteria for Accrediting Engineering Technology Programs, 2026–2027",https://www.nasa.gov/reference/systems-engineering-handbook/ | https://www.onetonline.org/link/summary/17-3023.00 | https://www.abet.org/accreditation/accreditation-criteria/criteria-for-accrediting-engineering-technology-programs-2026-2027/
29,Advanced,Assemble an employer-facing role-proof dossier,"All practical electronics, measurement, workmanship, and troubleshooting foundations.",Only artifacts already created in labs/projects count as evidence; do not invent proficiency.,"Employer-facing role-proof dossier combining instruments, rework/harness quality, bring-up, troubleshooting, code, test evidence, and serviceability.",Career packages the competencies already demonstrated across CETa and project work.,Feeds the application and interview package without requiring a new technical project.,Informed by / cross-checked against,onetTech | nasaHarness | blsTech,"O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians",https://www.onetonline.org/link/summary/17-3023.00 | https://standards.nasa.gov/standard/NASA/NASA-STD-87394 | https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm
30,Advanced,Build an evidence-first application and interview package,Completed technical evidence plus readiness results.,Use verified project/lab evidence and accurate statements of personal contribution.,"Evidence-first portfolio, truthful resume bullets, 90-second transition story, technical project explanations, troubleshooting interviews, and job-description skill-gap analysis.",Career converts technical mastery into accurate employer communication.,Creates a reusable application package and feedback baseline.,Informed by / cross-checked against,onetTech | blsTech,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,https://www.onetonline.org/link/summary/17-3023.00 | https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm
31,Advanced,Run applications as an evidence-and-feedback loop,Course technical foundation is complete; remaining work is retention and targeted repair.,Use the existing portfolio/application package and real feedback. Do not restart mastered curriculum wholesale.,"Application/interview feedback loop, gap classification, targeted technical repair, portfolio maintenance, and bridge-role targeting.",Career uses the learning system as a repair loop after formal instruction ends.,Transitions Alfred from course delivery to ongoing targeted professional development.,Informed by / cross-checked against,onetTech | blsTech,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; U.S. Bureau of Labor Statistics — Electrical and Electronic Engineering Technologists and Technicians,https://www.onetonline.org/link/summary/17-3023.00 | https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm
