Printed page,Classification,Disposition note,Mapped record IDs,Primary week(s),Chapter(s),Errata,Current-authority note
37,study,Troubleshooting/passive-component review,sg-w07-ch05-p036-044,7,5,,
38,study,Troubleshooting/passive-component review,sg-w07-ch05-p036-044,7,5,,
39,study,Troubleshooting/passive-component review,sg-w07-ch05-p036-044,7,5,,
40,study,Troubleshooting/passive-component review,sg-w07-ch05-p036-044,7,5,,
41,study,Troubleshooting/passive-component review,sg-w07-ch05-p036-044,7,5,,
42,study,Troubleshooting/passive-component review,sg-w07-ch05-p036-044,7,5,,
43,study,Troubleshooting/passive-component review,sg-w07-ch05-p036-044,7,5,,
44,study,Troubleshooting/passive-component review,sg-w07-ch05-p036-044,7,5,,
45,required,Week 6,sg-w06-ch06-p045-049,6,6,,
46,required,Week 6,sg-w06-ch06-p045-049,6,6,,
47,required,Week 6,sg-w06-ch06-p045-049,6,6,,
48,required,Week 6,sg-w06-ch06-p045-049,6,6,,
49,required,Week 6,sg-w06-ch06-p045-049,6,6,,
50,study,Extended AC review,sg-w06-ch06-p050-052,6,6,,
51,study,Extended AC review,sg-w06-ch06-p050-052,6,6,,
52,study,Extended AC review,sg-w06-ch06-p050-052,6,6,,
53,required,Week 7,sg-w07-ch07-p053-057,7,7,,
54,required,Week 7,sg-w07-ch07-p053-057,7,7,,
55,required,Week 7,sg-w07-ch07-p053-057,7,7,,
56,required,Week 7,sg-w07-ch07-p053-057,7,7,,
57,required,Week 7,sg-w07-ch07-p053-057,7,7,,
58,study,Machine/component review,sg-w07-ch07-p058-061,7,7,,
59,study,Machine/component review,sg-w07-ch07-p058-061,7,7,,
60,study,Machine/component review,sg-w07-ch07-p058-061,7,7,,
61,study,Machine/component review,sg-w07-ch07-p058-061,7,7,,
62,study,Machine/component review,sg-w07-ch08-p062-064,7,8,,
63,study,Machine/component review,sg-w07-ch08-p062-064,7,8,,
64,study,Machine/component review,sg-w07-ch08-p062-064,7,8,,
65,reference,Historical vacuum-tube context,sg-w07-ch08-p065,7,8,,Historical/reference only.
66,study,Component/semiconductor review,sg-w08-ch08-p066-069,8,8,Official ETA errata · p.68,
67,study,Component/semiconductor review,sg-w08-ch08-p066-069,8,8,Official ETA errata · p.68,
68,study,Component/semiconductor review,sg-w08-ch08-p066-069,8,8,Official ETA errata · p.68,
69,study,Component/semiconductor review,sg-w08-ch08-p066-069,8,8,Official ETA errata · p.68,
70,reference,Historical semiconductor framing,sg-w08-ch09-p070-071,8,9,,Historical/reference framing.
71,reference,Historical semiconductor framing,sg-w08-ch09-p070-071,8,9,,Historical/reference framing.
72,required,Week 8,sg-w08-ch09-p072-076,8,9,,
73,required,Week 8,sg-w08-ch09-p072-076,8,9,,
74,study,Week 10 amplifier crossover,sg-w10-ch09-p074,10,9,,
75,required,Week 8,sg-w08-ch09-p072-076,8,9,,
76,required,Week 8,sg-w08-ch09-p072-076,8,9,,
77,required,Week 19,sg-w19-ch09-p077,19,9,,
78,study,Semiconductor/discrete-circuit review,sg-w08-ch09-p078,8,9,,
79,study,Semiconductor/discrete-circuit review,sg-w08-ch10-p079-084,8,10,,
80,study,Semiconductor/discrete-circuit review,sg-w08-ch10-p079-084,8,10,,
81,study,Semiconductor/discrete-circuit review,sg-w08-ch10-p079-084,8,10,,
82,study,Semiconductor/discrete-circuit review,sg-w08-ch10-p079-084,8,10,,
83,study,Semiconductor/discrete-circuit review,sg-w08-ch10-p079-084,8,10,,
84,study,Semiconductor/discrete-circuit review,sg-w08-ch10-p079-084,8,10,,
85,required,Week 9,sg-w09-ch11-p085-089,9,11,,Current ETA competencies and current manufacturer documentation control modern SMPS content.
86,required,Week 9,sg-w09-ch11-p085-089,9,11,,Current ETA competencies and current manufacturer documentation control modern SMPS content.
87,required,Week 9,sg-w09-ch11-p085-089,9,11,,Current ETA competencies and current manufacturer documentation control modern SMPS content.
88,required,Week 9,sg-w09-ch11-p085-089,9,11,,Current ETA competencies and current manufacturer documentation control modern SMPS content.
89,required,Week 9,sg-w09-ch11-p085-089,9,11,,Current ETA competencies and current manufacturer documentation control modern SMPS content.
90,study,Power-supply self-check,sg-w09-ch11-p090,9,11,,
91,required,Week 10,sg-w10-ch12-selected,10,12,,
92,study,Amplifier examples,sg-w10-ch12-p092-094,10,12,,
93,study,Amplifier examples,sg-w10-ch12-p092-094,10,12,,
94,study,Amplifier examples,sg-w10-ch12-p092-094,10,12,,
95,required,Week 10,sg-w10-ch12-selected,10,12,,
96,required,Week 10,sg-w10-ch12-selected,10,12,,
97,study,Week 20 detector crossover,sg-w20-ch12-p097,20,12,,
98,required,Week 10,sg-w10-ch12-selected,10,12,,
99,study,Amplifier/dB/unit review,sg-w10-ch12-p099-101,10,12,,
100,study,Amplifier/dB/unit review,sg-w10-ch12-p099-101,10,12,,
101,study,Amplifier/dB/unit review,sg-w10-ch12-p099-101,10,12,,
102,study,Amplifier/dB/unit review,sg-w10-ch12-p102-103,10,12,Official ETA errata · p.102,
103,study,Amplifier/dB/unit review,sg-w10-ch12-p102-103,10,12,Official ETA errata · p.102,
104,required,Week 20,sg-w20-ch13-p104-107,20,13,,
105,required,Week 20,sg-w20-ch13-p104-107,20,13,,
106,required,Week 20,sg-w20-ch13-p104-107,20,13,,
107,required,Week 20,sg-w20-ch13-p104-107,20,13,,
108,required,Week 19,sg-w19-ch13-p108-109,19,13,,
109,required,Week 19,sg-w19-ch13-p108-109,19,13,,
110,study,RF review,sg-w20-ch13-p110-112,20,13,,
111,study,RF review,sg-w20-ch13-p110-112,20,13,,
112,study,RF review,sg-w20-ch13-p110-112,20,13,,
113,required,Week 20,sg-w20-ch14-p113-114,20,14,,
114,required,Week 20,sg-w20-ch14-p113-114,20,14,,
115,study,Transmitter/antenna review,sg-w20-ch14-p115-119,20,14,,
116,study,Transmitter/antenna review,sg-w20-ch14-p115-119,20,14,,
117,study,Transmitter/antenna review,sg-w20-ch14-p115-119,20,14,,
118,study,Transmitter/antenna review,sg-w20-ch14-p115-119,20,14,,
119,study,Transmitter/antenna review,sg-w20-ch14-p115-119,20,14,,
120,required,Week 20,sg-w20-ch15-p120-121,20,15,,Use current ETA/current networking sources for modern telecom and wireless technology.
121,required,Week 20,sg-w20-ch15-p120-121,20,15,,Use current ETA/current networking sources for modern telecom and wireless technology.
122,study,Telecom context,sg-w20-ch15-p122-125,20,15,,Conceptual/historical context; current telecom sources control modern implementation.
123,study,Telecom context,sg-w20-ch15-p122-125,20,15,,Conceptual/historical context; current telecom sources control modern implementation.
124,study,Telecom context,sg-w20-ch15-p122-125,20,15,,Conceptual/historical context; current telecom sources control modern implementation.
125,study,Telecom context,sg-w20-ch15-p122-125,20,15,,Conceptual/historical context; current telecom sources control modern implementation.
126,reference,Historical cellular evolution,sg-w20-ch15-p126-128,20,15,,Historical cellular evolution — not current wireless-technology authority.
127,reference,Historical cellular evolution,sg-w20-ch15-p126-128,20,15,,Historical cellular evolution — not current wireless-technology authority.
128,reference,Historical cellular evolution,sg-w20-ch15-p126-128,20,15,,Historical cellular evolution — not current wireless-technology authority.
129,study,Telecom review,sg-w20-ch15-p129-131,20,15,,
130,study,Telecom review,sg-w20-ch15-p129-131,20,15,,
131,study,Telecom review,sg-w20-ch15-p129-131,20,15,,
132,required,Week 11,sg-w11-ch16-p132-140,11,16,Official ETA errata · p.138,
133,required,Week 11,sg-w11-ch16-p132-140,11,16,Official ETA errata · p.138,
134,required,Week 11,sg-w11-ch16-p132-140,11,16,Official ETA errata · p.138,
135,required,Week 11,sg-w11-ch16-p132-140,11,16,Official ETA errata · p.138,
136,required,Week 11,sg-w11-ch16-p132-140,11,16,Official ETA errata · p.138,
137,study,Digital deeper review,sg-w11-ch16-p137,11,16,,
138,required,Week 11,sg-w11-ch16-p132-140,11,16,Official ETA errata · p.138,
139,required,Week 11,sg-w11-ch16-p132-140,11,16,Official ETA errata · p.138,
140,required,Week 11,sg-w11-ch16-p132-140,11,16,Official ETA errata · p.138,
141,study,Digital/computer review,sg-w11-ch16-p141-144,11,16,,
142,study,Digital/computer review,sg-w11-ch16-p141-144,11,16,,
143,study,Digital/computer review,sg-w11-ch16-p141-144,11,16,,
144,study,Digital/computer review,sg-w11-ch16-p141-144,11,16,,
145,study,Digital/computer review,sg-w14-ch16-p145-147,14,16,,
146,study,Digital/computer review,sg-w14-ch16-p145-147,14,16,,
147,study,Digital/computer review,sg-w14-ch16-p145-147,14,16,,
148,study,Digital/computer review,sg-w11-ch16-p148,11,16,,
149,required,Week 14,sg-w14-ch17-p149-150,14,17,,
150,required,Week 14,sg-w14-ch17-p149-150,14,17,,
151,study,Microprocessor/programming/diagnostic review,sg-w14-ch17-p151-153,14,17,,
152,study,Microprocessor/programming/diagnostic review,sg-w14-ch17-p151-153,14,17,,
153,study,Microprocessor/programming/diagnostic review,sg-w14-ch17-p151-153,14,17,,
154,study,Microprocessor/programming/diagnostic review,sg-w14-ch17-p154-155,14,17,,
155,study,Microprocessor/programming/diagnostic review,sg-w14-ch17-p154-155,14,17,,
156,study,Microprocessor/programming/diagnostic review,sg-w16-ch17-p156-158,16,17,,
157,study,Microprocessor/programming/diagnostic review,sg-w16-ch17-p156-158,16,17,,
158,study,Microprocessor/programming/diagnostic review,sg-w16-ch17-p156-158,16,17,,
159,study,Microprocessor/programming/diagnostic review,sg-w05-ch18-p159-160,5,18,,
160,study,Microprocessor/programming/diagnostic review,sg-w05-ch18-p159-160,5,18,,
161,required,Week 13,sg-w13-ch18-p161-162,13,18,,
162,required,Week 13,sg-w13-ch18-p161-162,13,18,,
163,study,Diagnostics/test equipment/PCB repair,sg-w21-ch18-p163-164,21,18,,
164,study,Diagnostics/test equipment/PCB repair,sg-w21-ch18-p163-164,21,18,,
165,study,Diagnostics/test equipment/PCB repair,sg-w03-ch19-p165-175,3,19,,Some analog/CRT-era representations are historical; current instrument documentation controls modern operation.
166,study,Diagnostics/test equipment/PCB repair,sg-w03-ch19-p165-175,3,19,,Some analog/CRT-era representations are historical; current instrument documentation controls modern operation.
167,study,Diagnostics/test equipment/PCB repair,sg-w03-ch19-p165-175,3,19,,Some analog/CRT-era representations are historical; current instrument documentation controls modern operation.
168,study,Diagnostics/test equipment/PCB repair,sg-w03-ch19-p165-175,3,19,,Some analog/CRT-era representations are historical; current instrument documentation controls modern operation.
169,study,Diagnostics/test equipment/PCB repair,sg-w03-ch19-p165-175,3,19,,Some analog/CRT-era representations are historical; current instrument documentation controls modern operation.
170,study,Diagnostics/test equipment/PCB repair,sg-w03-ch19-p165-175,3,19,,Some analog/CRT-era representations are historical; current instrument documentation controls modern operation.
171,study,Diagnostics/test equipment/PCB repair,sg-w03-ch19-p165-175,3,19,,Some analog/CRT-era representations are historical; current instrument documentation controls modern operation.
172,study,Diagnostics/test equipment/PCB repair,sg-w03-ch19-p165-175,3,19,,Some analog/CRT-era representations are historical; current instrument documentation controls modern operation.
173,study,Diagnostics/test equipment/PCB repair,sg-w03-ch19-p165-175,3,19,,Some analog/CRT-era representations are historical; current instrument documentation controls modern operation.
174,study,Diagnostics/test equipment/PCB repair,sg-w03-ch19-p165-175,3,19,,Some analog/CRT-era representations are historical; current instrument documentation controls modern operation.
175,study,Diagnostics/test equipment/PCB repair,sg-w03-ch19-p165-175,3,19,,Some analog/CRT-era representations are historical; current instrument documentation controls modern operation.
176,study,Diagnostics/test equipment/PCB repair,sg-w12-ch20-p176-181,12,20,,
177,study,Diagnostics/test equipment/PCB repair,sg-w12-ch20-p176-181,12,20,,
178,study,Diagnostics/test equipment/PCB repair,sg-w12-ch20-p176-181,12,20,,
179,study,Diagnostics/test equipment/PCB repair,sg-w12-ch20-p176-181,12,20,,
180,study,Diagnostics/test equipment/PCB repair,sg-w12-ch20-p176-181,12,20,,
181,study,Diagnostics/test equipment/PCB repair,sg-w12-ch20-p176-181,12,20,,
182,required,Week 28,sg-w28-ch21-p182-184,28,21,,
183,required,Week 28,sg-w28-ch21-p182-184,28,21,,
184,required,Week 28,sg-w28-ch21-p182-184,28,21,,
185,study,Records/professional context,sg-w23-ch21-p185-187,23,21,,Some service-business/personnel framing is historical rather than modern career authority.
186,study,Records/professional context,sg-w23-ch21-p185-187,23,21,,Some service-business/personnel framing is historical rather than modern career authority.
187,study,Records/professional context,sg-w23-ch21-p185-187,23,21,,Some service-business/personnel framing is historical rather than modern career authority.
188,required,Week 28,sg-w28-ch22-p188-190,28,22,,
189,required,Week 28,sg-w28-ch22-p188-190,28,22,,
190,required,Week 28,sg-w28-ch22-p188-190,28,22,,
191,study,Technical writing/practice exams,sg-w22-ch22-p191-193,22,22,,
192,study,Technical writing/practice exams,sg-w22-ch22-p191-193,22,22,,
193,study,Technical writing/practice exams,sg-w22-ch22-p191-193,22,22,,
194,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
195,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
196,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
197,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
198,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
199,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
200,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
201,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
202,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
203,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
204,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
205,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
206,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
207,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
208,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
209,study,Technical writing/practice exams,sg-w31-appA-p194-209,31,Appendix A,Official ETA errata · p.202,Do not use these scores as a prediction of the current official ETA exam.
210,reference,Historical administrator/testing-location information,sg-w31-appB-p210-216,31,Appendix B,,Superseded by current ETA certification/testing information.
211,reference,Historical administrator/testing-location information,sg-w31-appB-p210-216,31,Appendix B,,Superseded by current ETA certification/testing information.
212,reference,Historical administrator/testing-location information,sg-w31-appB-p210-216,31,Appendix B,,Superseded by current ETA certification/testing information.
213,reference,Historical administrator/testing-location information,sg-w31-appB-p210-216,31,Appendix B,,Superseded by current ETA certification/testing information.
214,reference,Historical administrator/testing-location information,sg-w31-appB-p210-216,31,Appendix B,,Superseded by current ETA certification/testing information.
215,reference,Historical administrator/testing-location information,sg-w31-appB-p210-216,31,Appendix B,,Superseded by current ETA certification/testing information.
216,reference,Historical administrator/testing-location information,sg-w31-appB-p210-216,31,Appendix B,,Superseded by current ETA certification/testing information.
217,reference,Diagnostic schematics,sg-w13-appC-p217-218,13,Appendix C,,
218,reference,Diagnostic schematics,sg-w13-appC-p217-218,13,Appendix C,,
219,reference,Index/locator,sg-all-index-p219-222,31,Index,,
220,reference,Index/locator,sg-all-index-p219-222,31,Index,,
221,reference,Index/locator,sg-all-index-p219-222,31,Index,,
222,reference,Index/locator,sg-all-index-p219-222,31,Index,,
223,reference,Answer key,sg-all-answers-p223,31,Answers,,
224,reference,Book formula sheet; current ETA sheet controls,sg-all-formula-p224,31,Formula Sheet,Official ETA errata · p.224,Current ETA Common Formulas sheet is the controlling reference.
