Assignment Week,Source ID,Canonical Source ID,Title,Provider,Resource Type,Original Role,Disposition,Instructional Week,Lesson,Section ID,Section Label,Relationship,Requirement,Inline,Exact Backlink,Context Framing,Post-Resource Action,Duplicate Status,Final Audit Result,Reason
1,flukeMultimeterGuide,flukeMultimeterGuide,How to Use a Multimeter — Comprehensive Guide,Fluke,Manufacturer measurement guide,Required · DMM pre-power verification,RETAINED + INTEGRATED,1,Career,career-w01-voltage-resistance-and-current-modes-are-different-circuits,"Voltage, resistance, and current modes are different circuits",Taught in,required,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-voltage-resistance-and-current-modes-are-different-circuits&from=media&mediaWeek=1&media=flukeMultimeterGuide,PASS — use/watch guidance present,"After using this reference, be able to locate, explain, or apply: Confirm the current lead is not left in the amperage jack and do not make resistance/continuity measurements on an energized circuit.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,flukeSafety,flukeSafety,Electrical Measurement Safety,Fluke,Manufacturer training,Required · Safety instruction,RETAINED + INTEGRATED,1,Career,career-w01-voltage-resistance-and-current-modes-are-different-circuits,"Voltage, resistance, and current modes are different circuits",Taught in,required,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-voltage-resistance-and-current-modes-are-different-circuits&from=media&mediaWeek=1&media=flukeSafety,PASS — use/watch guidance present,"After using this resource, be able to explain or apply: Separate shock/arc/tool-rating/PPE/lead-condition hazards and know stop/de-energize conditions.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,keysightBenchPowerCourse,keysightBenchPowerCourse,Bench Power Supply Basics,Keysight Technologies,Manufacturer video course,Required · Pre-power bench-supply procedure,RETAINED + INTEGRATED,1,Career,career-w01-current-limiting-is-a-protective-boundary-and-a-diagnostic-clue,Current limiting is a protective boundary and a diagnostic clue,Lab preparation for,required,YES,learn.html?week=1&stage=career-lesson&lesson=1&section=career-w01-current-limiting-is-a-protective-boundary-and-a-diagnostic-clue&from=media&mediaWeek=1&media=keysightBenchPowerCourse,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Predict expected current first; unexpected CC mode or current rise is a stop-and-investigate condition.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,mathScienceVoltageCurrentResistance,mathScienceVoltageCurrentResistance,"Lesson 1 - Voltage, Current, Resistance (Engineering Circuit Analysis)",Math and Science (Jason Gibson),Beginner YouTube engineering lecture,START HERE · Beginner concept bridge,RETAINED + INTEGRATED,1,CETa,concept-1,Start with charge: what electricity is actually moving,Taught in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-1&from=media&mediaWeek=1&media=mathScienceVoltageCurrentResistance,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Listen for the everyday physical analogies, the closed-loop requirement, the difference between voltage/current/resistance, and the move from amps to smaller metric-prefixed current units.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,medlineElectricalInjury,medlineElectricalInjury,Electrical Injury — First Aid and Emergency Response,MedlinePlus / U.S. National Library of Medicine,Government medical first-aid guidance,Required · Electrical-emergency first aid,RETAINED + INTEGRATED,1,CETa,concept-12,"Shock physiology, emergency response, and First Aid boundaries",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-12&from=media&mediaWeek=1&media=medlineElectricalInjury,PASS — use/watch guidance present,"After using this resource, be able to explain or apply: Never touch a casualty still in contact with an energized source; high-voltage rescue requires trained emergency response and power isolation.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,nasaESD,nasaESD,NASA-HDBK-8739.21 — ESD Control,NASA,Government workmanship handbook,Required · ESD protected-work-area instruction,RETAINED + INTEGRATED,1,CETa,concept-14,"ESD, technician tool hazards, and PPE",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-14&from=media&mediaWeek=1&media=nasaESD,PASS — use/watch guidance present,"After using this reference, be able to locate, explain, or apply: Keep ESD control distinct from shock protection. Use approved grounding devices/procedures and do not improvise a direct body-to-ground connection around energized hazards.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,organicChemTutorBasicCircuits,organicChemTutorBasicCircuits,"Electric Current & Circuits Explained, Ohm's Law, Charge, Power, Physics Problems, Basic Electricity",The Organic Chemistry Tutor,YouTube worked-example physics tutorial,"WORKED PRACTICE · Charge, Ohm’s law, and power",RETAINED + INTEGRATED,1,CETa,worked,Worked reasoning,Used in,supporting,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=worked&from=media&mediaWeek=1&media=organicChemTutorBasicCircuits,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Practice V = IR, P = VI, Q = It, current as coulombs per second, conventional current versus electron flow, and dimensional/unit checks.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaDriverSafety,oshaDriverSafety,Motor Vehicle Safety — Driver Safety Training,U.S. Occupational Safety and Health Administration,Government work-vehicle safety training,Required · Service/work-vehicle safety,RETAINED + INTEGRATED,1,CETa,concept-16,"Ladders, service vehicles, and fire classes",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-16&from=media&mediaWeek=1&media=oshaDriverSafety,PASS — use/watch guidance present,"After using this resource, be able to explain or apply: Treat vehicle inspection and backing as technician safety tasks, not merely transportation details.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaElectricalStandardsTrainer,oshaElectricalStandardsTrainer,"Electrical Safety Trainer Guide — NEC, NFPA 70E, and Safe Electrical Work Context",U.S. Occupational Safety and Health Administration,Government electrical-safety training guide,Required · NEC/NFPA electrical-safety context,RETAINED + INTEGRATED,1,CETa,concept-13,"NEC awareness, overcurrent protection, and lockout/tagout",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-13&from=media&mediaWeek=1&media=oshaElectricalStandardsTrainer,PASS — use/watch guidance present,"After using this reference, be able to locate, explain, or apply: Do not confuse an installation code with energized-work authorization; applicable adopted code, OSHA rules, employer procedures, and qualified-person requirements still govern field work.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaFiberLaserSafety,oshaFiberLaserSafety,OSHA Technical Manual — Optical Fiber Communication System Laser Safety,U.S. Occupational Safety and Health Administration,Government optical-fiber and laser safety guidance,Required · Fiber-optic/laser service hazard awareness,RETAINED + INTEGRATED,1,CETa,concept-15,RF exposure and fiber-optic hazards,Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-15&from=media&mediaWeek=1&media=oshaFiberLaserSafety,PASS — use/watch guidance present,"After using this resource, be able to explain or apply: Never inspect an unknown live fiber with the unaided eye or optical magnifier; treat service conditions differently from normal enclosed operation.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaFireExtinguisher,oshaFireExtinguisher,"Portable Fire Extinguishers — Basics, Classes, Selection, and Use",U.S. Occupational Safety and Health Administration,Government interactive fire-safety training,Required · Fire classes and extinguisher decision-making,RETAINED + INTEGRATED,1,CETa,concept-16,"Ladders, service vehicles, and fire classes",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-16&from=media&mediaWeek=1&media=oshaFireExtinguisher,PASS — use/watch guidance present,"After using the interactive resource, be able to explain or demonstrate: Recognize Class C as energized-electrical equipment and choose a nonconductive extinguishing agent; preserve an evacuation path and evacuate when conditions exceed incipient-stage response.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaLadderSafety,oshaLadderSafety,Construction eTool — Ladder Safety,U.S. Occupational Safety and Health Administration,Government ladder-safety training,Required · Ladder and access safety,RETAINED + INTEGRATED,1,CETa,concept-16,"Ladders, service vehicles, and fire classes",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-16&from=media&mediaWeek=1&media=oshaLadderSafety,PASS — use/watch guidance present,"After using this resource, be able to explain or apply: Use the correct ladder type and setup for the environment; maintain stable placement and recognize electrical hazards before climbing.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaLotoInteractive,oshaLotoInteractive,Lockout/Tagout Interactive Training Program,U.S. Occupational Safety and Health Administration,Government interactive safety tutorial and case studies,Required · Hazardous-energy control instruction,RETAINED + INTEGRATED,1,CETa,concept-13,"NEC awareness, overcurrent protection, and lockout/tagout",Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-13&from=media&mediaWeek=1&media=oshaLotoInteractive,PASS — use/watch guidance present,"After using the interactive resource, be able to explain or demonstrate: Distinguish de-energizing from verified isolation. Identify stored-energy hazards and the sequence required before service work.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,oshaRfSafety,oshaRfSafety,Radiofrequency and Microwave Radiation — Hazards and Controls,U.S. Occupational Safety and Health Administration,Government RF hazard and control guidance,Required · RF/microwave hazard awareness,RETAINED + INTEGRATED,1,CETa,concept-15,RF exposure and fiber-optic hazards,Taught in,required,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-15&from=media&mediaWeek=1&media=oshaRfSafety,PASS — use/watch guidance present,"After using this resource, be able to explain or apply: Do not treat non-ionizing as harmless; risk depends on frequency, power density, geometry, and exposure conditions.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
1,phetDC,phetDC,Circuit Construction Kit: DC — Virtual Lab,"PhET, University of Colorado Boulder",University simulation,Virtual route · Application,RETAINED + INTEGRATED,1,CETa,concept-4,A circuit needs a closed path,Lab preparation for,optional,YES,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-4&from=media&mediaWeek=1&media=phetDC,PASS — use/watch guidance present,"After using the interactive resource, be able to explain or demonstrate: Use the simulation to test a written prediction rather than discover the rule by clicking.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacKclKvl,aacKclKvl,"Ohm’s Law, Kirchhoff’s Laws, and Power Equations",All About Circuits,Engineering video tutorial with transcript,Required · Teaching tutorial,RETAINED + INTEGRATED,2,CETa,concept-2,Kirchhoff turns conservation into two diagnostic rules,Taught in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-2&from=media&mediaWeek=2&media=aacKclKvl,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Write signed KCL/KVL equations before substituting numbers.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacMagnetismElectromagnetism,aacMagnetismElectromagnetism,Magnetism and Electromagnetism,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Electromagnetism foundation,RETAINED + INTEGRATED,2,CETa,concept-5,Electromagnetism and induction,Used in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=2&media=aacMagnetismElectromagnetism,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Connect current direction to magnetic-field direction and explain why motors, generators, speakers, microphones, and magnetic components depend on electromagnetic interaction.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacMeterLoading,aacMeterLoading,Voltmeter Impact on a Measured Circuit,All About Circuits,Engineering worked tutorial,Required · Worked tutorial,RETAINED + INTEGRATED,2,CETa,concept-16,Loaded dividers reveal why measuring changes circuits,Demonstrated in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-16&from=media&mediaWeek=2&media=aacMeterLoading,PASS — use/watch guidance present,"After using this resource, be able to explain or apply: Replace the loaded leg with the correct parallel equivalent and recalculate Vout.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacParallel,aacParallel,Parallel Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,2,CETa,concept-1,Topology determines what is shared,Used in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-1&from=media&mediaWeek=2&media=aacParallel,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Use node identity rather than drawing shape to decide what is parallel.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacSeries1,aacSeries1,Series Circuits — Part 1,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,2,CETa,concept-1,Topology determines what is shared,Taught in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-1&from=media&mediaWeek=2&media=aacSeries1,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Identify the single current path before doing arithmetic.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacSeriesDivider,aacSeriesDivider,Series Circuits — Part 2: Voltage Divider Equation,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Teaching lecture,RETAINED + INTEGRATED,2,CETa,concept-3,A divider is only ideal when the load is negligible,Demonstrated in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-3&from=media&mediaWeek=2&media=aacSeriesDivider,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Derive from series current rather than memorizing an isolated ratio.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,aacTroubleshootSeriesParallel,aacTroubleshootSeriesParallel,Troubleshooting Series-Parallel Circuits,North Seattle Community College / All About Circuits,College video lecture with transcript,Required · Technician application,RETAINED + INTEGRATED,2,Career,career-w02-fault-patterns-have-structure,Fault patterns have structure,Demonstrated in,required,YES,learn.html?week=2&stage=career-lesson&lesson=1&section=career-w02-fault-patterns-have-structure&from=media&mediaWeek=2&media=aacTroubleshootSeriesParallel,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Write expected values first; measure only where the result shrinks the fault space.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,mitPiezoLab,mitPiezoLab,Lab 9 — Piezoelectricity,MIT OpenCourseWare — Electrical Engineering and Computer Science,University video tutorial and physical-device exploration,Required · Piezoelectricity teaching/demo,RETAINED + INTEGRATED,2,CETa,concept-13,Piezoelectric effect and technician applications,Demonstrated in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-13&from=media&mediaWeek=2&media=mitPiezoLab,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Explain the conversion mechanism and identify where a piezo element is acting as a sensor, actuator, buzzer, igniter, or resonant device.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,neetsGeneratorsMotors,neetsGeneratorsMotors,NEETS Module 5 — Introduction to Generators and Motors,U.S. Navy Electricity and Electronics Training Series,Technician self-study course with worked theory and review questions,Required · Motors and generators technician course,RETAINED + INTEGRATED,2,CETa,concept-6,Motors and generators as reciprocal energy converters,Taught in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-6&from=media&mediaWeek=2&media=neetsGeneratorsMotors,PASS — use/watch guidance present,"After using this resource, be able to explain or apply: Explain the direction/energy conversion physically before memorizing machine types; distinguish generator action from motor action.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,neetsWaveGeneration,neetsWaveGeneration,NEETS Module 9 — Introduction to Wave-Generation and Wave-Shaping,U.S. Navy Electricity and Electronics Training Series,"Technician self-study course with calculations, circuits, and review questions","Required · Oscillators, pulse circuits, tuned circuits, and wave-shaping course",RETAINED + INTEGRATED,2,CETa,concept-12,"Filters, integrators/differentiators, and wave shaping",Taught in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-12&from=media&mediaWeek=2&media=neetsWaveGeneration,PASS — use/watch guidance present,"After using this resource, be able to explain or apply: Calculate resonant frequency, Q/bandwidth, pulse timing, and RC/RL time-constant effects; identify circuit behavior from cause/effect rather than waveform memorization.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,phetDC,phetDC,Circuit Construction Kit: DC — Virtual Lab,"PhET, University of Colorado Boulder",University simulation,Virtual route · Application,RETAINED + INTEGRATED,2,CETa,concept-9,"Series/parallel DC and AC networks, KCL/KVL, and resistive calculations",Lab preparation for,optional,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-9&from=media&mediaWeek=2&media=phetDC,PASS — use/watch guidance present,"After using the interactive resource, be able to explain or demonstrate: Change one fault at a time and preserve before/after evidence.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,tekPulseDutyCycle,tekSignalGenerator,What Is a Signal Generator? — Pulse Width and Duty Cycle,Tektronix,Test-equipment manufacturer instructional primer,Required · Pulse-width and duty-cycle calculation,RETAINED + INTEGRATED,2,CETa,concept-8,"Sources, AC measures, duty cycle, pulse width, Ohm’s law, and power",Taught in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-8&from=media&mediaWeek=2&media=tekPulseDutyCycle,PASS — use/watch guidance present,"After using this resource, be able to explain or apply: Keep pulse width, period, frequency, and duty cycle as distinct quantities with units; verify time-domain measurements against calculated values.",Canonical alias of tekSignalGenerator,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
2,tiPllFundamentals,tiPllFundamentals,TI Precision Labs — Phase-Locked Loop Fundamentals,Texas Instruments,Manufacturer video series,Required · Phase-locked-loop video series,RETAINED + INTEGRATED,2,CETa,concept-10,"Oscillators, multivibrators, and phase-locked loops",Used in,required,YES,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-10&from=media&mediaWeek=2&media=tiPllFundamentals,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Trace reference → phase/frequency comparison → loop filter → VCO → feedback divider and explain what lock means physically.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
3,bkVariableIsolatedAc,bkVariableIsolatedAc,1655A Variable Isolated AC Power Supply — Isolation and Line-Variation Testing,B&K Precision,Manufacturer service-bench equipment reference,Required · Isolation-transformer/service-bench instruction,RETAINED + INTEGRATED,3,CETa,concept-8,"Dummy loads, rheostats, isolation transformers, Variacs, and potentiometers",Used in,required,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-8&from=media&mediaWeek=3&media=bkVariableIsolatedAc,PASS — use/watch guidance present,"After using this reference, be able to locate, explain, or apply: Isolation breaks the direct mains reference but does not make the secondary harmless; hazardous voltage, stored energy, current capability, and safe probing rules still apply.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
3,digiKeyEsr70,digiKeyEsr70,Atlas ESR70 — Equivalent Series Resistance and Capacitor Testing,Peak Electronic Design / DigiKey,Manufacturer instrument guide,Required · ESR/capacitor-condition instruction,RETAINED + INTEGRATED,3,CETa,concept-5,"Signal generators, frequency counters, RCL substitution, and ESR meters",Taught in,required,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=3&media=digiKeyEsr70,PASS — use/watch guidance present,"After using this reference, be able to locate, explain, or apply: Safely discharge capacitors first; compare ESR against component type/value expectations rather than using a universal pass/fail number.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
3,digiKeyLcrMeter,digiKeyLcrMeter,How to Use an LCR Meter,B&K Precision / DigiKey,Manufacturer measurement demonstration video,Required · LCR measurement demonstration,RETAINED + INTEGRATED,3,CETa,concept-5,"Signal generators, frequency counters, RCL substitution, and ESR meters",Demonstrated in,required,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=3&media=digiKeyLcrMeter,PASS — use/watch guidance present,"After watching, be able to explain or demonstrate: Do not treat a single L/C reading as context-free; note test frequency and series/parallel measurement model.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
3,flukeMultimeterGuide,flukeMultimeterGuide,How to Use a Multimeter — Comprehensive Guide,Fluke,Manufacturer measurement guide,Required · DMM instruction,RETAINED + INTEGRATED,3,CETa,concept-1,The DMM is several instruments sharing one display,Taught in,required,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-1&from=media&mediaWeek=3&media=flukeMultimeterGuide,PASS — use/watch guidance present,"After using this reference, be able to locate, explain, or apply: For every mode, state energized/de-energized condition, jack choice and series/parallel placement.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
3,ietDecadeBoxes,ietDecadeBoxes,"Resistance, Capacitance, and Inductance Decade Boxes",IET Labs,Metrology manufacturer substitution-box reference,Required · R/C/L substitution and decade-box reference,RETAINED + INTEGRATED,3,CETa,concept-5,"Signal generators, frequency counters, RCL substitution, and ESR meters",Used in,required,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=3&media=ietDecadeBoxes,PASS — use/watch guidance present,"After using this reference, be able to locate, explain, or apply: Stay within voltage/current/power/frequency limits and record the substituted value that restores or changes circuit behavior.",Unique canonical source,PASS,Existing Teaching Media assignment reconciled to the strongest current instructional section.
